date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,74.3,73.5203163689,8477685.0,0.0,1.0
2022-06-17,74.34,73.55989662,4913703.0,0.0,1.0
2022-06-21,74.0,73.2234644859,7069896.0,0.0,1.0
2022-06-22,74.61,73.8270633148,8407610.0,0.0,1.0
2022-06-23,74.97,74.1832855744,8542660.0,0.0,1.0
2022-06-24,74.83,74.0447546957,6979043.0,0.0,1.0
2022-06-27,74.47,73.688532436,6238862.0,0.0,1.0
2022-06-28,74.51,73.7281126871,5578795.0,0.0,1.0
2022-06-29,74.94,74.1536003861,3896421.0,0.0,1.0
2022-06-30,75.26,74.4702423947,4387077.0,0.0,1.0
2022-07-01,75.71,75.0626904773,5801865.0,0.1487,1.0
2022-07-05,75.84,75.1915789962,6253887.0,0.0,1.0
2022-07-06,75.38,74.7355119295,5312033.0,0.0,1.0
2022-07-07,75.17,74.5273073991,7536670.0,0.0,1.0
2022-07-08,74.92,74.2794448628,4187094.0,0.0,1.0
2022-07-11,75.2,74.5570509034,4128615.0,0.0,1.0
2022-07-12,75.33,74.6859394223,6013729.0,0.0,1.0
2022-07-13,75.57,74.923887457,6382805.0,0.0,1.0
2022-07-14,75.33,74.6859394223,5598013.0,0.0,1.0
2022-07-15,75.6,74.9536309614,5276607.0,0.0,1.0
2022-07-18,75.37,74.725597428,3438023.0,0.0,1.0
2022-07-19,75.31,74.6661104194,3493437.0,0.0,1.0
2022-07-20,75.24,74.5967089092,3966935.0,0.0,1.0
2022-07-21,75.86,75.2114079991,6833073.0,0.0,1.0
2022-07-22,76.48,75.826107089,6617153.0,0.0,1.0
2022-07-25,76.2,75.5485010484,4256384.0,0.0,1.0
2022-07-26,76.22,75.5683300513,6964307.0,0.0,1.0
2022-07-27,76.43,75.7765345817,5919583.0,0.0,1.0
2022-07-28,76.96,76.3020031586,5140229.0,0.0,1.0
2022-07-29,76.9,76.2425161499,6601739.0,0.0,1.0
2022-08-01,77.08,76.572970449,5370781.0,0.1533,1.0
2022-08-02,76.3,75.7981012618,10808374.0,0.0,1.0
2022-08-03,76.68,76.1756016351,5747718.0,0.0,1.0
2022-08-04,76.87,76.3643518217,9869948.0,0.0,1.0
2022-08-05,76.0,75.5000746513,8946377.0,0.0,1.0
2022-08-08,76.34,75.8378381432,8534785.0,0.0,1.0
2022-08-09,76.17,75.6689563973,6888791.0,0.0,1.0
2022-08-10,76.38,75.8775750246,4305189.0,0.0,1.0
2022-08-11,75.95,75.4504035496,5179625.0,0.0,1.0
2022-08-12,76.3,75.7981012618,4376871.0,0.0,1.0
2022-08-15,76.38,75.8775750246,3922365.0,0.0,1.0
