date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,23.53,23.53,427178.0,0.0,1.0
2022-06-17,23.43,23.43,1370232.0,0.0,1.0
2022-06-21,23.85,23.85,1540367.0,0.0,1.0
2022-06-22,23.58,23.58,619734.0,0.0,1.0
2022-06-23,23.52,23.52,919048.0,0.0,1.0
2022-06-24,24.2,24.2,832747.0,0.0,1.0
2022-06-27,24.17,24.17,1223578.0,0.0,1.0
2022-06-28,24.0,24.0,652315.0,0.0,1.0
2022-06-29,23.92,23.92,324526.0,0.0,1.0
2022-06-30,23.78,23.78,516189.0,0.0,1.0
2022-07-01,23.76,23.76,508838.0,0.0,1.0
2022-07-05,23.36,23.36,939972.0,0.0,1.0
2022-07-06,23.29,23.29,594339.0,0.0,1.0
2022-07-07,23.72,23.72,300143.0,0.0,1.0
2022-07-08,23.73,23.73,227943.0,0.0,1.0
2022-07-11,23.25,23.25,650715.0,0.0,1.0
2022-07-12,23.22,23.22,183084.0,0.0,1.0
2022-07-13,23.2,23.2,252429.0,0.0,1.0
2022-07-14,22.88,22.88,452920.0,0.0,1.0
2022-07-15,23.18,23.18,275552.0,0.0,1.0
2022-07-18,23.32,23.32,490195.0,0.0,1.0
2022-07-19,23.84,23.84,583613.0,0.0,1.0
2022-07-20,23.73,23.73,365818.0,0.0,1.0
2022-07-21,23.99,23.99,338394.0,0.0,1.0
2022-07-22,23.83,23.83,289525.0,0.0,1.0
2022-07-25,24.0,24.0,1189533.0,0.0,1.0
2022-07-26,23.75,23.75,841710.0,0.0,1.0
2022-07-27,24.26,24.26,539505.0,0.0,1.0
2022-07-28,24.38,24.38,323993.0,0.0,1.0
2022-07-29,24.54,24.54,330909.0,0.0,1.0
2022-08-01,24.49,24.49,364797.0,0.0,1.0
2022-08-02,24.19,24.19,279615.0,0.0,1.0
2022-08-03,24.35,24.35,266026.0,0.0,1.0
2022-08-04,24.47,24.47,259428.0,0.0,1.0
2022-08-05,24.35,24.35,384315.0,0.0,1.0
2022-08-08,24.42,24.42,370323.0,0.0,1.0
2022-08-09,24.29,24.29,417459.0,0.0,1.0
2022-08-10,24.78,24.78,268188.0,0.0,1.0
2022-08-11,24.81,24.81,329148.0,0.0,1.0
2022-08-12,25.02,25.02,230685.0,0.0,1.0
2022-08-15,24.87,24.87,334124.0,0.0,1.0
2022-08-16,24.9,24.9,275993.0,0.0,1.0
