date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-14,11.84,11.1445030523,0.0,0.0,1.0
2022-06-15,12.06,11.3515799671,0.0,0.0,1.0
2022-06-16,12.01,11.3045170319,0.0,0.0,1.0
2022-06-17,11.99,11.2856918579,0.0,0.0,1.0
2022-06-21,11.96,11.2574540967,0.0,0.0,1.0
2022-06-22,12.04,11.332754793,0.0,0.0,1.0
2022-06-23,12.07,11.3609925541,0.0,0.0,1.0
2022-06-24,12.08,11.3704051412,0.0,0.0,1.0
2022-06-27,12.01,11.3045170319,0.0,0.0,1.0
2022-06-28,11.96,11.2574540967,0.0,0.0,1.0
2022-06-29,11.62,11.2354851186,0.0,0.3167,1.0
2022-06-30,11.63,11.2451542108,0.0,0.0,1.0
2022-07-01,11.81,11.4191978701,0.0,0.0,1.0
2022-07-05,11.79,11.3998596857,0.0,0.0,1.0
2022-07-06,11.69,11.3031687639,0.0,0.0,1.0
2022-07-07,11.67,11.2838305795,0.0,0.0,1.0
2022-07-08,11.67,11.2838305795,0.0,0.0,1.0
2022-07-11,11.7,11.3128378561,0.0,0.0,1.0
2022-07-12,11.71,11.3225069483,0.0,0.0,1.0
2022-07-13,11.76,11.3708524092,0.0,0.0,1.0
2022-07-14,11.72,11.3321760404,0.0,0.0,1.0
2022-07-15,11.8,11.4095287779,0.0,0.0,1.0
2022-07-18,11.79,11.3998596857,0.0,0.0,1.0
2022-07-19,11.77,11.3805215014,0.0,0.0,1.0
2022-07-20,11.76,11.3708524092,0.0,0.0,1.0
2022-07-21,11.82,11.4288669623,0.0,0.0,1.0
2022-07-22,11.94,11.5448960685,0.0,0.0,1.0
2022-07-25,11.92,11.5255578841,0.0,0.0,1.0
2022-07-26,11.93,11.5352269763,0.0,0.0,1.0
2022-07-27,12.0,11.6029106216,0.0,0.0,1.0
2022-07-28,12.14,11.7382779122,0.0,0.0,1.0
2022-07-29,12.23,11.8252997419,0.0,0.0,1.0
2022-08-01,12.24,11.834968834,0.0,0.0,1.0
2022-08-02,12.08,11.6802633591,0.0,0.0,1.0
2022-08-03,12.15,11.7479470044,0.0,0.0,1.0
2022-08-04,12.16,11.7576160966,0.0,0.0,1.0
2022-08-05,12.03,11.6319178982,0.0,0.0,1.0
2022-08-08,12.1,11.6996015435,0.0,0.0,1.0
2022-08-09,12.07,11.6705942669,0.0,0.0,1.0
2022-08-10,12.05,11.6512560825,0.0,0.0,1.0
2022-08-11,12.01,11.6125797138,0.0,0.0,1.0
2022-08-12,12.06,11.6609251747,0.0,0.0,1.0
2022-08-15,12.06,11.6609251747,0.0,0.0,1.0
2022-08-16,12.06,11.6609251747,0.0,0.0,1.0
2022-08-17,12.02,11.622248806,0.0,0.0,1.0
2022-08-18,12.08,11.6802633591,0.0,0.0,1.0
2022-08-19,12.06,11.6609251747,0.0,0.0,1.0
2022-08-22,12.03,11.6319178982,0.0,0.0,1.0
2022-08-23,12.04,11.6415869903,0.0,0.0,1.0
2022-08-24,12.03,11.6319178982,0.0,0.0,1.0
2022-08-25,12.08,11.6802633591,0.0,0.0,1.0
2022-08-26,12.07,11.6705942669,0.0,0.0,1.0
2022-08-29,12.01,11.6125797138,0.0,0.0,1.0
2022-08-30,11.99,11.5932415294,0.0,0.0,1.0
2022-08-31,11.88,11.4868815154,0.0,0.0,1.0
2022-09-01,11.78,11.3901905935,0.0,0.0,1.0
2022-09-02,11.85,11.4578742388,0.0,0.0,1.0
2022-09-06,11.74,11.3515142248,0.0,0.0,1.0
2022-09-07,11.79,11.3998596857,0.0,0.0,1.0
2022-09-08,11.72,11.3321760404,0.0,0.0,1.0
2022-09-09,11.72,11.3321760404,0.0,0.0,1.0
2022-09-12,11.69,11.3031687639,0.0,0.0,1.0
2022-09-13,11.66,11.2741614873,0.0,0.0,1.0
2022-09-14,11.68,11.2934996717,0.0,0.0,1.0
2022-09-15,11.63,11.2451542108,0.0,0.0,1.0
2022-09-16,11.58,11.1968087499,0.0,0.0,1.0
2022-09-19,11.52,11.1387941967,0.0,0.0,1.0
2022-09-20,11.51,11.1291251046,0.0,0.0,1.0
2022-09-21,11.52,11.1387941967,0.0,0.0,1.0
2022-09-22,11.38,11.0034269062,0.0,0.0,1.0
2022-09-23,11.33,10.9550814452,0.0,0.0,1.0
2022-09-26,11.15,10.7810377859,0.0,0.0,1.0
2022-09-27,11.08,10.7133541406,0.0,0.0,1.0
2022-09-28,11.28,10.9067359843,0.0,0.0,1.0
2022-09-29,10.75,10.75,0.0,0.3679,1.0
2022-09-30,10.68,10.68,0.0,0.0,1.0
2022-10-03,10.83,10.83,0.0,0.0,1.0
2022-10-04,10.86,10.86,0.0,0.0,1.0
2022-10-05,10.78,10.78,0.0,0.0,1.0
2022-10-06,10.73,10.73,0.0,0.0,1.0
2022-10-07,10.73,10.73,0.0,0.0,1.0
2022-10-10,10.68,10.68,0.0,0.0,1.0
2022-10-11,10.73,10.73,0.0,0.0,1.0
2022-10-12,10.74,10.74,0.0,0.0,1.0
2022-10-13,10.73,10.73,0.0,0.0,1.0
2022-10-14,10.74,10.74,0.0,0.0,1.0
2022-10-17,10.77,10.77,0.0,0.0,1.0
2022-10-18,10.75,10.75,0.0,0.0,1.0
2022-10-19,10.69,10.69,0.0,0.0,1.0
2022-10-20,10.67,10.67,0.0,0.0,1.0
2022-10-21,10.71,10.71,0.0,0.0,1.0
2022-10-24,10.74,10.74,0.0,0.0,1.0
2022-10-25,10.78,10.78,0.0,0.0,1.0
2022-10-26,10.76,10.76,0.0,0.0,1.0
2022-10-27,10.84,10.84,0.0,0.0,1.0
2022-10-28,10.83,10.83,0.0,0.0,1.0
2022-10-31,10.8,10.8,0.0,0.0,1.0
2022-11-01,10.81,10.81,0.0,0.0,1.0
2022-11-02,10.79,10.79,0.0,0.0,1.0
2022-11-03,10.67,10.67,0.0,0.0,1.0
