date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-14,103.8,103.8,0.0,0.0,1.0
2022-06-15,105.37,105.37,0.0,0.0,1.0
2022-06-16,101.69,101.69,0.0,0.0,1.0
2022-06-17,102.13,102.13,0.0,0.0,1.0
2022-06-21,104.5,104.5,0.0,0.0,1.0
2022-06-22,104.37,104.37,0.0,0.0,1.0
2022-06-23,105.49,105.49,0.0,0.0,1.0
2022-06-24,108.78,108.78,0.0,0.0,1.0
2022-06-27,108.49,108.49,0.0,0.0,1.0
2022-06-28,106.3,106.3,0.0,0.0,1.0
2022-06-29,106.08,106.08,0.0,0.0,1.0
2022-06-30,105.11,105.11,0.0,0.0,1.0
2022-07-01,106.29,106.29,0.0,0.0,1.0
2022-07-05,106.63,106.63,0.0,0.0,1.0
2022-07-06,106.82,106.82,0.0,0.0,1.0
2022-07-07,108.6,108.6,0.0,0.0,1.0
2022-07-08,108.49,108.49,0.0,0.0,1.0
2022-07-11,107.11,107.11,0.0,0.0,1.0
2022-07-12,106.18,106.18,0.0,0.0,1.0
2022-07-13,105.75,105.75,0.0,0.0,1.0
2022-07-14,105.28,105.28,0.0,0.0,1.0
2022-07-15,107.34,107.34,0.0,0.0,1.0
2022-07-18,106.56,106.56,0.0,0.0,1.0
2022-07-19,109.59,109.59,0.0,0.0,1.0
2022-07-20,110.46,110.46,0.0,0.0,1.0
2022-07-21,111.51,111.51,0.0,0.0,1.0
2022-07-22,110.32,110.32,0.0,0.0,1.0
2022-07-25,110.48,110.48,0.0,0.0,1.0
2022-07-26,109.16,109.16,0.0,0.0,1.0
2022-07-27,112.02,112.02,0.0,0.0,1.0
2022-07-28,113.43,113.43,0.0,0.0,1.0
2022-07-29,114.98,114.98,0.0,0.0,1.0
2022-08-01,114.71,114.71,0.0,0.0,1.0
2022-08-02,114.07,114.07,0.0,0.0,1.0
2022-08-03,115.88,115.88,0.0,0.0,1.0
2022-08-04,115.78,115.78,0.0,0.0,1.0
2022-08-05,115.77,115.77,0.0,0.0,1.0
2022-08-08,115.79,115.79,0.0,0.0,1.0
2022-08-09,115.1,115.1,0.0,0.0,1.0
2022-08-10,117.77,117.77,0.0,0.0,1.0
2022-08-11,117.73,117.73,0.0,0.0,1.0
2022-08-12,119.8,119.8,0.0,0.0,1.0
2022-08-15,120.25,120.25,0.0,0.0,1.0
2022-08-16,120.46,120.46,0.0,0.0,1.0
2022-08-17,119.41,119.41,0.0,0.0,1.0
2022-08-18,119.74,119.74,0.0,0.0,1.0
2022-08-19,118.02,118.02,0.0,0.0,1.0
2022-08-22,115.5,115.5,0.0,0.0,1.0
2022-08-23,115.3,115.3,0.0,0.0,1.0
2022-08-24,115.74,115.74,0.0,0.0,1.0
2022-08-25,117.45,117.45,0.0,0.0,1.0
2022-08-26,113.51,113.51,0.0,0.0,1.0
2022-08-29,112.71,112.71,0.0,0.0,1.0
2022-08-30,111.45,111.45,0.0,0.0,1.0
2022-08-31,110.63,110.63,0.0,0.0,1.0
2022-09-01,110.72,110.72,0.0,0.0,1.0
2022-09-02,109.62,109.62,0.0,0.0,1.0
2022-09-06,109.11,109.11,0.0,0.0,1.0
2022-09-07,111.19,111.19,0.0,0.0,1.0
2022-09-08,112.02,112.02,0.0,0.0,1.0
2022-09-09,113.85,113.85,0.0,0.0,1.0
2022-09-12,115.08,115.08,0.0,0.0,1.0
2022-09-13,110.17,110.17,0.0,0.0,1.0
2022-09-14,110.57,110.57,0.0,0.0,1.0
2022-09-15,109.4,109.4,0.0,0.0,1.0
2022-09-16,108.44,108.44,0.0,0.0,1.0
2022-09-19,109.19,109.19,0.0,0.0,1.0
2022-09-20,107.87,107.87,0.0,0.0,1.0
2022-09-21,106.06,106.06,0.0,0.0,1.0
2022-09-22,104.89,104.89,0.0,0.0,1.0
2022-09-23,103.0,103.0,0.0,0.0,1.0
2022-09-26,101.84,101.84,0.0,0.0,1.0
2022-09-27,101.74,101.74,0.0,0.0,1.0
2022-09-28,103.92,103.92,0.0,0.0,1.0
2022-09-29,101.71,101.71,0.0,0.0,1.0
2022-09-30,100.32,100.32,0.0,0.0,1.0
2022-10-03,102.92,102.92,0.0,0.0,1.0
2022-10-04,106.27,106.27,0.0,0.0,1.0
2022-10-05,106.02,106.02,0.0,0.0,1.0
2022-10-06,105.04,105.04,0.0,0.0,1.0
2022-10-07,102.03,102.03,0.0,0.0,1.0
2022-10-10,101.21,101.21,0.0,0.0,1.0
2022-10-11,100.58,100.58,0.0,0.0,1.0
2022-10-12,100.28,100.28,0.0,0.0,1.0
2022-10-13,102.76,102.76,0.0,0.0,1.0
2022-10-14,100.27,100.27,0.0,0.0,1.0
2022-10-17,103.03,103.03,0.0,0.0,1.0
2022-10-18,104.26,104.26,0.0,0.0,1.0
2022-10-19,103.36,103.36,0.0,0.0,1.0
2022-10-20,102.52,102.52,0.0,0.0,1.0
2022-10-21,104.88,104.88,0.0,0.0,1.0
2022-10-24,105.98,105.98,0.0,0.0,1.0
2022-10-25,107.92,107.92,0.0,0.0,1.0
2022-10-26,107.25,107.25,0.0,0.0,1.0
2022-10-27,106.72,106.72,0.0,0.0,1.0
2022-10-28,109.25,109.25,0.0,0.0,1.0
2022-10-31,108.51,108.51,0.0,0.0,1.0
2022-11-01,108.2,108.2,0.0,0.0,1.0
2022-11-02,105.35,105.35,0.0,0.0,1.0
2022-11-03,104.32,104.32,0.0,0.0,1.0
