date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,11.89,11.89,0.0,0.0,1.0
2022-06-16,11.62,11.62,0.0,0.0,1.0
2022-06-17,11.58,11.58,0.0,0.0,1.0
2022-06-21,11.76,11.76,0.0,0.0,1.0
2022-06-22,11.64,11.64,0.0,0.0,1.0
2022-06-23,11.59,11.59,0.0,0.0,1.0
2022-06-24,11.88,11.88,0.0,0.0,1.0
2022-06-27,11.91,11.91,0.0,0.0,1.0
2022-06-28,11.85,11.85,0.0,0.0,1.0
2022-06-29,11.79,11.79,0.0,0.0,1.0
2022-06-30,11.68,11.68,0.0,0.0,1.0
2022-07-01,11.68,11.68,0.0,0.0,1.0
2022-07-05,11.5,11.5,0.0,0.0,1.0
2022-07-06,11.46,11.46,0.0,0.0,1.0
2022-07-07,11.67,11.67,0.0,0.0,1.0
2022-07-08,11.68,11.68,0.0,0.0,1.0
2022-07-11,11.48,11.48,0.0,0.0,1.0
2022-07-12,11.44,11.44,0.0,0.0,1.0
2022-07-13,11.43,11.43,0.0,0.0,1.0
2022-07-14,11.29,11.29,0.0,0.0,1.0
2022-07-15,11.42,11.42,0.0,0.0,1.0
2022-07-18,11.5,11.5,0.0,0.0,1.0
2022-07-19,11.76,11.76,0.0,0.0,1.0
2022-07-20,11.73,11.73,0.0,0.0,1.0
2022-07-21,11.84,11.84,0.0,0.0,1.0
2022-07-22,11.8,11.8,0.0,0.0,1.0
2022-07-25,11.85,11.85,0.0,0.0,1.0
2022-07-26,11.73,11.73,0.0,0.0,1.0
2022-07-27,11.96,11.96,0.0,0.0,1.0
2022-07-28,12.03,12.03,0.0,0.0,1.0
2022-07-29,12.12,12.12,0.0,0.0,1.0
2022-08-01,12.13,12.13,0.0,0.0,1.0
2022-08-02,11.98,11.98,0.0,0.0,1.0
2022-08-03,12.05,12.05,0.0,0.0,1.0
2022-08-04,12.12,12.12,0.0,0.0,1.0
2022-08-05,12.06,12.06,0.0,0.0,1.0
2022-08-08,12.1,12.1,0.0,0.0,1.0
2022-08-09,12.04,12.04,0.0,0.0,1.0
2022-08-10,12.27,12.27,0.0,0.0,1.0
2022-08-11,12.3,12.3,0.0,0.0,1.0
2022-08-12,12.39,12.39,0.0,0.0,1.0
2022-08-15,12.31,12.31,0.0,0.0,1.0
2022-08-16,12.32,12.32,0.0,0.0,1.0
2022-08-17,12.25,12.25,0.0,0.0,1.0
2022-08-18,12.19,12.19,0.0,0.0,1.0
2022-08-19,12.04,12.04,0.0,0.0,1.0
2022-08-22,11.87,11.87,0.0,0.0,1.0
2022-08-23,11.89,11.89,0.0,0.0,1.0
2022-08-24,11.89,11.89,0.0,0.0,1.0
2022-08-25,12.06,12.06,0.0,0.0,1.0
2022-08-26,11.8,11.8,0.0,0.0,1.0
2022-08-29,11.75,11.75,0.0,0.0,1.0
2022-08-30,11.67,11.67,0.0,0.0,1.0
2022-08-31,11.63,11.63,0.0,0.0,1.0
2022-09-01,11.46,11.46,0.0,0.0,1.0
2022-09-02,11.43,11.43,0.0,0.0,1.0
2022-09-06,11.35,11.35,0.0,0.0,1.0
2022-09-07,11.42,11.42,0.0,0.0,1.0
2022-09-08,11.44,11.44,0.0,0.0,1.0
2022-09-09,11.68,11.68,0.0,0.0,1.0
2022-09-12,11.84,11.84,0.0,0.0,1.0
2022-09-13,11.47,11.47,0.0,0.0,1.0
2022-09-14,11.5,11.5,0.0,0.0,1.0
2022-09-15,11.4,11.4,0.0,0.0,1.0
2022-09-16,11.32,11.32,0.0,0.0,1.0
2022-09-19,11.35,11.35,0.0,0.0,1.0
2022-09-20,11.21,11.21,0.0,0.0,1.0
2022-09-21,11.05,11.05,0.0,0.0,1.0
2022-09-22,11.0,11.0,0.0,0.0,1.0
2022-09-23,10.66,10.66,0.0,0.0,1.0
2022-09-26,10.49,10.49,0.0,0.0,1.0
2022-09-27,10.46,10.46,0.0,0.0,1.0
2022-09-28,10.64,10.64,0.0,0.0,1.0
2022-09-29,10.48,10.48,0.0,0.0,1.0
2022-09-30,10.46,10.46,0.0,0.0,1.0
2022-10-03,10.67,10.67,0.0,0.0,1.0
2022-10-04,11.06,11.06,0.0,0.0,1.0
2022-10-05,10.96,10.96,0.0,0.0,1.0
2022-10-06,10.82,10.82,0.0,0.0,1.0
2022-10-07,10.63,10.63,0.0,0.0,1.0
2022-10-10,10.54,10.54,0.0,0.0,1.0
2022-10-11,10.42,10.42,0.0,0.0,1.0
2022-10-12,10.39,10.39,0.0,0.0,1.0
2022-10-13,10.54,10.54,0.0,0.0,1.0
2022-10-14,10.37,10.37,0.0,0.0,1.0
2022-10-17,10.64,10.64,0.0,0.0,1.0
2022-10-18,10.7,10.7,0.0,0.0,1.0
2022-10-19,10.55,10.55,0.0,0.0,1.0
2022-10-20,10.56,10.56,0.0,0.0,1.0
2022-10-21,10.73,10.73,0.0,0.0,1.0
2022-10-24,10.61,10.61,0.0,0.0,1.0
2022-10-25,10.81,10.81,0.0,0.0,1.0
2022-10-26,10.93,10.93,0.0,0.0,1.0
2022-10-27,10.87,10.87,0.0,0.0,1.0
2022-10-28,10.9,10.9,0.0,0.0,1.0
2022-10-31,10.82,10.82,0.0,0.0,1.0
2022-11-01,10.95,10.95,0.0,0.0,1.0
2022-11-02,10.82,10.82,0.0,0.0,1.0
2022-11-03,10.76,10.76,0.0,0.0,1.0
2022-11-04,11.15,11.15,0.0,0.0,1.0
