date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,9.93,9.93,0.0,0.0,1.0
2022-06-16,9.7,9.7,0.0,0.0,1.0
2022-06-17,9.67,9.67,0.0,0.0,1.0
2022-06-21,9.82,9.82,0.0,0.0,1.0
2022-06-22,9.72,9.72,0.0,0.0,1.0
2022-06-23,9.68,9.68,0.0,0.0,1.0
2022-06-24,9.93,9.93,0.0,0.0,1.0
2022-06-27,9.95,9.95,0.0,0.0,1.0
2022-06-28,9.9,9.9,0.0,0.0,1.0
2022-06-29,9.85,9.85,0.0,0.0,1.0
2022-06-30,9.76,9.76,0.0,0.0,1.0
2022-07-01,9.75,9.75,0.0,0.0,1.0
2022-07-05,9.61,9.61,0.0,0.0,1.0
2022-07-06,9.58,9.58,0.0,0.0,1.0
2022-07-07,9.75,9.75,0.0,0.0,1.0
2022-07-08,9.76,9.76,0.0,0.0,1.0
2022-07-11,9.59,9.59,0.0,0.0,1.0
2022-07-12,9.56,9.56,0.0,0.0,1.0
2022-07-13,9.54,9.54,0.0,0.0,1.0
2022-07-14,9.42,9.42,0.0,0.0,1.0
2022-07-15,9.54,9.54,0.0,0.0,1.0
2022-07-18,9.61,9.61,0.0,0.0,1.0
2022-07-19,9.82,9.82,0.0,0.0,1.0
2022-07-20,9.8,9.8,0.0,0.0,1.0
2022-07-21,9.89,9.89,0.0,0.0,1.0
2022-07-22,9.85,9.85,0.0,0.0,1.0
2022-07-25,9.9,9.9,0.0,0.0,1.0
2022-07-26,9.81,9.81,0.0,0.0,1.0
2022-07-27,10.0,10.0,0.0,0.0,1.0
2022-07-28,10.06,10.06,0.0,0.0,1.0
2022-07-29,10.13,10.13,0.0,0.0,1.0
2022-08-01,10.15,10.15,0.0,0.0,1.0
2022-08-02,10.02,10.02,0.0,0.0,1.0
2022-08-03,10.08,10.08,0.0,0.0,1.0
2022-08-04,10.14,10.14,0.0,0.0,1.0
2022-08-05,10.09,10.09,0.0,0.0,1.0
2022-08-08,10.12,10.12,0.0,0.0,1.0
2022-08-09,10.07,10.07,0.0,0.0,1.0
2022-08-10,10.27,10.27,0.0,0.0,1.0
2022-08-11,10.29,10.29,0.0,0.0,1.0
2022-08-12,10.36,10.36,0.0,0.0,1.0
2022-08-15,10.3,10.3,0.0,0.0,1.0
2022-08-16,10.3,10.3,0.0,0.0,1.0
2022-08-17,10.25,10.25,0.0,0.0,1.0
2022-08-18,10.2,10.2,0.0,0.0,1.0
2022-08-19,10.07,10.07,0.0,0.0,1.0
2022-08-22,9.93,9.93,0.0,0.0,1.0
2022-08-23,9.95,9.95,0.0,0.0,1.0
2022-08-24,9.95,9.95,0.0,0.0,1.0
2022-08-25,10.09,10.09,0.0,0.0,1.0
2022-08-26,9.87,9.87,0.0,0.0,1.0
2022-08-29,9.83,9.83,0.0,0.0,1.0
2022-08-30,9.76,9.76,0.0,0.0,1.0
2022-08-31,9.72,9.72,0.0,0.0,1.0
2022-09-01,9.58,9.58,0.0,0.0,1.0
2022-09-02,9.55,9.55,0.0,0.0,1.0
2022-09-06,9.48,9.48,0.0,0.0,1.0
2022-09-07,9.54,9.54,0.0,0.0,1.0
2022-09-08,9.56,9.56,0.0,0.0,1.0
2022-09-09,9.76,9.76,0.0,0.0,1.0
2022-09-12,9.9,9.9,0.0,0.0,1.0
2022-09-13,9.58,9.58,0.0,0.0,1.0
2022-09-14,9.61,9.61,0.0,0.0,1.0
2022-09-15,9.53,9.53,0.0,0.0,1.0
2022-09-16,9.46,9.46,0.0,0.0,1.0
2022-09-19,9.49,9.49,0.0,0.0,1.0
2022-09-20,9.37,9.37,0.0,0.0,1.0
2022-09-21,9.24,9.24,0.0,0.0,1.0
2022-09-22,9.19,9.19,0.0,0.0,1.0
2022-09-23,8.91,8.91,0.0,0.0,1.0
2022-09-26,8.78,8.78,0.0,0.0,1.0
2022-09-27,8.75,8.75,0.0,0.0,1.0
2022-09-28,8.9,8.9,0.0,0.0,1.0
2022-09-29,8.78,8.78,0.0,0.0,1.0
2022-09-30,8.74,8.74,0.0,0.0,1.0
2022-10-03,8.93,8.93,0.0,0.0,1.0
2022-10-04,9.26,9.26,0.0,0.0,1.0
2022-10-05,9.18,9.18,0.0,0.0,1.0
2022-10-06,9.06,9.06,0.0,0.0,1.0
2022-10-07,8.9,8.9,0.0,0.0,1.0
2022-10-10,8.82,8.82,0.0,0.0,1.0
2022-10-11,8.72,8.72,0.0,0.0,1.0
2022-10-12,8.7,8.7,0.0,0.0,1.0
2022-10-13,8.83,8.83,0.0,0.0,1.0
2022-10-14,8.68,8.68,0.0,0.0,1.0
2022-10-17,8.91,8.91,0.0,0.0,1.0
2022-10-18,8.96,8.96,0.0,0.0,1.0
2022-10-19,8.84,8.84,0.0,0.0,1.0
2022-10-20,8.84,8.84,0.0,0.0,1.0
2022-10-21,8.99,8.99,0.0,0.0,1.0
2022-10-24,8.9,8.9,0.0,0.0,1.0
2022-10-25,9.06,9.06,0.0,0.0,1.0
2022-10-26,9.16,9.16,0.0,0.0,1.0
2022-10-27,9.11,9.11,0.0,0.0,1.0
2022-10-28,9.15,9.15,0.0,0.0,1.0
2022-10-31,9.08,9.08,0.0,0.0,1.0
2022-11-01,9.19,9.19,0.0,0.0,1.0
2022-11-02,9.07,9.07,0.0,0.0,1.0
2022-11-03,9.02,9.02,0.0,0.0,1.0
2022-11-04,9.34,9.34,0.0,0.0,1.0
