date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-14,13.07,13.07,0.0,0.0,1.0
2022-06-15,13.27,13.27,0.0,0.0,1.0
2022-06-16,12.8,12.8,0.0,0.0,1.0
2022-06-17,12.86,12.86,0.0,0.0,1.0
2022-06-21,13.16,13.16,0.0,0.0,1.0
2022-06-22,13.14,13.14,0.0,0.0,1.0
2022-06-23,13.28,13.28,0.0,0.0,1.0
2022-06-24,13.7,13.7,0.0,0.0,1.0
2022-06-27,13.66,13.66,0.0,0.0,1.0
2022-06-28,13.39,13.39,0.0,0.0,1.0
2022-06-29,13.36,13.36,0.0,0.0,1.0
2022-06-30,13.24,13.24,0.0,0.0,1.0
2022-07-01,13.38,13.38,0.0,0.0,1.0
2022-07-05,13.43,13.43,0.0,0.0,1.0
2022-07-06,13.45,13.45,0.0,0.0,1.0
2022-07-07,13.67,13.67,0.0,0.0,1.0
2022-07-08,13.66,13.66,0.0,0.0,1.0
2022-07-11,13.49,13.49,0.0,0.0,1.0
2022-07-12,13.37,13.37,0.0,0.0,1.0
2022-07-13,13.32,13.32,0.0,0.0,1.0
2022-07-14,13.26,13.26,0.0,0.0,1.0
2022-07-15,13.52,13.52,0.0,0.0,1.0
2022-07-18,13.42,13.42,0.0,0.0,1.0
2022-07-19,13.8,13.8,0.0,0.0,1.0
2022-07-20,13.91,13.91,0.0,0.0,1.0
2022-07-21,14.04,14.04,0.0,0.0,1.0
2022-07-22,13.89,13.89,0.0,0.0,1.0
2022-07-25,13.91,13.91,0.0,0.0,1.0
2022-07-26,13.75,13.75,0.0,0.0,1.0
2022-07-27,14.11,14.11,0.0,0.0,1.0
2022-07-28,14.28,14.28,0.0,0.0,1.0
2022-07-29,14.48,14.48,0.0,0.0,1.0
2022-08-01,14.45,14.45,0.0,0.0,1.0
2022-08-02,14.36,14.36,0.0,0.0,1.0
2022-08-03,14.59,14.59,0.0,0.0,1.0
2022-08-04,14.58,14.58,0.0,0.0,1.0
2022-08-05,14.58,14.58,0.0,0.0,1.0
2022-08-08,14.58,14.58,0.0,0.0,1.0
2022-08-09,14.49,14.49,0.0,0.0,1.0
2022-08-10,14.83,14.83,0.0,0.0,1.0
2022-08-11,14.82,14.82,0.0,0.0,1.0
2022-08-12,15.09,15.09,0.0,0.0,1.0
2022-08-15,15.14,15.14,0.0,0.0,1.0
2022-08-16,15.17,15.17,0.0,0.0,1.0
2022-08-17,15.04,15.04,0.0,0.0,1.0
2022-08-18,15.08,15.08,0.0,0.0,1.0
2022-08-19,14.86,14.86,0.0,0.0,1.0
2022-08-22,14.55,14.55,0.0,0.0,1.0
2022-08-23,14.52,14.52,0.0,0.0,1.0
2022-08-24,14.58,14.58,0.0,0.0,1.0
2022-08-25,14.79,14.79,0.0,0.0,1.0
2022-08-26,14.29,14.29,0.0,0.0,1.0
2022-08-29,14.19,14.19,0.0,0.0,1.0
2022-08-30,14.04,14.04,0.0,0.0,1.0
2022-08-31,13.93,13.93,0.0,0.0,1.0
2022-09-01,13.94,13.94,0.0,0.0,1.0
2022-09-02,13.8,13.8,0.0,0.0,1.0
2022-09-06,13.74,13.74,0.0,0.0,1.0
2022-09-07,14.0,14.0,0.0,0.0,1.0
2022-09-08,14.11,14.11,0.0,0.0,1.0
2022-09-09,14.34,14.34,0.0,0.0,1.0
2022-09-12,14.49,14.49,0.0,0.0,1.0
2022-09-13,13.87,13.87,0.0,0.0,1.0
2022-09-14,13.92,13.92,0.0,0.0,1.0
2022-09-15,13.78,13.78,0.0,0.0,1.0
2022-09-16,13.66,13.66,0.0,0.0,1.0
2022-09-19,13.75,13.75,0.0,0.0,1.0
2022-09-20,13.59,13.59,0.0,0.0,1.0
2022-09-21,13.36,13.36,0.0,0.0,1.0
2022-09-22,13.21,13.21,0.0,0.0,1.0
2022-09-23,12.98,12.98,0.0,0.0,1.0
2022-09-26,12.83,12.83,0.0,0.0,1.0
2022-09-27,12.82,12.82,0.0,0.0,1.0
2022-09-28,13.09,13.09,0.0,0.0,1.0
2022-09-29,12.81,12.81,0.0,0.0,1.0
2022-09-30,12.64,12.64,0.0,0.0,1.0
2022-10-03,12.97,12.97,0.0,0.0,1.0
2022-10-04,13.39,13.39,0.0,0.0,1.0
2022-10-05,13.36,13.36,0.0,0.0,1.0
2022-10-06,13.23,13.23,0.0,0.0,1.0
2022-10-07,12.86,12.86,0.0,0.0,1.0
2022-10-10,12.75,12.75,0.0,0.0,1.0
2022-10-11,12.67,12.67,0.0,0.0,1.0
2022-10-12,12.64,12.64,0.0,0.0,1.0
2022-10-13,12.95,12.95,0.0,0.0,1.0
2022-10-14,12.64,12.64,0.0,0.0,1.0
2022-10-17,12.98,12.98,0.0,0.0,1.0
2022-10-18,13.14,13.14,0.0,0.0,1.0
2022-10-19,13.03,13.03,0.0,0.0,1.0
2022-10-20,12.92,12.92,0.0,0.0,1.0
2022-10-21,13.22,13.22,0.0,0.0,1.0
2022-10-24,13.36,13.36,0.0,0.0,1.0
2022-10-25,13.6,13.6,0.0,0.0,1.0
2022-10-26,13.52,13.52,0.0,0.0,1.0
2022-10-27,13.45,13.45,0.0,0.0,1.0
2022-10-28,13.77,13.77,0.0,0.0,1.0
2022-10-31,13.68,13.68,0.0,0.0,1.0
2022-11-01,13.64,13.64,0.0,0.0,1.0
2022-11-02,13.28,13.28,0.0,0.0,1.0
2022-11-03,13.15,13.15,0.0,0.0,1.0
