date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,56.38,56.38,9545535.0,0.0,1.0
2022-06-17,56.25,56.25,4606705.0,0.0,1.0
2022-06-21,57.15,57.15,4098454.0,0.0,1.0
2022-06-22,56.5,56.5,4741272.0,0.0,1.0
2022-06-23,56.41,56.41,3827947.0,0.0,1.0
2022-06-24,58.0,58.0,2481767.0,0.0,1.0
2022-06-27,57.94,57.94,2558111.0,0.0,1.0
2022-06-28,57.58,57.58,2581647.0,0.0,1.0
2022-06-29,57.29,57.29,1891054.0,0.0,1.0
2022-06-30,57.03,57.03,2687811.0,0.0,1.0
2022-07-01,56.99,56.99,3819384.0,0.0,1.0
2022-07-05,56.01,56.01,5295445.0,0.0,1.0
2022-07-06,55.93,55.93,2662268.0,0.0,1.0
2022-07-07,56.88,56.88,3822597.0,0.0,1.0
2022-07-08,56.94,56.94,3869783.0,0.0,1.0
2022-07-11,55.87,55.87,2494179.0,0.0,1.0
2022-07-12,55.72,55.72,2991028.0,0.0,1.0
2022-07-13,55.7,55.7,2115212.0,0.0,1.0
2022-07-14,54.98,54.98,2170536.0,0.0,1.0
2022-07-15,55.67,55.67,2235926.0,0.0,1.0
2022-07-18,56.0,56.0,2747835.0,0.0,1.0
2022-07-19,57.31,57.31,2288157.0,0.0,1.0
2022-07-20,57.1,57.1,7726667.0,0.0,1.0
2022-07-21,57.72,57.72,1792198.0,0.0,1.0
2022-07-22,57.42,57.42,1708473.0,0.0,1.0
2022-07-25,57.82,57.82,1850007.0,0.0,1.0
2022-07-26,57.09,57.09,1976524.0,0.0,1.0
2022-07-27,58.35,58.35,1968494.0,0.0,1.0
2022-07-28,58.71,58.71,3315850.0,0.0,1.0
2022-07-29,59.23,59.23,2349401.0,0.0,1.0
2022-08-01,59.1,59.1,3113064.0,0.0,1.0
2022-08-02,58.37,58.37,2157536.0,0.0,1.0
2022-08-03,58.75,58.75,2623103.0,0.0,1.0
2022-08-04,59.03,59.03,3563030.0,0.0,1.0
2022-08-05,58.71,58.71,2918695.0,0.0,1.0
2022-08-08,58.87,58.87,2668178.0,0.0,1.0
2022-08-09,58.6,58.6,989073.0,0.0,1.0
2022-08-10,59.83,59.83,1514277.0,0.0,1.0
2022-08-11,59.91,59.91,2109665.0,0.0,1.0
2022-08-12,60.43,60.43,1251826.0,0.0,1.0
2022-08-15,60.09,60.09,2274370.0,0.0,1.0
2022-08-16,60.1,60.1,2753275.0,0.0,1.0
2022-08-17,59.65,59.65,1793250.0,0.0,1.0
2022-08-18,59.43,59.43,1100183.0,0.0,1.0
2022-08-19,58.62,58.62,1380908.0,0.0,1.0
2022-08-22,57.77,57.77,1449219.0,0.0,1.0
2022-08-23,57.93,57.93,1328471.0,0.0,1.0
2022-08-24,58.03,58.03,1442645.0,0.0,1.0
2022-08-25,58.82,58.82,1489386.0,0.0,1.0
2022-08-26,57.44,57.44,1603347.0,0.0,1.0
2022-08-29,57.3,57.3,2012973.0,0.0,1.0
2022-08-30,56.74,56.74,6282267.0,0.0,1.0
2022-08-31,56.5,56.5,1663372.0,0.0,1.0
2022-09-01,55.89,55.89,3423826.0,0.0,1.0
2022-09-02,55.53,55.53,2691929.0,0.0,1.0
2022-09-06,55.17,55.17,2791065.0,0.0,1.0
2022-09-07,55.67,55.67,2848895.0,0.0,1.0
2022-09-08,55.72,55.72,3263071.0,0.0,1.0
2022-09-09,56.95,56.95,1595647.0,0.0,1.0
2022-09-12,57.74,57.74,2229504.0,0.0,1.0
2022-09-13,55.8,55.8,1866091.0,0.0,1.0
2022-09-14,56.07,56.07,2235180.0,0.0,1.0
2022-09-15,55.52,55.52,1525069.0,0.0,1.0
2022-09-16,55.08,55.08,1972832.0,0.0,1.0
2022-09-19,55.3,55.3,1545667.0,0.0,1.0
2022-09-20,54.52,54.52,1742750.0,0.0,1.0
2022-09-21,53.76,53.76,2582384.0,0.0,1.0
2022-09-22,53.55,53.55,2935878.0,0.0,1.0
2022-09-23,51.94,51.94,3320756.0,0.0,1.0
2022-09-26,51.13,51.13,3460973.0,0.0,1.0
2022-09-27,50.92,50.92,2936520.0,0.0,1.0
2022-09-28,51.98,51.98,6087948.0,0.0,1.0
2022-09-29,51.1,51.1,4297953.0,0.0,1.0
2022-09-30,50.92,50.92,8860521.0,0.0,1.0
2022-10-03,51.95,51.95,3854156.0,0.0,1.0
2022-10-04,53.92,53.92,3150568.0,0.0,1.0
2022-10-05,53.46,53.46,1978487.0,0.0,1.0
2022-10-06,52.69,52.69,2490732.0,0.0,1.0
2022-10-07,51.73,51.73,3665290.0,0.0,1.0
2022-10-10,51.32,51.32,3501535.0,0.0,1.0
2022-10-11,50.71,50.71,2965760.0,0.0,1.0
2022-10-12,50.56,50.56,2986980.0,0.0,1.0
2022-10-13,51.39,51.39,4356592.0,0.0,1.0
2022-10-14,50.59,50.59,3415021.0,0.0,1.0
2022-10-17,51.89,51.89,2102688.0,0.0,1.0
2022-10-18,52.12,52.12,2894890.0,0.0,1.0
2022-10-19,51.4,51.4,3153987.0,0.0,1.0
2022-10-20,51.43,51.43,2473251.0,0.0,1.0
2022-10-21,52.34,52.34,2447476.0,0.0,1.0
2022-10-24,51.84,51.84,9820833.0,0.0,1.0
2022-10-25,52.74,52.74,3325076.0,0.0,1.0
2022-10-26,53.34,53.34,4941362.0,0.0,1.0
2022-10-27,52.95,52.95,3901337.0,0.0,1.0
2022-10-28,53.21,53.21,8729962.0,0.0,1.0
2022-10-31,52.85,52.85,3994383.0,0.0,1.0
2022-11-01,53.36,53.36,4097420.0,0.0,1.0
2022-11-02,52.68,52.68,3231861.0,0.0,1.0
