date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,41.68,41.3390870937,0.0,0.0,1.0
2022-06-16,40.33,40.0001291384,0.0,0.0,1.0
2022-06-17,40.41,40.079474795,0.0,0.0,1.0
2022-06-21,41.41,41.0712955026,0.0,0.0,1.0
2022-06-22,41.35,41.0117862601,0.0,0.0,1.0
2022-06-23,41.58,41.4032578934,0.0,0.1647,1.0
2022-06-24,42.85,42.6678595655,0.0,0.0,1.0
2022-06-27,42.73,42.5483696437,0.0,0.0,1.0
2022-06-28,41.87,41.6920252044,0.0,0.0,1.0
2022-06-29,41.84,41.6621527239,0.0,0.0,1.0
2022-06-30,41.48,41.3036829586,0.0,0.0,1.0
2022-07-01,41.92,41.7418126718,0.0,0.0,1.0
2022-07-05,41.99,41.8115151262,0.0,0.0,1.0
2022-07-06,42.14,41.9608775284,0.0,0.0,1.0
2022-07-07,42.78,42.5981571111,0.0,0.0,1.0
2022-07-08,42.75,42.5682846307,0.0,0.0,1.0
2022-07-11,42.25,42.0704099567,0.0,0.0,1.0
2022-07-12,41.86,41.6820677109,0.0,0.0,1.0
2022-07-13,41.68,41.5028328283,0.0,0.0,1.0
2022-07-14,41.56,41.3833429065,0.0,0.0,1.0
2022-07-15,42.35,42.1699848915,0.0,0.0,1.0
2022-07-18,42.0,41.8214726196,0.0,0.0,1.0
2022-07-19,43.16,42.9765418634,0.0,0.0,1.0
2022-07-20,43.42,43.2354366939,0.0,0.0,1.0
2022-07-21,43.85,43.6636089136,0.0,0.0,1.0
2022-07-22,43.44,43.2553516809,0.0,0.0,1.0
2022-07-25,43.5,43.3150966418,0.0,0.0,1.0
2022-07-26,42.99,42.8072644742,0.0,0.0,1.0
2022-07-27,44.12,43.9324612376,0.0,0.0,1.0
2022-07-28,44.66,44.4701658855,0.0,0.0,1.0
2022-07-29,45.3,45.1074454683,0.0,0.0,1.0
2022-08-01,45.17,44.9779980531,0.0,0.0,1.0
2022-08-02,44.87,44.6792732486,0.0,0.0,1.0
2022-08-03,45.57,45.3762977923,0.0,0.0,1.0
2022-08-04,45.54,45.3464253119,0.0,0.0,1.0
2022-08-05,45.47,45.2767228575,0.0,0.0,1.0
2022-08-08,45.41,45.2169778966,0.0,0.0,1.0
2022-08-09,45.23,45.037743014,0.0,0.0,1.0
2022-08-10,46.19,45.9936623881,0.0,0.0,1.0
2022-08-11,46.17,45.9737474012,0.0,0.0,1.0
2022-08-12,46.98,46.7803043731,0.0,0.0,1.0
2022-08-15,47.16,46.9595392558,0.0,0.0,1.0
2022-08-16,47.25,47.0491566971,0.0,0.0,1.0
2022-08-17,46.92,46.7205594122,0.0,0.0,1.0
2022-08-18,47.03,46.8300918405,0.0,0.0,1.0
2022-08-19,46.43,46.2326422317,0.0,0.0,1.0
2022-08-22,45.44,45.2468503771,0.0,0.0,1.0
2022-08-23,45.34,45.1472754422,0.0,0.0,1.0
2022-08-24,45.47,45.2767228575,0.0,0.0,1.0
2022-08-25,46.11,45.9140024403,0.0,0.0,1.0
2022-08-26,44.56,44.3705909507,0.0,0.0,1.0
2022-08-29,44.27,44.0818236398,0.0,0.0,1.0
2022-08-30,43.78,43.5939064592,0.0,0.0,1.0
2022-08-31,43.45,43.2653091744,0.0,0.0,1.0
2022-09-01,43.59,43.4047140831,0.0,0.0,1.0
2022-09-02,43.12,42.9367118895,0.0,0.0,1.0
2022-09-06,42.95,42.7674345003,0.0,0.0,1.0
2022-09-07,43.74,43.5540764853,0.0,0.0,1.0
2022-09-08,44.03,43.8428437963,0.0,0.0,1.0
2022-09-09,44.71,44.519953353,0.0,0.0,1.0
2022-09-12,45.18,44.9879555466,0.0,0.0,1.0
2022-09-13,43.23,43.0462443178,0.0,0.0,1.0
2022-09-14,43.39,43.2055642135,0.0,0.0,1.0
2022-09-15,42.9,42.7176470329,0.0,0.0,1.0
2022-09-16,42.59,42.408964735,0.0,0.0,1.0
2022-09-19,42.88,42.697732046,0.0,0.0,1.0
2022-09-20,42.4,42.2197723589,0.0,0.0,1.0
2022-09-21,41.68,41.5028328283,0.0,0.0,1.0
2022-09-22,41.15,41.15,0.0,0.1757,1.0
2022-09-23,40.45,40.45,0.0,0.0,1.0
2022-09-26,40.03,40.03,0.0,0.0,1.0
2022-09-27,39.95,39.95,0.0,0.0,1.0
2022-09-28,40.73,40.73,0.0,0.0,1.0
2022-09-29,39.88,39.88,0.0,0.0,1.0
2022-09-30,39.28,39.28,0.0,0.0,1.0
2022-10-03,40.3,40.3,0.0,0.0,1.0
2022-10-04,41.53,41.53,0.0,0.0,1.0
2022-10-05,41.45,41.45,0.0,0.0,1.0
2022-10-06,41.04,41.04,0.0,0.0,1.0
2022-10-07,39.89,39.89,0.0,0.0,1.0
2022-10-10,39.59,39.59,0.0,0.0,1.0
2022-10-11,39.33,39.33,0.0,0.0,1.0
2022-10-12,39.21,39.21,0.0,0.0,1.0
2022-10-13,40.23,40.23,0.0,0.0,1.0
2022-10-14,39.28,39.28,0.0,0.0,1.0
2022-10-17,40.32,40.32,0.0,0.0,1.0
2022-10-18,40.78,40.78,0.0,0.0,1.0
2022-10-19,40.51,40.51,0.0,0.0,1.0
2022-10-20,40.19,40.19,0.0,0.0,1.0
2022-10-21,41.14,41.14,0.0,0.0,1.0
2022-10-24,41.63,41.63,0.0,0.0,1.0
2022-10-25,42.31,42.31,0.0,0.0,1.0
2022-10-26,42.0,42.0,0.0,0.0,1.0
2022-10-27,41.74,41.74,0.0,0.0,1.0
2022-10-28,42.77,42.77,0.0,0.0,1.0
2022-10-31,42.46,42.46,0.0,0.0,1.0
2022-11-01,42.28,42.28,0.0,0.0,1.0
2022-11-02,41.23,41.23,0.0,0.0,1.0
2022-11-03,40.79,40.79,0.0,0.0,1.0
2022-11-04,41.36,41.36,0.0,0.0,1.0
