date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,13.36,13.36,0.0,0.0,1.0
2022-06-16,13.1,13.1,0.0,0.0,1.0
2022-06-17,13.02,13.02,0.0,0.0,1.0
2022-06-21,13.21,13.21,0.0,0.0,1.0
2022-06-22,13.13,13.13,0.0,0.0,1.0
2022-06-23,13.09,13.09,0.0,0.0,1.0
2022-06-24,13.46,13.46,0.0,0.0,1.0
2022-06-27,13.44,13.44,0.0,0.0,1.0
2022-06-28,13.38,13.38,0.0,0.0,1.0
2022-06-29,13.31,13.31,0.0,0.0,1.0
2022-06-30,13.21,13.21,0.0,0.0,1.0
2022-07-01,13.22,13.22,0.0,0.0,1.0
2022-07-05,12.96,12.96,0.0,0.0,1.0
2022-07-06,12.96,12.96,0.0,0.0,1.0
2022-07-07,13.16,13.16,0.0,0.0,1.0
2022-07-08,13.18,13.18,0.0,0.0,1.0
2022-07-11,12.99,12.99,0.0,0.0,1.0
2022-07-12,12.98,12.98,0.0,0.0,1.0
2022-07-13,12.96,12.96,0.0,0.0,1.0
2022-07-14,12.78,12.78,0.0,0.0,1.0
2022-07-15,12.99,12.99,0.0,0.0,1.0
2022-07-18,13.06,13.06,0.0,0.0,1.0
2022-07-19,13.39,13.39,0.0,0.0,1.0
2022-07-20,13.32,13.32,0.0,0.0,1.0
2022-07-21,13.47,13.47,0.0,0.0,1.0
2022-07-22,13.43,13.43,0.0,0.0,1.0
2022-07-25,13.52,13.52,0.0,0.0,1.0
2022-07-26,13.36,13.36,0.0,0.0,1.0
2022-07-27,13.64,13.64,0.0,0.0,1.0
2022-07-28,13.73,13.73,0.0,0.0,1.0
2022-07-29,13.89,13.89,0.0,0.0,1.0
2022-08-01,13.91,13.91,0.0,0.0,1.0
2022-08-02,13.71,13.71,0.0,0.0,1.0
2022-08-03,13.79,13.79,0.0,0.0,1.0
2022-08-04,13.87,13.87,0.0,0.0,1.0
2022-08-05,13.76,13.76,0.0,0.0,1.0
2022-08-08,13.79,13.79,0.0,0.0,1.0
2022-08-09,13.71,13.71,0.0,0.0,1.0
2022-08-10,14.02,14.02,0.0,0.0,1.0
2022-08-11,14.02,14.02,0.0,0.0,1.0
2022-08-12,14.11,14.11,0.0,0.0,1.0
2022-08-15,14.03,14.03,0.0,0.0,1.0
2022-08-16,14.02,14.02,0.0,0.0,1.0
2022-08-17,13.92,13.92,0.0,0.0,1.0
2022-08-18,13.87,13.87,0.0,0.0,1.0
2022-08-19,13.69,13.69,0.0,0.0,1.0
2022-08-22,13.47,13.47,0.0,0.0,1.0
2022-08-23,13.47,13.47,0.0,0.0,1.0
2022-08-24,13.47,13.47,0.0,0.0,1.0
2022-08-25,13.62,13.62,0.0,0.0,1.0
2022-08-26,13.28,13.28,0.0,0.0,1.0
2022-08-29,13.24,13.24,0.0,0.0,1.0
2022-08-30,13.17,13.17,0.0,0.0,1.0
2022-08-31,13.06,13.06,0.0,0.0,1.0
2022-09-01,12.88,12.88,0.0,0.0,1.0
2022-09-02,12.83,12.83,0.0,0.0,1.0
2022-09-06,12.77,12.77,0.0,0.0,1.0
2022-09-07,12.87,12.87,0.0,0.0,1.0
2022-09-08,12.91,12.91,0.0,0.0,1.0
2022-09-09,13.19,13.19,0.0,0.0,1.0
2022-09-12,13.4,13.4,0.0,0.0,1.0
2022-09-13,12.95,12.95,0.0,0.0,1.0
2022-09-14,12.97,12.97,0.0,0.0,1.0
2022-09-15,12.86,12.86,0.0,0.0,1.0
2022-09-16,12.79,12.79,0.0,0.0,1.0
2022-09-19,12.83,12.83,0.0,0.0,1.0
2022-09-20,12.62,12.62,0.0,0.0,1.0
2022-09-21,12.45,12.45,0.0,0.0,1.0
2022-09-22,12.4,12.4,0.0,0.0,1.0
2022-09-23,12.0,12.0,0.0,0.0,1.0
2022-09-26,11.81,11.81,0.0,0.0,1.0
2022-09-27,11.76,11.76,0.0,0.0,1.0
2022-09-28,12.04,12.04,0.0,0.0,1.0
2022-09-29,11.89,11.89,0.0,0.0,1.0
2022-09-30,11.83,11.83,0.0,0.0,1.0
2022-10-03,12.09,12.09,0.0,0.0,1.0
2022-10-04,12.58,12.58,0.0,0.0,1.0
2022-10-05,12.44,12.44,0.0,0.0,1.0
2022-10-06,12.22,12.22,0.0,0.0,1.0
2022-10-07,12.02,12.02,0.0,0.0,1.0
2022-10-10,11.94,11.94,0.0,0.0,1.0
2022-10-11,11.83,11.83,0.0,0.0,1.0
2022-10-12,11.78,11.78,0.0,0.0,1.0
2022-10-13,12.02,12.02,0.0,0.0,1.0
2022-10-14,11.83,11.83,0.0,0.0,1.0
2022-10-17,12.14,12.14,0.0,0.0,1.0
2022-10-18,12.22,12.22,0.0,0.0,1.0
2022-10-19,12.06,12.06,0.0,0.0,1.0
2022-10-20,12.05,12.05,0.0,0.0,1.0
2022-10-21,12.26,12.26,0.0,0.0,1.0
2022-10-24,12.26,12.26,0.0,0.0,1.0
2022-10-25,12.54,12.54,0.0,0.0,1.0
2022-10-26,12.67,12.67,0.0,0.0,1.0
2022-10-27,12.54,12.54,0.0,0.0,1.0
2022-10-28,12.65,12.65,0.0,0.0,1.0
2022-10-31,12.53,12.53,0.0,0.0,1.0
2022-11-01,12.65,12.65,0.0,0.0,1.0
2022-11-02,12.47,12.47,0.0,0.0,1.0
2022-11-03,12.36,12.36,0.0,0.0,1.0
2022-11-04,12.84,12.84,0.0,0.0,1.0
