date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,40.82,40.82,0.0,0.0,1.0
2022-06-16,39.39,39.39,0.0,0.0,1.0
2022-06-17,39.56,39.56,0.0,0.0,1.0
2022-06-21,40.47,40.47,0.0,0.0,1.0
2022-06-22,40.43,40.43,0.0,0.0,1.0
2022-06-23,40.86,40.86,0.0,0.0,1.0
2022-06-24,42.16,42.16,0.0,0.0,1.0
2022-06-27,42.04,42.04,0.0,0.0,1.0
2022-06-28,41.19,41.19,0.0,0.0,1.0
2022-06-29,41.11,41.11,0.0,0.0,1.0
2022-06-30,40.73,40.73,0.0,0.0,1.0
2022-07-01,41.19,41.19,0.0,0.0,1.0
2022-07-05,41.33,41.33,0.0,0.0,1.0
2022-07-06,41.4,41.4,0.0,0.0,1.0
2022-07-07,42.09,42.09,0.0,0.0,1.0
2022-07-08,42.05,42.05,0.0,0.0,1.0
2022-07-11,41.51,41.51,0.0,0.0,1.0
2022-07-12,41.15,41.15,0.0,0.0,1.0
2022-07-13,40.98,40.98,0.0,0.0,1.0
2022-07-14,40.8,40.8,0.0,0.0,1.0
2022-07-15,41.6,41.6,0.0,0.0,1.0
2022-07-18,41.29,41.29,0.0,0.0,1.0
2022-07-19,42.47,42.47,0.0,0.0,1.0
2022-07-20,42.8,42.8,0.0,0.0,1.0
2022-07-21,43.21,43.21,0.0,0.0,1.0
2022-07-22,42.75,42.75,0.0,0.0,1.0
2022-07-25,42.81,42.81,0.0,0.0,1.0
2022-07-26,42.3,42.3,0.0,0.0,1.0
2022-07-27,43.41,43.41,0.0,0.0,1.0
2022-07-28,43.95,43.95,0.0,0.0,1.0
2022-07-29,44.55,44.55,0.0,0.0,1.0
2022-08-01,44.44,44.44,0.0,0.0,1.0
2022-08-02,44.19,44.19,0.0,0.0,1.0
2022-08-03,44.89,44.89,0.0,0.0,1.0
2022-08-04,44.85,44.85,0.0,0.0,1.0
2022-08-05,44.85,44.85,0.0,0.0,1.0
2022-08-08,44.85,44.85,0.0,0.0,1.0
2022-08-09,44.59,44.59,0.0,0.0,1.0
2022-08-10,45.62,45.62,0.0,0.0,1.0
2022-08-11,45.6,45.6,0.0,0.0,1.0
2022-08-12,46.41,46.41,0.0,0.0,1.0
2022-08-15,46.58,46.58,0.0,0.0,1.0
2022-08-16,46.66,46.66,0.0,0.0,1.0
2022-08-17,46.26,46.26,0.0,0.0,1.0
2022-08-18,46.38,46.38,0.0,0.0,1.0
2022-08-19,45.72,45.72,0.0,0.0,1.0
2022-08-22,44.73,44.73,0.0,0.0,1.0
2022-08-23,44.66,44.66,0.0,0.0,1.0
2022-08-24,44.83,44.83,0.0,0.0,1.0
2022-08-25,45.49,45.49,0.0,0.0,1.0
2022-08-26,43.96,43.96,0.0,0.0,1.0
2022-08-29,43.65,43.65,0.0,0.0,1.0
2022-08-30,43.17,43.17,0.0,0.0,1.0
2022-08-31,42.84,42.84,0.0,0.0,1.0
2022-09-01,42.88,42.88,0.0,0.0,1.0
2022-09-02,42.45,42.45,0.0,0.0,1.0
2022-09-06,42.24,42.24,0.0,0.0,1.0
2022-09-07,43.05,43.05,0.0,0.0,1.0
2022-09-08,43.37,43.37,0.0,0.0,1.0
2022-09-09,44.07,44.07,0.0,0.0,1.0
2022-09-12,44.56,44.56,0.0,0.0,1.0
2022-09-13,42.65,42.65,0.0,0.0,1.0
2022-09-14,42.8,42.8,0.0,0.0,1.0
2022-09-15,42.35,42.35,0.0,0.0,1.0
2022-09-16,41.98,41.98,0.0,0.0,1.0
2022-09-19,42.28,42.28,0.0,0.0,1.0
2022-09-20,41.76,41.76,0.0,0.0,1.0
2022-09-21,41.06,41.06,0.0,0.0,1.0
2022-09-22,40.61,40.61,0.0,0.0,1.0
2022-09-23,39.87,39.87,0.0,0.0,1.0
2022-09-26,39.41,39.41,0.0,0.0,1.0
2022-09-27,39.36,39.36,0.0,0.0,1.0
2022-09-28,40.2,40.2,0.0,0.0,1.0
2022-09-29,39.34,39.34,0.0,0.0,1.0
2022-09-30,38.81,38.81,0.0,0.0,1.0
2022-10-03,39.82,39.82,0.0,0.0,1.0
2022-10-04,41.11,41.11,0.0,0.0,1.0
2022-10-05,41.01,41.01,0.0,0.0,1.0
2022-10-06,40.63,40.63,0.0,0.0,1.0
2022-10-07,39.48,39.48,0.0,0.0,1.0
2022-10-10,39.16,39.16,0.0,0.0,1.0
2022-10-11,38.91,38.91,0.0,0.0,1.0
2022-10-12,38.79,38.79,0.0,0.0,1.0
2022-10-13,39.76,39.76,0.0,0.0,1.0
2022-10-14,38.79,38.79,0.0,0.0,1.0
2022-10-17,39.86,39.86,0.0,0.0,1.0
2022-10-18,40.33,40.33,0.0,0.0,1.0
2022-10-19,39.98,39.98,0.0,0.0,1.0
2022-10-20,39.66,39.66,0.0,0.0,1.0
2022-10-21,40.59,40.59,0.0,0.0,1.0
2022-10-24,41.02,41.02,0.0,0.0,1.0
2022-10-25,41.78,41.78,0.0,0.0,1.0
2022-10-26,41.51,41.51,0.0,0.0,1.0
2022-10-27,41.3,41.3,0.0,0.0,1.0
2022-10-28,42.29,42.29,0.0,0.0,1.0
2022-10-31,42.01,42.01,0.0,0.0,1.0
2022-11-01,41.89,41.89,0.0,0.0,1.0
2022-11-02,40.78,40.78,0.0,0.0,1.0
2022-11-03,40.4,40.4,0.0,0.0,1.0
2022-11-04,40.91,40.91,0.0,0.0,1.0
