date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,42.93,42.5762442694,4786766.0,0.0,1.0
2022-06-17,43.08,42.7250082256,4853220.0,0.0,1.0
2022-06-21,44.08,43.7167679338,3652967.0,0.0,1.0
2022-06-22,43.86,43.6761057857,3182226.0,0.179,1.0
2022-06-23,44.32,44.1341771186,2234850.0,0.0,1.0
2022-06-24,45.73,45.5382653347,3234471.0,0.0,1.0
2022-06-27,45.62,45.4287265377,1936788.0,0.0,1.0
2022-06-28,44.69,44.5026257995,3562952.0,0.0,1.0
2022-06-29,44.58,44.3930870025,1358140.0,0.0,1.0
2022-06-30,44.19,44.0047221767,2411643.0,0.0,1.0
2022-07-01,44.66,44.4727515821,1730727.0,0.0,1.0
2022-07-05,44.83,44.6420388138,2001518.0,0.0,1.0
2022-07-06,44.92,44.7316614659,1484414.0,0.0,1.0
2022-07-07,45.62,45.4287265377,1020650.0,0.0,1.0
2022-07-08,45.61,45.4187684653,1356415.0,0.0,1.0
2022-07-11,45.04,44.8511583354,1813916.0,0.0,1.0
2022-07-12,44.65,44.4627935096,1978579.0,0.0,1.0
2022-07-13,44.44,44.2536739881,2166740.0,0.0,1.0
2022-07-14,44.27,44.0843867564,2764845.0,0.0,1.0
2022-07-15,45.1,44.9109067701,2688244.0,0.0,1.0
2022-07-18,44.77,44.5822903791,3691975.0,0.0,1.0
2022-07-19,46.03,45.8370075084,2759802.0,0.0,1.0
2022-07-20,46.42,46.2253723341,3279525.0,0.0,1.0
2022-07-21,46.87,46.6734855946,1303362.0,0.0,1.0
2022-07-22,46.39,46.1954981167,1330028.0,0.0,1.0
2022-07-25,46.41,46.2154142616,1592271.0,0.0,1.0
2022-07-26,45.86,45.6677202766,1307755.0,0.0,1.0
2022-07-27,47.06,46.8626889712,1870907.0,0.0,1.0
2022-07-28,47.67,47.4701313909,1143171.0,0.0,1.0
2022-07-29,48.33,48.1273641729,1724310.0,0.0,1.0
2022-08-01,48.22,48.0178253759,2782245.0,0.0,1.0
2022-08-02,47.93,47.7290412747,1359114.0,0.0,1.0
2022-08-03,48.69,48.4858547813,927387.0,0.0,1.0
2022-08-04,48.68,48.4758967088,1153660.0,0.0,1.0
2022-08-05,48.65,48.4460224915,1799660.0,0.0,1.0
2022-08-08,48.67,48.4659386364,1284243.0,0.0,1.0
2022-08-09,48.39,48.1871126077,721984.0,0.0,1.0
2022-08-10,49.48,49.2725425052,1030793.0,0.0,1.0
2022-08-11,49.49,49.2825005777,1086824.0,0.0,1.0
2022-08-12,50.32,50.1090205914,866155.0,0.0,1.0
2022-08-15,50.51,50.298223968,1651455.0,0.0,1.0
2022-08-16,50.63,50.4177208375,1007561.0,0.0,1.0
2022-08-17,50.2,49.9895237219,2059306.0,0.0,1.0
2022-08-18,50.34,50.1289367363,694418.0,0.0,1.0
2022-08-19,49.61,49.4019974471,928199.0,0.0,1.0
2022-08-22,48.58,48.3763159843,1427817.0,0.0,1.0
2022-08-23,48.46,48.2568191148,949163.0,0.0,1.0
2022-08-24,48.63,48.4261063466,835817.0,0.0,1.0
2022-08-25,49.38,49.1729617807,579058.0,0.0,1.0
2022-08-26,47.71,47.5099636807,1010983.0,0.0,1.0
2022-08-29,47.35,47.1514730724,2638066.0,0.0,1.0
2022-08-30,46.85,46.6535694496,2828796.0,0.0,1.0
2022-08-31,46.47,46.2751626964,1055653.0,0.0,1.0
2022-09-01,46.54,46.3448692036,2704507.0,0.0,1.0
2022-09-02,46.08,45.8867978706,1398829.0,0.0,1.0
2022-09-06,45.86,45.6677202766,2062436.0,0.0,1.0
2022-09-07,46.73,46.5340725802,1419633.0,0.0,1.0
2022-09-08,47.09,46.8925631886,1471584.0,0.0,1.0
2022-09-09,47.82,47.6195024777,1204816.0,0.0,1.0
2022-09-12,48.35,48.1472803178,1097247.0,0.0,1.0
2022-09-13,46.28,46.0859593197,1477815.0,0.0,1.0
2022-09-14,46.45,46.2552465515,1058233.0,0.0,1.0
2022-09-15,45.98,45.7872171461,1353001.0,0.0,1.0
2022-09-16,45.57,45.3789361755,3293801.0,0.0,1.0
2022-09-19,45.91,45.7175106389,1160707.0,0.0,1.0
2022-09-20,45.34,45.149900509,1344257.0,0.0,1.0
2022-09-21,44.39,44.39,1926071.0,0.1869,1.0
2022-09-22,43.9,43.9,4455994.0,0.0,1.0
2022-09-23,43.11,43.11,5137319.0,0.0,1.0
2022-09-26,42.67,42.67,4843098.0,0.0,1.0
2022-09-27,42.6,42.6,7187804.0,0.0,1.0
2022-09-28,43.46,43.46,5225508.0,0.0,1.0
2022-09-29,42.57,42.57,4794324.0,0.0,1.0
2022-09-30,41.99,41.99,14892634.0,0.0,1.0
2022-10-03,43.09,43.09,3093496.0,0.0,1.0
2022-10-04,44.46,44.46,2368082.0,0.0,1.0
2022-10-05,44.39,44.39,1149667.0,0.0,1.0
2022-10-06,43.96,43.96,2142749.0,0.0,1.0
2022-10-07,42.69,42.69,2069467.0,0.0,1.0
2022-10-10,42.35,42.35,2026400.0,0.0,1.0
2022-10-11,42.08,42.08,2886290.0,0.0,1.0
2022-10-12,41.94,41.94,1821194.0,0.0,1.0
2022-10-13,43.01,43.01,2923010.0,0.0,1.0
2022-10-14,42.0,42.0,1902025.0,0.0,1.0
2022-10-17,43.12,43.12,2156517.0,0.0,1.0
2022-10-18,43.66,43.66,1713404.0,0.0,1.0
2022-10-19,43.25,43.25,1179901.0,0.0,1.0
2022-10-20,42.9,42.9,1679778.0,0.0,1.0
2022-10-21,43.9,43.9,2522051.0,0.0,1.0
2022-10-24,44.38,44.38,2179733.0,0.0,1.0
2022-10-25,45.16,45.16,1769726.0,0.0,1.0
2022-10-26,44.9,44.9,1376366.0,0.0,1.0
2022-10-27,44.68,44.68,3132505.0,0.0,1.0
2022-10-28,45.71,45.71,990040.0,0.0,1.0
2022-10-31,45.4,45.4,1632853.0,0.0,1.0
2022-11-01,45.28,45.28,4484235.0,0.0,1.0
2022-11-02,44.09,44.09,1657037.0,0.0,1.0
2022-11-03,43.66,43.66,2606429.0,0.0,1.0
2022-11-04,44.2,44.2,2051831.0,0.0,1.0
2022-11-07,44.63,44.63,1973054.0,0.0,1.0
