date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,31.42,31.1449279959,12994210.0,0.0,1.0
2022-06-17,31.3,31.0259785574,9948880.0,0.0,1.0
2022-06-21,31.76,31.4819514052,8490196.0,0.0,1.0
2022-06-22,31.25,31.25,12127315.0,0.276,1.0
2022-06-23,31.13,31.13,6817396.0,0.0,1.0
2022-06-24,32.04,32.04,6022268.0,0.0,1.0
2022-06-27,31.97,31.97,6431688.0,0.0,1.0
2022-06-28,31.79,31.79,9894282.0,0.0,1.0
2022-06-29,31.62,31.62,5890606.0,0.0,1.0
2022-06-30,31.45,31.45,9649649.0,0.0,1.0
2022-07-01,31.5,31.5,6131254.0,0.0,1.0
2022-07-05,30.87,30.87,7812610.0,0.0,1.0
2022-07-06,30.87,30.87,7424182.0,0.0,1.0
2022-07-07,31.35,31.35,4232323.0,0.0,1.0
2022-07-08,31.4,31.4,4995459.0,0.0,1.0
2022-07-11,30.89,30.89,6673625.0,0.0,1.0
2022-07-12,30.86,30.86,8144862.0,0.0,1.0
2022-07-13,30.82,30.82,9345902.0,0.0,1.0
2022-07-14,30.35,30.35,19142353.0,0.0,1.0
2022-07-15,30.84,30.84,6458887.0,0.0,1.0
2022-07-18,31.01,31.01,4811201.0,0.0,1.0
2022-07-19,31.8,31.8,6514746.0,0.0,1.0
2022-07-20,31.64,31.64,4798445.0,0.0,1.0
2022-07-21,31.97,31.97,5959419.0,0.0,1.0
2022-07-22,31.87,31.87,5500505.0,0.0,1.0
2022-07-25,32.12,32.12,4896193.0,0.0,1.0
2022-07-26,31.71,31.71,4471385.0,0.0,1.0
2022-07-27,32.44,32.44,3792495.0,0.0,1.0
2022-07-28,32.63,32.63,12358355.0,0.0,1.0
2022-07-29,33.06,33.06,5922312.0,0.0,1.0
2022-08-01,33.05,33.05,7119573.0,0.0,1.0
2022-08-02,32.56,32.56,4820619.0,0.0,1.0
2022-08-03,32.77,32.77,3033838.0,0.0,1.0
2022-08-04,32.92,32.92,3922359.0,0.0,1.0
2022-08-05,32.7,32.7,5147063.0,0.0,1.0
2022-08-08,32.8,32.8,8191846.0,0.0,1.0
2022-08-09,32.62,32.62,4417729.0,0.0,1.0
