date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,47.22,46.7117221745,969979.0,0.0,1.0
2022-06-17,47.26,46.751291613,804947.0,0.0,1.0
2022-06-21,47.03,46.5237673415,1645825.0,0.0,1.0
2022-06-22,47.46,46.9491388056,1230924.0,0.0,1.0
2022-06-23,47.64,47.127201279,1464718.0,0.0,1.0
2022-06-24,47.57,47.0579547616,1150459.0,0.0,1.0
2022-06-27,47.36,46.8502152093,1062443.0,0.0,1.0
2022-06-28,47.37,46.860107569,2571077.0,0.0,1.0
2022-06-29,47.66,47.1469859983,760991.0,0.0,1.0
2022-06-30,47.87,47.3547255505,1690574.0,0.0,1.0
2022-07-01,48.16,47.7478479222,914196.0,0.1074,1.0
2022-07-05,48.28,47.8668209652,1581580.0,0.0,1.0
2022-07-06,47.93,47.5198162565,1158398.0,0.0,1.0
2022-07-07,47.82,47.4107576337,887433.0,0.0,1.0
2022-07-08,47.63,47.222383649,661303.0,0.0,1.0
2022-07-11,47.86,47.4504153147,738869.0,0.0,1.0
2022-07-12,47.94,47.5297306767,1626036.0,0.0,1.0
2022-07-13,48.11,47.698275821,888705.0,0.0,1.0
2022-07-14,47.95,47.539645097,823828.0,0.0,1.0
2022-07-15,48.12,47.7081902412,816487.0,0.0,1.0
2022-07-18,47.96,47.5495595172,916335.0,0.0,1.0
2022-07-19,47.91,47.499987416,685804.0,0.0,1.0
2022-07-20,47.88,47.4702441552,2537136.0,0.0,1.0
2022-07-21,48.3,47.8866498057,748422.0,0.0,1.0
2022-07-22,48.65,48.2336545144,665997.0,0.0,1.0
2022-07-25,48.5,48.0849382107,528905.0,0.0,1.0
2022-07-26,48.48,48.0651093702,961886.0,0.0,1.0
2022-07-27,48.65,48.2336545144,777347.0,0.0,1.0
2022-07-28,49.0,48.5806592232,495978.0,0.0,1.0
2022-07-29,49.05,48.6302313244,1207503.0,0.0,1.0
2022-08-01,49.09,48.7598127971,487965.0,0.0907,1.0
2022-08-02,48.61,48.283041354,1494389.0,0.0,1.0
2022-08-03,48.81,48.4816961219,725546.0,0.0,1.0
2022-08-04,48.94,48.6108217211,771417.0,0.0,1.0
2022-08-05,48.4,48.0744538476,563826.0,0.0,1.0
2022-08-08,48.61,48.283041354,487784.0,0.0,1.0
2022-08-09,48.5,48.1737812316,520064.0,0.0,1.0
2022-08-10,48.6,48.2731086156,605300.0,0.0,1.0
2022-08-11,48.33,48.0049246788,573007.0,0.0,1.0
2022-08-12,48.57,48.2433104004,699731.0,0.0,1.0
2022-08-15,48.65,48.3227723076,445383.0,0.0,1.0
2022-08-16,48.57,48.2433104004,763375.0,0.0,1.0
2022-08-17,48.28,47.9552609868,619678.0,0.0,1.0
2022-08-18,48.37,48.0446556324,599719.0,0.0,1.0
2022-08-19,48.04,47.7168752653,669469.0,0.0,1.0
2022-08-22,47.85,47.5281532357,594608.0,0.0,1.0
2022-08-23,47.82,47.4983550205,538127.0,0.0,1.0
2022-08-24,47.67,47.3493639445,466737.0,0.0,1.0
2022-08-25,47.96,47.6374133581,803767.0,0.0,1.0
2022-08-26,47.85,47.5281532357,628017.0,0.0,1.0
2022-08-29,47.63,47.3096329909,417084.0,0.0,1.0
2022-08-30,47.66,47.3394312061,632775.0,0.0,1.0
2022-08-31,47.43,47.110978223,1182048.0,0.0,1.0
2022-09-01,47.11,46.8928552877,1022791.0,0.1004,1.0
2022-09-02,47.23,47.0123021702,553302.0,0.0,1.0
2022-09-06,46.8,46.5842841746,725487.0,0.0,1.0
2022-09-07,47.11,46.8928552877,1163973.0,0.0,1.0
2022-09-08,46.96,46.7435466846,610502.0,0.0,1.0
2022-09-09,46.96,46.7435466846,2828662.0,0.0,1.0
2022-09-12,46.88,46.6639154296,633968.0,0.0,1.0
2022-09-13,46.66,46.4449294784,721989.0,0.0,1.0
2022-09-14,46.68,46.4648372921,1453215.0,0.0,1.0
2022-09-15,46.54,46.3254825959,726240.0,0.0,1.0
2022-09-16,46.54,46.3254825959,580191.0,0.0,1.0
2022-09-19,46.48,46.2657591546,993188.0,0.0,1.0
2022-09-20,46.22,46.0069575759,828160.0,0.0,1.0
2022-09-21,46.36,46.1463122721,1112708.0,0.0,1.0
2022-09-22,45.86,45.6486169284,901837.0,0.0,1.0
2022-09-23,45.75,45.5391239528,1328822.0,0.0,1.0
2022-09-26,45.15,44.9418895403,1335633.0,0.0,1.0
2022-09-27,44.98,44.7726731234,952759.0,0.0,1.0
2022-09-28,45.67,45.4594926978,2839499.0,0.0,1.0
2022-09-29,45.44,45.2305528396,815673.0,0.0,1.0
2022-09-30,45.31,45.1011520503,1826475.0,0.0,1.0
2022-10-03,45.61,45.5112530135,1316206.0,0.112,1.0
2022-10-04,45.71,45.6110365106,919980.0,0.0,1.0
2022-10-05,45.48,45.3815344673,636977.0,0.0,1.0
2022-10-06,45.28,45.1819674732,640364.0,0.0,1.0
2022-10-07,45.04,44.9424870802,1350198.0,0.0,1.0
2022-10-10,44.88,44.7828334849,644344.0,0.0,1.0
2022-10-11,44.87,44.7728551352,664932.0,0.0,1.0
2022-10-12,44.93,44.8327252334,1506360.0,0.0,1.0
2022-10-13,44.78,44.6830499878,966410.0,0.0,1.0
2022-10-14,44.51,44.4136345457,1293540.0,0.0,1.0
2022-10-17,44.63,44.5333747422,940276.0,0.0,1.0
2022-10-18,44.7,44.6032231902,2283902.0,0.0,1.0
2022-10-19,44.33,44.234024251,1207503.0,0.0,1.0
2022-10-20,44.06,43.9646088089,908929.0,0.0,1.0
2022-10-21,44.13,44.0344572569,724717.0,0.0,1.0
2022-10-24,44.04,43.9446521095,800536.0,0.0,1.0
2022-10-25,44.5,44.403656196,864345.0,0.0,1.0
2022-10-26,44.68,44.5832664908,765410.0,0.0,1.0
2022-10-27,44.92,44.8227468837,702162.0,0.0,1.0
2022-10-28,44.84,44.7429200861,746669.0,0.0,1.0
