date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-16,26.01,25.7349670785,2969866.0,0.0,1.0
2022-06-17,26.0,25.7250728197,2947700.0,0.0,1.0
2022-06-21,25.91,25.6360244907,4282314.0,0.0,1.0
2022-06-22,26.13,25.8536981838,4131072.0,0.0,1.0
2022-06-23,26.23,25.9526407716,7213576.0,0.0,1.0
2022-06-24,26.2,25.9229579952,4749216.0,0.0,1.0
2022-06-27,26.08,25.8042268899,2990697.0,0.0,1.0
2022-06-28,26.1,25.8240154075,2418249.0,0.0,1.0
2022-06-29,26.23,25.9526407716,1485715.0,0.0,1.0
2022-06-30,26.35,26.0713718769,2726172.0,0.0,1.0
2022-07-01,26.53,26.3013451231,3116457.0,0.0524,1.0
2022-07-05,26.58,26.3509141866,2717614.0,0.0,1.0
2022-07-06,26.4,26.1724655578,2790855.0,0.0,1.0
2022-07-07,26.34,26.1129826815,2185959.0,0.0,1.0
2022-07-08,26.25,26.0237583671,1840320.0,0.0,1.0
2022-07-11,26.36,26.132810307,2024168.0,0.0,1.0
2022-07-12,26.39,26.1625517451,13727971.0,0.0,1.0
2022-07-13,26.47,26.2418622468,3827617.0,0.0,1.0
2022-07-14,26.38,26.1526379324,1937351.0,0.0,1.0
2022-07-15,26.49,26.2616898722,2476484.0,0.0,1.0
2022-07-18,26.42,26.1922931832,3080580.0,0.0,1.0
2022-07-19,26.37,26.1427241197,1379558.0,0.0,1.0
2022-07-20,26.36,26.132810307,1234071.0,0.0,1.0
2022-07-21,26.58,26.3509141866,3201624.0,0.0,1.0
2022-07-22,26.78,26.5491904408,1881862.0,0.0,1.0
2022-07-25,26.71,26.4797937519,1686803.0,0.0,1.0
2022-07-26,26.69,26.4599661264,3713591.0,0.0,1.0
2022-07-27,26.81,26.578931879,2169247.0,0.0,1.0
2022-07-28,26.97,26.7375528824,2774423.0,0.0,1.0
2022-07-29,26.98,26.7474666951,1860345.0,0.0,1.0
