date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,64.89,64.89,0.0,0.0,1.0
2022-06-16,62.63,62.63,0.0,0.0,1.0
2022-06-17,62.9,62.9,0.0,0.0,1.0
2022-06-21,64.36,64.36,0.0,0.0,1.0
2022-06-22,64.27,64.27,0.0,0.0,1.0
2022-06-23,64.96,64.96,0.0,0.0,1.0
2022-06-24,66.99,66.99,0.0,0.0,1.0
2022-06-27,66.81,66.81,0.0,0.0,1.0
2022-06-28,65.46,65.46,0.0,0.0,1.0
2022-06-29,65.33,65.33,0.0,0.0,1.0
2022-06-30,64.73,64.73,0.0,0.0,1.0
2022-07-01,65.46,65.46,0.0,0.0,1.0
2022-07-05,65.67,65.67,0.0,0.0,1.0
2022-07-06,65.78,65.78,0.0,0.0,1.0
2022-07-07,66.88,66.88,0.0,0.0,1.0
2022-07-08,66.81,66.81,0.0,0.0,1.0
2022-07-11,65.96,65.96,0.0,0.0,1.0
2022-07-12,65.39,65.39,0.0,0.0,1.0
2022-07-13,65.13,65.13,0.0,0.0,1.0
2022-07-14,64.84,64.84,0.0,0.0,1.0
2022-07-15,66.11,66.11,0.0,0.0,1.0
2022-07-18,65.63,65.63,0.0,0.0,1.0
2022-07-19,67.49,67.49,0.0,0.0,1.0
2022-07-20,68.02,68.02,0.0,0.0,1.0
2022-07-21,68.67,68.67,0.0,0.0,1.0
2022-07-22,67.94,67.94,0.0,0.0,1.0
2022-07-25,68.04,68.04,0.0,0.0,1.0
2022-07-26,67.23,67.23,0.0,0.0,1.0
2022-07-27,68.99,68.99,0.0,0.0,1.0
2022-07-28,69.85,69.85,0.0,0.0,1.0
2022-07-29,70.81,70.81,0.0,0.0,1.0
2022-08-01,70.64,70.64,0.0,0.0,1.0
2022-08-02,70.25,70.25,0.0,0.0,1.0
2022-08-03,71.36,71.36,0.0,0.0,1.0
2022-08-04,71.3,71.3,0.0,0.0,1.0
2022-08-05,71.29,71.29,0.0,0.0,1.0
2022-08-08,71.31,71.31,0.0,0.0,1.0
2022-08-09,70.88,70.88,0.0,0.0,1.0
2022-08-10,72.52,72.52,0.0,0.0,1.0
2022-08-11,72.5,72.5,0.0,0.0,1.0
2022-08-12,73.78,73.78,0.0,0.0,1.0
2022-08-15,74.05,74.05,0.0,0.0,1.0
2022-08-16,74.18,74.18,0.0,0.0,1.0
2022-08-17,73.54,73.54,0.0,0.0,1.0
2022-08-18,73.74,73.74,0.0,0.0,1.0
2022-08-19,72.69,72.69,0.0,0.0,1.0
2022-08-22,71.13,71.13,0.0,0.0,1.0
2022-08-23,71.01,71.01,0.0,0.0,1.0
2022-08-24,71.28,71.28,0.0,0.0,1.0
2022-08-25,72.33,72.33,0.0,0.0,1.0
2022-08-26,69.9,69.9,0.0,0.0,1.0
2022-08-29,69.41,69.41,0.0,0.0,1.0
2022-08-30,68.64,68.64,0.0,0.0,1.0
2022-08-31,68.13,68.13,0.0,0.0,1.0
2022-09-01,68.18,68.18,0.0,0.0,1.0
2022-09-02,67.51,67.51,0.0,0.0,1.0
2022-09-06,67.19,67.19,0.0,0.0,1.0
2022-09-07,68.47,68.47,0.0,0.0,1.0
2022-09-08,68.99,68.99,0.0,0.0,1.0
2022-09-09,70.11,70.11,0.0,0.0,1.0
2022-09-12,70.87,70.87,0.0,0.0,1.0
2022-09-13,67.85,67.85,0.0,0.0,1.0
2022-09-14,68.09,68.09,0.0,0.0,1.0
2022-09-15,67.37,67.37,0.0,0.0,1.0
2022-09-16,66.78,66.78,0.0,0.0,1.0
2022-09-19,67.25,67.25,0.0,0.0,1.0
2022-09-20,66.43,66.43,0.0,0.0,1.0
2022-09-21,65.32,65.32,0.0,0.0,1.0
2022-09-22,64.59,64.59,0.0,0.0,1.0
2022-09-23,63.43,63.43,0.0,0.0,1.0
2022-09-26,62.72,62.72,0.0,0.0,1.0
2022-09-27,62.66,62.66,0.0,0.0,1.0
2022-09-28,64.0,64.0,0.0,0.0,1.0
2022-09-29,62.63,62.63,0.0,0.0,1.0
2022-09-30,61.78,61.78,0.0,0.0,1.0
2022-10-03,63.38,63.38,0.0,0.0,1.0
2022-10-04,65.45,65.45,0.0,0.0,1.0
2022-10-05,65.29,65.29,0.0,0.0,1.0
2022-10-06,64.68,64.68,0.0,0.0,1.0
2022-10-07,62.83,62.83,0.0,0.0,1.0
2022-10-10,62.33,62.33,0.0,0.0,1.0
2022-10-11,61.94,61.94,0.0,0.0,1.0
2022-10-12,61.75,61.75,0.0,0.0,1.0
2022-10-13,63.28,63.28,0.0,0.0,1.0
2022-10-14,61.75,61.75,0.0,0.0,1.0
2022-10-17,63.45,63.45,0.0,0.0,1.0
2022-10-18,64.2,64.2,0.0,0.0,1.0
2022-10-19,63.65,63.65,0.0,0.0,1.0
2022-10-20,63.13,63.13,0.0,0.0,1.0
2022-10-21,64.58,64.58,0.0,0.0,1.0
2022-10-24,65.26,65.26,0.0,0.0,1.0
2022-10-25,66.46,66.46,0.0,0.0,1.0
2022-10-26,66.04,66.04,0.0,0.0,1.0
2022-10-27,65.72,65.72,0.0,0.0,1.0
2022-10-28,67.27,67.27,0.0,0.0,1.0
2022-10-31,66.82,66.82,0.0,0.0,1.0
2022-11-01,66.63,66.63,0.0,0.0,1.0
2022-11-02,64.87,64.87,0.0,0.0,1.0
2022-11-03,64.24,64.24,0.0,0.0,1.0
2022-11-04,65.06,65.06,0.0,0.0,1.0
