date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,10.62,10.62,0.0,0.0,1.0
2022-06-16,10.33,10.33,0.0,0.0,1.0
2022-06-17,10.36,10.36,0.0,0.0,1.0
2022-06-21,10.53,10.53,0.0,0.0,1.0
2022-06-22,10.33,10.33,0.0,0.0,1.0
2022-06-23,10.35,10.35,0.0,0.0,1.0
2022-06-24,10.57,10.57,0.0,0.0,1.0
2022-06-27,10.6,10.6,0.0,0.0,1.0
2022-06-28,10.57,10.57,0.0,0.0,1.0
2022-06-29,10.52,10.52,0.0,0.0,1.0
2022-06-30,10.42,10.42,0.0,0.0,1.0
2022-07-01,10.36,10.36,0.0,0.0,1.0
2022-07-05,10.3,10.3,0.0,0.0,1.0
2022-07-06,10.22,10.22,0.0,0.0,1.0
2022-07-07,10.42,10.42,0.0,0.0,1.0
2022-07-08,10.41,10.41,0.0,0.0,1.0
2022-07-11,10.16,10.16,0.0,0.0,1.0
2022-07-12,10.1,10.1,0.0,0.0,1.0
2022-07-13,10.1,10.1,0.0,0.0,1.0
2022-07-14,10.03,10.03,0.0,0.0,1.0
2022-07-15,10.06,10.06,0.0,0.0,1.0
2022-07-18,10.14,10.14,0.0,0.0,1.0
2022-07-19,10.29,10.29,0.0,0.0,1.0
2022-07-20,10.26,10.26,0.0,0.0,1.0
2022-07-21,10.37,10.37,0.0,0.0,1.0
2022-07-22,10.26,10.26,0.0,0.0,1.0
2022-07-25,10.29,10.29,0.0,0.0,1.0
2022-07-26,10.23,10.23,0.0,0.0,1.0
2022-07-27,10.39,10.39,0.0,0.0,1.0
2022-07-28,10.44,10.44,0.0,0.0,1.0
2022-07-29,10.37,10.37,0.0,0.0,1.0
2022-08-01,10.31,10.31,0.0,0.0,1.0
2022-08-02,10.26,10.26,0.0,0.0,1.0
2022-08-03,10.33,10.33,0.0,0.0,1.0
2022-08-04,10.39,10.39,0.0,0.0,1.0
2022-08-05,10.41,10.41,0.0,0.0,1.0
2022-08-08,10.41,10.41,0.0,0.0,1.0
2022-08-09,10.39,10.39,0.0,0.0,1.0
2022-08-10,10.47,10.47,0.0,0.0,1.0
2022-08-11,10.56,10.56,0.0,0.0,1.0
2022-08-12,10.65,10.65,0.0,0.0,1.0
2022-08-15,10.62,10.62,0.0,0.0,1.0
2022-08-16,10.61,10.61,0.0,0.0,1.0
2022-08-17,10.58,10.58,0.0,0.0,1.0
2022-08-18,10.52,10.52,0.0,0.0,1.0
2022-08-19,10.39,10.39,0.0,0.0,1.0
2022-08-22,10.3,10.3,0.0,0.0,1.0
2022-08-23,10.34,10.34,0.0,0.0,1.0
2022-08-24,10.34,10.34,0.0,0.0,1.0
2022-08-25,10.54,10.54,0.0,0.0,1.0
2022-08-26,10.42,10.42,0.0,0.0,1.0
2022-08-29,10.35,10.35,0.0,0.0,1.0
2022-08-30,10.26,10.26,0.0,0.0,1.0
2022-08-31,10.31,10.31,0.0,0.0,1.0
2022-09-01,10.2,10.2,0.0,0.0,1.0
2022-09-02,10.1,10.1,0.0,0.0,1.0
2022-09-06,10.01,10.01,0.0,0.0,1.0
2022-09-07,10.06,10.06,0.0,0.0,1.0
2022-09-08,10.02,10.02,0.0,0.0,1.0
2022-09-09,10.17,10.17,0.0,0.0,1.0
2022-09-12,10.29,10.29,0.0,0.0,1.0
2022-09-13,10.03,10.03,0.0,0.0,1.0
2022-09-14,10.05,10.05,0.0,0.0,1.0
2022-09-15,9.95,9.95,0.0,0.0,1.0
2022-09-16,9.84,9.84,0.0,0.0,1.0
2022-09-19,9.88,9.88,0.0,0.0,1.0
2022-09-20,9.84,9.84,0.0,0.0,1.0
2022-09-21,9.68,9.68,0.0,0.0,1.0
2022-09-22,9.62,9.62,0.0,0.0,1.0
2022-09-23,9.39,9.39,0.0,0.0,1.0
2022-09-26,9.27,9.27,0.0,0.0,1.0
2022-09-27,9.26,9.26,0.0,0.0,1.0
2022-09-28,9.29,9.29,0.0,0.0,1.0
2022-09-29,9.1,9.1,0.0,0.0,1.0
2022-09-30,9.12,9.12,0.0,0.0,1.0
2022-10-03,9.23,9.23,0.0,0.0,1.0
2022-10-04,9.51,9.51,0.0,0.0,1.0
2022-10-05,9.53,9.53,0.0,0.0,1.0
2022-10-06,9.48,9.48,0.0,0.0,1.0
2022-10-07,9.29,9.29,0.0,0.0,1.0
2022-10-10,9.16,9.16,0.0,0.0,1.0
2022-10-11,9.0,9.0,0.0,0.0,1.0
2022-10-12,9.02,9.02,0.0,0.0,1.0
2022-10-13,9.04,9.04,0.0,0.0,1.0
2022-10-14,8.92,8.92,0.0,0.0,1.0
2022-10-17,9.12,9.12,0.0,0.0,1.0
2022-10-18,9.15,9.15,0.0,0.0,1.0
2022-10-19,8.99,8.99,0.0,0.0,1.0
2022-10-20,9.04,9.04,0.0,0.0,1.0
2022-10-21,9.14,9.14,0.0,0.0,1.0
2022-10-24,8.82,8.82,0.0,0.0,1.0
2022-10-25,8.87,8.87,0.0,0.0,1.0
2022-10-26,8.97,8.97,0.0,0.0,1.0
2022-10-27,8.96,8.96,0.0,0.0,1.0
2022-10-28,8.91,8.91,0.0,0.0,1.0
2022-10-31,8.87,8.87,0.0,0.0,1.0
2022-11-01,9.03,9.03,0.0,0.0,1.0
2022-11-02,8.99,8.99,0.0,0.0,1.0
2022-11-03,9.0,9.0,0.0,0.0,1.0
2022-11-04,9.32,9.32,0.0,0.0,1.0
