date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,27.56,27.56,0.0,0.0,1.0
2022-06-16,26.6,26.6,0.0,0.0,1.0
2022-06-17,26.71,26.71,0.0,0.0,1.0
2022-06-21,27.33,27.33,0.0,0.0,1.0
2022-06-22,27.3,27.3,0.0,0.0,1.0
2022-06-23,27.59,27.59,0.0,0.0,1.0
2022-06-24,28.45,28.45,0.0,0.0,1.0
2022-06-27,28.38,28.38,0.0,0.0,1.0
2022-06-28,27.8,27.8,0.0,0.0,1.0
2022-06-29,27.75,27.75,0.0,0.0,1.0
2022-06-30,27.49,27.49,0.0,0.0,1.0
2022-07-01,27.8,27.8,0.0,0.0,1.0
2022-07-05,27.89,27.89,0.0,0.0,1.0
2022-07-06,27.94,27.94,0.0,0.0,1.0
2022-07-07,28.41,28.41,0.0,0.0,1.0
2022-07-08,28.38,28.38,0.0,0.0,1.0
2022-07-11,28.01,28.01,0.0,0.0,1.0
2022-07-12,27.77,27.77,0.0,0.0,1.0
2022-07-13,27.65,27.65,0.0,0.0,1.0
2022-07-14,27.53,27.53,0.0,0.0,1.0
2022-07-15,28.07,28.07,0.0,0.0,1.0
2022-07-18,27.87,27.87,0.0,0.0,1.0
2022-07-19,28.65,28.65,0.0,0.0,1.0
2022-07-20,28.88,28.88,0.0,0.0,1.0
2022-07-21,29.16,29.16,0.0,0.0,1.0
2022-07-22,28.85,28.85,0.0,0.0,1.0
2022-07-25,28.89,28.89,0.0,0.0,1.0
2022-07-26,28.54,28.54,0.0,0.0,1.0
2022-07-27,29.29,29.29,0.0,0.0,1.0
2022-07-28,29.66,29.66,0.0,0.0,1.0
2022-07-29,30.06,30.06,0.0,0.0,1.0
2022-08-01,29.99,29.99,0.0,0.0,1.0
2022-08-02,29.83,29.83,0.0,0.0,1.0
2022-08-03,30.31,30.31,0.0,0.0,1.0
2022-08-04,30.28,30.28,0.0,0.0,1.0
2022-08-05,30.28,30.28,0.0,0.0,1.0
2022-08-08,30.29,30.29,0.0,0.0,1.0
2022-08-09,30.11,30.11,0.0,0.0,1.0
2022-08-10,30.81,30.81,0.0,0.0,1.0
2022-08-11,30.8,30.8,0.0,0.0,1.0
2022-08-12,31.34,31.34,0.0,0.0,1.0
2022-08-15,31.45,31.45,0.0,0.0,1.0
2022-08-16,31.51,31.51,0.0,0.0,1.0
2022-08-17,31.23,31.23,0.0,0.0,1.0
2022-08-18,31.31,31.31,0.0,0.0,1.0
2022-08-19,30.86,30.86,0.0,0.0,1.0
2022-08-22,30.21,30.21,0.0,0.0,1.0
2022-08-23,30.15,30.15,0.0,0.0,1.0
2022-08-24,30.27,30.27,0.0,0.0,1.0
2022-08-25,30.71,30.71,0.0,0.0,1.0
2022-08-26,29.68,29.68,0.0,0.0,1.0
2022-08-29,29.48,29.48,0.0,0.0,1.0
2022-08-30,29.15,29.15,0.0,0.0,1.0
2022-08-31,28.93,28.93,0.0,0.0,1.0
2022-09-01,28.96,28.96,0.0,0.0,1.0
2022-09-02,28.67,28.67,0.0,0.0,1.0
2022-09-06,28.54,28.54,0.0,0.0,1.0
2022-09-07,29.08,29.08,0.0,0.0,1.0
2022-09-08,29.3,29.3,0.0,0.0,1.0
2022-09-09,29.78,29.78,0.0,0.0,1.0
2022-09-12,30.1,30.1,0.0,0.0,1.0
2022-09-13,28.82,28.82,0.0,0.0,1.0
2022-09-14,28.92,28.92,0.0,0.0,1.0
2022-09-15,28.62,28.62,0.0,0.0,1.0
2022-09-16,28.36,28.36,0.0,0.0,1.0
2022-09-19,28.56,28.56,0.0,0.0,1.0
2022-09-20,28.22,28.22,0.0,0.0,1.0
2022-09-21,27.74,27.74,0.0,0.0,1.0
2022-09-22,27.44,27.44,0.0,0.0,1.0
2022-09-23,26.95,26.95,0.0,0.0,1.0
2022-09-26,26.65,26.65,0.0,0.0,1.0
2022-09-27,26.62,26.62,0.0,0.0,1.0
2022-09-28,27.19,27.19,0.0,0.0,1.0
2022-09-29,26.61,26.61,0.0,0.0,1.0
2022-09-30,26.25,26.25,0.0,0.0,1.0
2022-10-03,26.93,26.93,0.0,0.0,1.0
2022-10-04,27.81,27.81,0.0,0.0,1.0
2022-10-05,27.74,27.74,0.0,0.0,1.0
2022-10-06,27.48,27.48,0.0,0.0,1.0
2022-10-07,26.7,26.7,0.0,0.0,1.0
2022-10-10,26.49,26.49,0.0,0.0,1.0
2022-10-11,26.32,26.32,0.0,0.0,1.0
2022-10-12,26.24,26.24,0.0,0.0,1.0
2022-10-13,26.89,26.89,0.0,0.0,1.0
2022-10-14,26.24,26.24,0.0,0.0,1.0
2022-10-17,26.96,26.96,0.0,0.0,1.0
2022-10-18,27.28,27.28,0.0,0.0,1.0
2022-10-19,27.05,27.05,0.0,0.0,1.0
2022-10-20,26.83,26.83,0.0,0.0,1.0
2022-10-21,27.45,27.45,0.0,0.0,1.0
2022-10-24,27.74,27.74,0.0,0.0,1.0
2022-10-25,28.24,28.24,0.0,0.0,1.0
2022-10-26,28.06,28.06,0.0,0.0,1.0
2022-10-27,27.92,27.92,0.0,0.0,1.0
2022-10-28,28.58,28.58,0.0,0.0,1.0
2022-10-31,28.39,28.39,0.0,0.0,1.0
2022-11-01,28.3,28.3,0.0,0.0,1.0
2022-11-02,27.56,27.56,0.0,0.0,1.0
2022-11-03,27.29,27.29,0.0,0.0,1.0
2022-11-04,27.63,27.63,0.0,0.0,1.0
