date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,28.41,27.9325394153,0.0,0.0,1.0
2022-06-16,27.78,27.3131272424,0.0,0.0,1.0
2022-06-17,27.36,27.2086137281,0.0,0.3137,1.0
2022-06-21,27.77,27.6163451473,0.0,0.0,1.0
2022-06-22,27.48,27.3279497533,0.0,0.0,1.0
2022-06-23,27.39,27.2384477344,0.0,0.0,1.0
2022-06-24,28.08,27.9246298789,0.0,0.0,1.0
2022-06-27,28.12,27.9644085539,0.0,0.0,1.0
2022-06-28,28.02,27.8649618663,0.0,0.0,1.0
2022-06-29,27.86,27.7058471661,0.0,0.0,1.0
2022-06-30,27.63,27.4771197847,0.0,0.0,1.0
2022-07-01,27.59,27.4373411096,0.0,0.0,1.0
2022-07-05,27.17,27.0196650217,0.0,0.0,1.0
2022-07-06,27.11,26.9599970091,0.0,0.0,1.0
2022-07-07,27.57,27.4174517721,0.0,0.0,1.0
2022-07-08,27.6,27.4472857784,0.0,0.0,1.0
2022-07-11,27.13,26.9798863466,0.0,0.0,1.0
2022-07-12,27.03,26.880439659,0.0,0.0,1.0
2022-07-13,27.01,26.8605503215,0.0,0.0,1.0
2022-07-14,26.68,26.5323762524,0.0,0.0,1.0
2022-07-15,26.99,26.840660984,0.0,0.0,1.0
2022-07-18,27.19,27.0395543592,0.0,0.0,1.0
2022-07-19,27.78,27.6262898161,0.0,0.0,1.0
2022-07-20,27.69,27.5367877972,0.0,0.0,1.0
2022-07-21,27.98,27.8251831913,0.0,0.0,1.0
2022-07-22,27.85,27.6959024974,0.0,0.0,1.0
2022-07-25,28.01,27.8550171975,0.0,0.0,1.0
2022-07-26,27.72,27.5666218035,0.0,0.0,1.0
2022-07-27,28.26,28.1036339166,0.0,0.0,1.0
2022-07-28,28.45,28.292582623,0.0,0.0,1.0
2022-07-29,28.64,28.4815313294,0.0,0.0,1.0
2022-08-01,28.64,28.4815313294,0.0,0.0,1.0
2022-08-02,28.29,28.1334679228,0.0,0.0,1.0
2022-08-03,28.46,28.3025272918,0.0,0.0,1.0
2022-08-04,28.61,28.4516973232,0.0,0.0,1.0
2022-08-05,28.48,28.3224166293,0.0,0.0,1.0
2022-08-08,28.54,28.3820846418,0.0,0.0,1.0
2022-08-09,28.41,28.252803948,0.0,0.0,1.0
2022-08-10,28.95,28.789816061,0.0,0.0,1.0
2022-08-11,29.03,28.8693734111,0.0,0.0,1.0
2022-08-12,29.25,29.0881561238,0.0,0.0,1.0
2022-08-15,29.1,28.9389860924,0.0,0.0,1.0
2022-08-16,29.1,28.9389860924,0.0,0.0,1.0
2022-08-17,28.93,28.7699267235,0.0,0.0,1.0
2022-08-18,28.82,28.6605353671,0.0,0.0,1.0
2022-08-19,28.45,28.292582623,0.0,0.0,1.0
