date,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-06-15,92.32,91.5686294031,0.0,0.0,1.0
2022-06-16,89.1,88.3748362198,0.0,0.0,1.0
2022-06-17,89.48,88.7517434899,0.0,0.0,1.0
2022-06-21,91.57,90.8247334753,0.0,0.0,1.0
2022-06-22,91.1,90.7177116478,0.0,0.3621,1.0
2022-06-23,92.1,91.7135152883,0.0,0.0,1.0
2022-06-24,94.97,94.5714717365,0.0,0.0,1.0
2022-06-27,94.71,94.31256279,0.0,0.0,1.0
2022-06-28,92.8,92.4105778366,0.0,0.0,1.0
2022-06-29,92.61,92.2213751449,0.0,0.0,1.0
2022-06-30,91.77,91.3849000869,0.0,0.0,1.0
2022-07-01,92.8,92.4105778366,0.0,0.0,1.0
2022-07-05,93.11,92.7192769652,0.0,0.0,1.0
2022-07-06,93.28,92.8885635841,0.0,0.0,1.0
2022-07-07,94.84,94.4420172632,0.0,0.0,1.0
2022-07-08,94.74,94.3424368992,0.0,0.0,1.0
2022-07-11,93.53,93.1375144942,0.0,0.0,1.0
2022-07-12,92.72,92.3309135454,0.0,0.0,1.0
2022-07-13,92.34,91.952508162,0.0,0.0,1.0
2022-07-14,91.93,91.5442286694,0.0,0.0,1.0
2022-07-15,93.73,93.3366752223,0.0,0.0,1.0
2022-07-18,93.05,92.6595287468,0.0,0.0,1.0
2022-07-19,95.68,95.2784923212,0.0,0.0,1.0
2022-07-20,96.44,96.035303088,0.0,0.0,1.0
2022-07-21,97.37,96.9614004736,0.0,0.0,1.0
2022-07-22,96.33,95.9257646875,0.0,0.0,1.0
2022-07-25,96.46,96.0552191608,0.0,0.0,1.0
2022-07-26,95.31,94.9100449742,0.0,0.0,1.0
2022-07-27,97.8,97.389596039,0.0,0.0,1.0
2022-07-28,99.05,98.6343505896,0.0,0.0,1.0
2022-07-29,100.39,99.9687274679,0.0,0.0,1.0
2022-08-01,100.16,99.7396926306,0.0,0.0,1.0
2022-08-02,99.61,99.1920006283,0.0,0.0,1.0
2022-08-03,101.21,100.785286453,0.0,0.0,1.0
2022-08-04,101.14,100.715580198,0.0,0.0,1.0
2022-08-05,101.12,100.695664125,0.0,0.0,1.0
2022-08-08,101.16,100.735496271,0.0,0.0,1.0
2022-08-09,100.54,100.118098014,0.0,0.0,1.0
2022-08-10,102.87,102.438320496,0.0,0.0,1.0
2022-08-11,102.83,102.398488351,0.0,0.0,1.0
2022-08-12,104.64,104.20089294,0.0,0.0,1.0
2022-08-15,105.04,104.599214396,0.0,0.0,1.0
2022-08-16,105.22,104.778459051,0.0,0.0,1.0
2022-08-17,104.3,103.862319702,0.0,0.0,1.0
2022-08-18,104.58,104.141144721,0.0,0.0,1.0
2022-08-19,103.08,102.647439261,0.0,0.0,1.0
2022-08-22,100.88,100.456671252,0.0,0.0,1.0
2022-08-23,100.71,100.287384633,0.0,0.0,1.0
2022-08-24,101.09,100.665790016,0.0,0.0,1.0
2022-08-25,102.58,102.149537441,0.0,0.0,1.0
2022-08-26,99.14,98.7239729173,0.0,0.0,1.0
2022-08-29,98.45,98.0368684054,0.0,0.0,1.0
2022-08-30,97.35,96.9414844008,0.0,0.0,1.0
2022-08-31,96.64,96.2344638161,0.0,0.0,1.0
2022-09-01,96.72,96.3141281073,0.0,0.0,1.0
2022-09-02,95.75,95.3481985761,0.0,0.0,1.0
2022-09-06,95.32,94.9200030106,0.0,0.0,1.0
2022-09-07,97.14,96.7323656363,0.0,0.0,1.0
2022-09-08,97.88,97.4692603303,0.0,0.0,1.0
2022-09-09,99.48,99.062546155,0.0,0.0,1.0
2022-09-12,100.55,100.12805605,0.0,0.0,1.0
2022-09-13,96.27,95.8660164691,0.0,0.0,1.0
2022-09-14,96.62,96.2145477433,0.0,0.0,1.0
2022-09-15,95.6,95.19882803,0.0,0.0,1.0
2022-09-16,94.75,94.3523949356,0.0,0.0,1.0
2022-09-19,95.41,95.0096253383,0.0,0.0,1.0
2022-09-20,94.26,93.8644511517,0.0,0.0,1.0
2022-09-21,92.68,92.2910813998,0.0,0.0,1.0
2022-09-22,91.29,91.29,0.0,0.3847,1.0
2022-09-23,89.65,89.65,0.0,0.0,1.0
2022-09-26,88.65,88.65,0.0,0.0,1.0
2022-09-27,88.55,88.55,0.0,0.0,1.0
2022-09-28,90.44,90.44,0.0,0.0,1.0
2022-09-29,88.52,88.52,0.0,0.0,1.0
2022-09-30,87.31,87.31,0.0,0.0,1.0
2022-10-03,89.57,89.57,0.0,0.0,1.0
2022-10-04,92.48,92.48,0.0,0.0,1.0
2022-10-05,92.25,92.25,0.0,0.0,1.0
2022-10-06,91.4,91.4,0.0,0.0,1.0
2022-10-07,88.79,88.79,0.0,0.0,1.0
2022-10-10,88.08,88.08,0.0,0.0,1.0
2022-10-11,87.54,87.54,0.0,0.0,1.0
2022-10-12,87.27,87.27,0.0,0.0,1.0
2022-10-13,89.43,89.43,0.0,0.0,1.0
2022-10-14,87.27,87.27,0.0,0.0,1.0
2022-10-17,89.66,89.66,0.0,0.0,1.0
2022-10-18,90.73,90.73,0.0,0.0,1.0
2022-10-19,89.95,89.95,0.0,0.0,1.0
2022-10-20,89.22,89.22,0.0,0.0,1.0
2022-10-21,91.27,91.27,0.0,0.0,1.0
2022-10-24,92.23,92.23,0.0,0.0,1.0
2022-10-25,93.92,93.92,0.0,0.0,1.0
2022-10-26,93.33,93.33,0.0,0.0,1.0
2022-10-27,92.87,92.87,0.0,0.0,1.0
2022-10-28,95.08,95.08,0.0,0.0,1.0
2022-10-31,94.44,94.44,0.0,0.0,1.0
2022-11-01,94.16,94.16,0.0,0.0,1.0
2022-11-02,91.68,91.68,0.0,0.0,1.0
2022-11-03,90.79,90.79,0.0,0.0,1.0
2022-11-04,91.93,91.93,0.0,0.0,1.0
