date,close,adjusted close,dividend
2007-05-31,74.77,46.0885,0.127
2007-06-29,74.28,45.9451,0.2576
2007-07-31,74.73,46.3688,0.2335
2007-08-31,75.53,47.0565,0.3036
2007-09-28,75.69,47.3406,0.2941
2007-10-31,76.1,47.7756,0.2827
2007-11-30,77.302,48.7113,0.2845
2007-12-31,77.38,49.1213,0.5677
2008-01-31,78.35,49.7371,0.0
2008-02-29,78.12,49.7813,0.3004
2008-03-31,78.14,49.981,0.2915
2008-04-30,77.57,49.8105,0.3013
2008-05-30,76.5,49.3156,0.3025
2008-06-30,76.25,49.3353,0.2818
2008-07-31,75.97,49.3457,0.2958
2008-08-29,76.3,49.7588,0.304
2008-09-30,75.62,49.5018,0.2883
2008-10-31,73.127,48.0415,0.2687
2008-11-28,75.69,49.9284,0.2999
2008-12-31,78.97,52.4923,0.5904
2009-01-30,77.33,51.4022,0.0
2009-02-27,76.59,51.1009,0.2894
2009-03-31,77.15,51.6596,0.2749
2009-04-30,77.2299,51.8995,0.2776
2009-05-29,77.48,52.2491,0.2679
2009-06-30,77.69,52.5735,0.2675
2009-07-31,78.44,53.2621,0.2639
2009-08-31,78.97,53.8008,0.26
2009-09-30,79.5,54.3412,0.2608
2009-10-30,79.47,54.4897,0.2477
2009-11-30,80.25,55.2005,0.2532
2009-12-31,78.59,54.4005,0.4997
2010-01-29,79.6,55.0996,0.0
2010-02-26,79.61,55.2792,0.2485
2010-03-31,79.2,55.1561,0.2335
2010-04-30,79.8,55.7462,0.2446
2010-05-28,80.46,56.3744,0.2365
2010-06-30,81.38,57.1924,0.2441
2010-07-30,81.85,57.6853,0.2295
2010-08-31,82.89,58.5847,0.2324
2010-09-30,82.66,58.5823,0.226
2010-10-29,82.7,58.7694,0.2231
2010-11-30,81.91,58.369,0.2281
2010-12-31,80.27,57.7728,0.8025
2011-01-31,80.34,57.8232,0.0
2011-02-28,80.35,57.9932,0.2251
2011-03-31,80.02,57.9075,0.2115
2011-04-29,80.96,58.7548,0.2278
2011-05-31,81.69,59.448,0.2226
2011-06-30,81.16,59.2239,0.2239
2011-07-29,82.26,60.1876,0.2172
2011-08-31,83.4,61.1854,0.2208
2011-09-30,83.74,61.5915,0.2131
2011-10-31,83.62,61.6597,0.2137
2011-11-30,83.36,61.6216,0.21
2011-12-30,83.54,62.3489,0.7995
2012-01-31,84.07,62.7444,0.0
2012-02-29,83.9,62.7702,0.2042
2012-03-30,83.28,62.452,0.1954
2012-04-30,83.92,63.1122,0.2378
2012-05-31,84.51,63.7005,0.1901
2012-06-29,84.38,63.7423,0.186
2012-07-31,85.23,64.5273,0.1873
2012-08-31,85.18,64.6316,0.1872
2012-09-28,85.15,64.7486,0.1838
2012-10-31,84.89,64.6834,0.1745
2012-11-30,84.94,64.8578,0.1785
2012-12-31,84.03,64.7433,0.7599
2013-01-31,83.45,64.2964,0.0
2013-02-28,83.73,64.6415,0.1665
2013-03-28,83.64,64.6923,0.1558
2013-04-30,84.18,65.3491,0.3063
2013-05-31,82.4,64.0904,0.162
2013-06-28,80.88,63.0342,0.1647
2013-07-31,81.02,63.2737,0.1669
2013-08-30,80.16,62.7311,0.1659
2013-09-30,80.88,63.4305,0.1714
2013-10-31,81.4,63.9748,0.1723
2013-11-29,80.98,63.7867,0.1807
2013-12-31,80.05,63.382,0.4167
2014-01-31,81.29,64.3638,0.0
2014-02-28,81.5,64.666,0.1713
2014-03-31,81.19,64.556,0.1721
2014-04-30,81.65,65.0741,0.1898
2014-05-30,82.33,65.7593,0.1783
2014-06-30,82.22,65.8145,0.1786
2014-07-31,81.82,65.6321,0.1722
2014-08-29,82.58,66.3799,0.1716
2014-09-30,81.93,66.0008,0.1787
2014-10-31,82.1874,66.3381,0.1612
2014-11-28,82.87,67.0296,0.1726
2014-12-31,82.37,67.0698,0.5477
2015-01-30,84.35,68.682,0.0
2015-02-27,83.08,67.7848,0.1701
2015-03-31,83.37,68.1546,0.1619
2015-04-30,82.91,67.9333,0.1906
2015-05-29,82.34,67.5961,0.1588
2015-06-30,81.26,66.8449,0.1663
2015-07-31,81.81,67.4333,0.1634
2015-08-31,81.44,67.2668,0.1688
2015-09-30,81.93,67.8114,0.1685
2015-10-30,81.79,67.8315,0.1642
2015-11-30,81.3,67.5654,0.1695
2015-12-31,80.76,67.4457,0.3969
2016-01-29,81.73,68.2558,0.0
2016-02-29,82.25,68.8373,0.1745
2016-03-31,82.805,69.4419,0.1655
2016-04-29,82.97,69.7257,0.1729
2016-05-31,82.8,69.7209,0.1641
2016-06-30,84.3,71.1293,0.1692
2016-07-29,84.64,71.5553,0.1644
2016-08-31,84.21,71.3317,0.1655
2016-09-30,84.14,71.4129,0.1659
2016-10-31,83.19,70.7417,0.1605
2016-11-30,80.89,68.9205,0.1625
2016-12-30,80.79,69.1492,0.3658
2017-01-31,80.94,69.2775,0.0
2017-02-28,81.27,69.7049,0.168
2017-03-31,81.08,69.6783,0.1584
2017-04-28,81.55,70.2321,0.1736
2017-05-31,81.96,70.7311,0.1679
2017-06-30,81.83,70.7675,0.1722
2017-07-31,81.99,71.0535,0.1697
2017-08-31,82.52,71.662,0.1711
2017-09-29,81.96,71.326,0.1735
2017-10-31,81.77,71.307,0.1682
2017-11-30,81.51,71.2307,0.1729
2017-12-29,81.57,71.6161,0.3797
2018-01-31,80.56,70.7293,0.0
2018-02-28,79.55,69.9965,0.1766
2018-03-29,79.93,70.4771,0.1653
2018-04-30,79.05,69.8762,0.2002
2018-05-31,79.41,70.3534,0.1784
2018-06-29,79.19,70.3222,0.1846
2018-07-31,78.98,70.2965,0.181
2018-08-31,79.32,70.7667,0.1869
2018-09-28,78.7,70.3803,0.1876
2018-10-31,77.84,69.7741,0.1834
2018-11-30,78.14,70.218,0.1944
2018-12-31,79.21,71.5342,0.3903
2019-01-31,80.09,72.3289,0.0
2019-02-28,79.82,72.2645,0.1983
2019-03-29,81.18,73.6658,0.1837
2019-04-30,80.96,73.648,0.1996
2019-05-31,82.24,74.9928,0.1948
2019-06-28,83.07,75.9278,0.1935
2019-07-31,83.0,76.0418,0.1945
2019-08-30,85.1,78.1466,0.1934
2019-09-30,84.43,77.703,0.1882
2019-10-31,84.51,77.9442,0.1817
2019-11-29,84.29,77.9123,0.1853
2019-12-31,83.86,77.8549,0.3673
2020-01-31,85.52,79.396,0.0
2020-02-28,86.76,80.7197,0.1825
2020-03-31,85.35,79.5664,0.1727
2020-04-30,87.51,81.7615,0.1905
2020-05-29,87.92,82.3082,0.1739
2020-06-30,88.34,82.8605,0.1687
2020-07-31,89.46,84.0655,0.1624
2020-08-31,88.46,83.2736,0.1587
2020-09-30,88.22,83.1913,0.1531
2020-10-30,87.58,82.7285,0.1503
2020-11-30,88.49,83.7323,0.151
2020-12-31,88.19,83.8607,0.434
2021-01-29,87.43,83.138,0.0
2021-02-26,85.94,81.8515,0.1392
2021-03-31,84.72,80.8107,0.1288
2021-04-30,85.26,81.5104,0.1925
2021-05-28,85.26,81.6354,0.1306
2021-06-30,85.89,82.3685,0.1345
2021-07-30,86.76,83.331,0.1321
2021-08-31,86.46,83.173,0.1361
2021-09-30,85.45,82.33,0.135
2021-10-29,85.38,82.3877,0.1302
2021-11-30,85.42,82.5559,0.134
2021-12-31,84.75,82.2998,0.4058
2022-01-31,83.0,80.6004,0.0
2022-02-28,81.92,79.6828,0.1365
2022-03-31,79.54,77.4893,0.1291
2022-04-29,76.19,74.4113,0.198
2022-05-31,76.68,75.0293,0.1408
2022-06-30,75.26,73.7829,0.148
2022-07-29,76.9,75.5388,0.1487
2022-08-31,74.6,73.4253,0.1533
2022-09-30,71.33,70.3552,0.1565
2022-10-31,70.35,69.5395,0.1561
2022-11-30,72.76,72.0885,0.1629
2022-12-30,71.84,71.5065,0.3369
2023-01-31,74.22,73.8754,0.0
2023-02-28,72.07,71.9048,0.176
2023-03-09,71.81,71.81,0.1642
