date,close,adjusted close,dividend
1999-12-31,9.49,3.8737,0.0519
2000-01-31,9.39,3.8539,0.0517
2000-02-29,9.46,3.9032,0.0501
2000-03-31,9.53,3.9538,0.0525
2000-04-28,9.43,3.9335,0.051
2000-05-31,9.35,3.9219,0.0522
2000-06-30,9.5,4.0063,0.0514
2000-07-31,9.53,4.0411,0.0524
2000-08-31,9.62,4.1016,0.0528
2000-09-29,9.63,4.1287,0.0535
2000-10-31,9.63,4.1507,0.0514
2000-11-30,9.74,4.2205,0.0519
2000-12-29,9.87,4.2999,0.0532
2001-01-31,9.96,4.3621,0.0528
2001-02-28,9.99,4.3971,0.05
2001-03-30,9.99,4.4205,0.053
2001-04-30,9.89,4.3992,0.0519
2001-05-31,9.89,4.4223,0.0519
2001-06-29,9.88,4.4402,0.0501
2001-07-31,10.05,4.5398,0.0517
2001-08-31,10.1,4.5856,0.0514
2001-09-28,10.18,4.6445,0.0497
2001-10-31,10.35,4.7423,0.0444
2001-11-30,10.16,4.6752,0.0435
2001-12-31,10.05,4.6464,0.0475
2002-01-31,10.07,4.6774,0.0471
2002-02-28,10.12,4.7213,0.0444
2002-03-28,9.89,4.6361,0.0474
2002-04-30,10.03,4.7234,0.0462
2002-05-31,10.07,4.7646,0.0476
2002-06-28,10.12,4.8105,0.0469
2002-07-31,10.22,4.8797,0.0456
2002-08-30,10.35,4.9633,0.0451
2002-09-30,10.47,5.0418,0.0438
2002-10-31,10.39,5.0244,0.044
2002-11-29,10.32,5.0107,0.0415
2002-12-31,10.49,5.1132,0.0412
2003-01-31,10.45,5.1125,0.0385
2003-02-28,10.56,5.1849,0.038
2003-03-31,10.51,5.1809,0.042
2003-04-30,10.56,5.2254,0.0402
2003-05-30,10.71,5.3195,0.0401
2003-06-30,10.65,5.3089,0.0388
2003-07-31,10.24,5.1249,0.0409
2003-08-29,10.26,5.1551,0.0402
2003-09-30,10.5,5.2951,0.0386
2003-10-31,10.36,5.2435,0.0377
2003-11-28,10.34,5.2516,0.036
2003-12-31,10.36,5.3051,0.0855
2004-01-30,10.41,5.351,0.0397
2004-02-27,10.47,5.4009,0.037
2004-03-31,10.51,5.4414,0.0385
2004-04-30,10.2,5.3003,0.0375
2004-05-28,10.12,5.2787,0.0384
2004-06-30,10.14,5.3089,0.0378
2004-07-30,10.2,5.3604,0.0385
2004-08-31,10.36,5.4647,0.0383
2004-09-30,10.35,5.4794,0.0379
2004-10-29,10.39,5.5208,0.0382
2004-11-30,10.27,5.4767,0.0371
2004-12-31,10.31,5.5254,0.0512
2005-01-31,10.33,5.5565,0.038
2005-02-28,10.23,5.5223,0.0364
2005-03-31,10.14,5.4947,0.0389
2005-04-29,10.24,5.5696,0.0382
2005-05-31,10.31,5.6288,0.0389
2005-06-30,10.32,5.655,0.038
2005-07-29,10.19,5.6051,0.0388
2005-08-31,10.28,5.6759,0.0388
2005-09-30,10.13,5.6141,0.0381
2005-10-31,10.02,5.5747,0.0388
2005-11-30,10.02,5.596,0.0382
2005-12-30,10.07,5.6239,0.0
2006-01-31,10.03,5.6016,0.0
