date,close,adjusted close,dividend
2012-09-28,12.91,10.4643,0.0
2012-10-31,13.0,10.5373,0.0
2012-11-30,13.08,10.6021,0.0
2012-12-31,12.8,10.5287,0.191
2013-01-31,12.71,10.4546,0.0
2013-02-28,12.73,10.4711,0.0
2013-03-28,12.77,10.504,0.0
2013-04-30,12.87,10.5862,0.0
2013-05-31,12.3,10.1174,0.0
2013-06-28,11.67,9.6693,0.088
2013-07-31,11.8,9.777,0.0
2013-08-30,11.58,9.5948,0.0
2013-09-30,11.78,9.793,0.038
2013-10-31,11.84,9.8429,0.0
2013-11-29,11.71,9.7348,0.0
2013-12-31,11.46,9.5526,0.031
2014-01-31,11.73,9.7776,0.0
2014-02-28,11.77,9.811,0.0
2014-03-31,11.68,9.736,0.0
2014-04-30,11.85,9.8777,0.0
2014-05-30,12.11,10.0944,0.0
2014-06-30,12.02,10.1231,0.1228
2014-07-31,12.01,10.1147,0.0
2014-08-29,12.07,10.1652,0.0
2014-09-30,11.65,9.8938,0.0991
2014-10-31,11.75,9.9788,0.0
2014-11-28,11.8,10.0212,0.0
2014-12-31,11.6,9.8741,0.0269
2015-01-30,12.02,10.2316,0.0
2015-02-27,11.85,10.0869,0.0
2015-03-31,11.81,10.0529,0.0
2015-04-30,11.9,10.1295,0.0
2015-05-29,11.79,10.0358,0.0
2015-06-30,11.68,9.9422,0.0
2015-07-31,11.74,9.9933,0.0
2015-08-31,11.63,9.8996,0.0
2015-09-30,11.52,9.8642,0.0683
2015-10-30,11.54,9.8813,0.0
2015-11-30,11.52,9.8642,0.0
2015-12-31,11.38,9.7535,0.0107
2016-01-29,11.6,9.942,0.0
2016-02-29,11.74,10.062,0.0
2016-03-31,11.95,10.242,0.0
2016-04-29,11.98,10.2677,0.0
2016-05-31,11.88,10.182,0.0
2016-06-30,12.1,10.4193,0.0567
2016-07-29,12.17,10.4796,0.0
2016-08-31,12.1,10.4193,0.0
2016-09-30,12.15,10.5219,0.0691
2016-10-31,12.09,10.4699,0.0
2016-11-30,11.8,10.2188,0.0
2016-12-30,11.68,10.2069,0.107
2017-01-31,11.81,10.3205,0.0
2017-02-28,11.86,10.3642,0.0
2017-03-31,11.82,10.3601,0.0352
2017-04-28,11.91,10.439,0.0
2017-05-31,11.91,10.439,0.0
2017-06-30,11.69,10.3251,0.0904
2017-07-31,11.78,10.4046,0.0
2017-08-31,11.91,10.5194,0.0
2017-09-29,11.76,10.414,0.0307
2017-10-31,11.79,10.4405,0.0
2017-11-30,11.79,10.4405,0.0
2017-12-29,11.75,10.5418,0.1538
2018-01-31,11.61,10.4162,0.0
2018-02-28,11.5,10.3175,0.0
2018-03-29,11.62,10.4252,0.0
2018-04-30,11.59,10.3983,0.0
2018-05-31,11.64,10.4431,0.0
2018-06-29,11.59,10.504,0.1179
2018-07-31,11.52,10.4406,0.0
2018-08-31,11.61,10.5222,0.0
2018-09-28,11.39,10.4085,0.0946
2018-10-31,11.25,10.2806,0.0
2018-11-30,11.32,10.3445,0.0
2018-12-31,11.34,10.4053,0.0462
2019-01-31,11.53,10.5797,0.0
2019-02-28,11.51,10.5613,0.0
2019-03-29,11.75,10.7815,0.0
2019-04-30,11.79,10.8182,0.0
2019-05-31,11.98,10.9926,0.0
2019-06-28,11.99,11.1145,0.1228
2019-07-31,12.02,11.1423,0.0
2019-08-30,12.26,11.3648,0.0
2019-09-30,12.03,11.2223,0.0762
2019-10-31,12.03,11.2223,0.0
2019-11-29,12.04,11.2317,0.0
2019-12-31,12.05,11.294,0.0566
2020-01-31,12.33,11.5564,0.0
2020-02-28,12.44,11.6595,0.0
2020-03-31,12.22,11.4819,0.0306
2020-04-30,12.53,11.7731,0.0
2020-05-29,12.63,11.8671,0.0
2020-06-30,12.78,12.008,0.0
2020-07-31,13.07,12.2805,0.0
2020-08-31,13.26,12.459,0.0
2020-09-30,13.14,12.4044,0.062
2020-10-30,13.05,12.3194,0.0
2020-11-30,13.18,12.4422,0.0
2020-12-31,13.24,12.6097,0.1166
2021-01-29,13.32,12.6859,0.0
2021-02-26,13.06,12.4383,0.0
2021-03-31,12.99,12.3969,0.0265
2021-04-30,13.21,12.6069,0.0
2021-05-28,13.36,12.75,0.0
2021-06-30,13.19,12.7911,0.2125
2021-07-30,13.61,13.1984,0.0
2021-08-31,13.58,13.1693,0.0
2021-09-30,13.2,13.0523,0.2592
2021-10-29,13.32,13.171,0.0
2021-11-30,13.43,13.2798,0.0
2021-12-31,13.31,13.31,0.1491
2022-01-31,13.03,13.03,0.0
2022-02-28,13.15,13.15,0.0
2022-03-23,13.06,13.06,0.0
