date,close,adjusted close,dividend
1999-12-31,30.67,14.2218,0.314
2000-01-31,29.12,13.5031,0.0
2000-02-29,28.57,13.248,0.0
2000-03-31,31.36,14.5418,0.0
2000-04-28,30.41,14.1012,0.0
2000-05-31,29.72,13.8135,0.07
2000-06-30,30.44,14.1482,0.0
2000-07-31,29.96,13.9251,0.0
2000-08-31,31.75,14.7896,0.07
2000-09-29,30.07,14.007,0.0
2000-10-31,29.94,13.9464,0.0
2000-11-30,27.5,12.8443,0.08
2000-12-29,27.51,12.9046,0.12
2001-01-31,28.48,13.3596,0.0
2001-02-28,25.88,12.14,0.0
2001-03-30,24.23,11.366,0.0
2001-04-30,26.11,12.2479,0.0
2001-05-31,26.22,12.3284,0.062
2001-06-29,25.57,12.0227,0.0
2001-07-31,25.32,11.9052,0.0
2001-08-31,23.66,11.1553,0.07
2001-09-28,21.75,10.2547,0.0
2001-10-31,22.16,10.448,0.0
2001-11-30,23.78,11.248,0.073
2001-12-31,23.9,11.3443,0.085
2002-01-31,23.54,11.1734,0.0
2002-02-28,23.08,10.9551,0.0
2002-03-28,23.95,11.368,0.0
2002-04-30,22.49,10.675,0.0
2002-05-31,22.26,10.5975,0.067
2002-06-28,20.66,9.8358,0.0
2002-07-31,19.05,9.0693,0.0
2002-08-30,19.1,9.1295,0.072
2002-09-30,17.02,8.1353,0.0
2002-10-31,18.51,8.8475,0.0
2002-11-29,19.53,9.3654,0.062
2002-12-31,18.3,8.8158,0.085
2003-01-31,17.81,8.5798,0.0
2003-02-28,17.54,8.4497,0.0
2003-03-31,17.71,8.5316,0.0
2003-04-30,19.17,9.2349,0.0
2003-05-30,20.11,9.7203,0.065
2003-06-30,20.36,9.8411,0.0
2003-07-31,20.71,10.0103,0.0
2003-08-29,21.04,10.2055,0.072
2003-09-30,20.81,10.094,0.0
2003-10-31,21.99,10.6663,0.0
2003-11-28,22.09,10.7563,0.085
2003-12-31,23.14,11.3198,0.1021
2004-01-30,23.56,11.5252,0.0
2004-02-27,23.88,11.6818,0.0
2004-03-31,23.52,11.5057,0.0
2004-04-30,23.14,11.3198,0.0
2004-05-28,23.39,11.4421,0.0
2004-06-30,23.84,11.6622,0.0
2004-07-30,23.04,11.2709,0.0
2004-08-31,23.06,11.3163,0.0725
2004-09-30,23.31,11.439,0.0
2004-10-29,23.66,11.6108,0.0
2004-11-30,24.54,12.0787,0.0708
2004-12-31,25.14,12.4838,0.2233
2005-01-31,24.53,12.1809,0.0
2005-02-28,25.04,12.4342,0.0
2005-03-31,24.59,12.2107,0.0
2005-04-29,24.12,11.9773,0.0
2005-05-31,24.81,12.3612,0.0809
2005-06-30,24.84,12.3762,0.0
2005-07-29,25.76,12.8346,0.0
2005-08-31,25.42,12.716,0.1037
2005-09-30,25.62,12.816,0.0
2005-10-31,25.18,12.5959,0.0
2005-11-30,26.03,13.0751,0.104
2005-12-30,25.91,13.0771,0.125
2006-01-31,26.59,13.4203,0.0
2006-02-28,26.66,13.4556,0.0
2006-03-31,26.99,13.6222,0.0
2006-04-28,27.34,13.7988,0.0
2006-05-31,26.45,13.4015,0.106
2006-06-30,26.48,13.4167,0.0
2006-07-31,26.64,13.4977,0.0
2006-08-31,27.14,13.8181,0.1293
2006-09-29,27.83,14.1694,0.0
2006-10-31,28.73,14.6276,0.0
2006-11-30,29.15,14.9047,0.121
2006-12-29,29.41,15.1103,0.143
2007-01-31,29.85,15.3363,0.0
2007-02-28,29.26,15.0332,0.0
2007-03-30,29.59,15.2027,0.0
2007-04-30,30.89,15.8707,0.0
2007-05-31,31.84,16.4257,0.127
