date,close,adjusted close,dividend
2011-10-31,36.5,29.7107,0.0
2011-11-30,36.4,29.6293,0.0
2011-12-30,36.12,29.4014,0.0
2012-01-31,37.95,30.891,0.0
2012-02-29,39.55,32.1934,0.0
2012-03-30,40.78,33.1946,0.0
2012-04-30,40.39,32.8771,0.0
2012-05-31,37.88,30.834,0.0
2012-06-29,39.38,32.055,0.0
2012-07-31,39.78,32.3806,0.0
2012-08-31,40.77,33.1864,0.0
2012-09-28,41.82,34.0411,0.0
2012-10-31,41.08,33.4388,0.0
2012-11-30,41.39,33.6911,0.0
2012-12-31,41.22,34.1027,0.6675
2013-01-31,43.49,35.9808,0.0
2013-02-28,44.05,36.4441,0.0
2013-03-28,45.78,37.8754,0.0
2013-04-30,46.41,38.5074,0.1331
2013-05-31,47.54,39.445,0.0
2013-06-28,46.93,38.9389,0.0
2013-07-31,49.47,41.0464,0.0
2013-08-30,48.05,39.8682,0.0
2013-09-30,49.81,41.3285,0.0
2013-10-31,51.93,43.0875,0.0
2013-11-29,53.43,44.3321,0.0
2013-12-31,54.11,45.5011,0.6989
2014-01-31,52.41,44.0715,0.0
2014-02-28,54.9,46.1654,0.0
2014-03-31,55.19,46.4092,0.0
2014-04-30,55.08,46.4484,0.1512
2014-05-30,56.28,47.4603,0.0
2014-06-30,57.7,48.6578,0.0
2014-07-31,56.55,47.688,0.0
2014-08-29,58.92,49.6866,0.0
2014-09-30,57.66,48.6241,0.0
2014-10-31,59.26,49.9733,0.0
2014-11-28,60.7,51.1877,0.0
2014-12-31,59.86,51.1748,0.8275
2015-01-30,58.19,49.7471,0.0
2015-02-27,61.58,52.6452,0.0
2015-03-31,60.95,52.1066,0.0
2015-04-30,61.06,52.3443,0.17
2015-05-29,61.91,53.073,0.0
2015-06-30,60.86,52.1729,0.0
2015-07-31,61.87,53.0387,0.0
2015-08-31,58.15,49.8497,0.0
2015-09-30,56.44,48.3838,0.0
2015-10-30,60.88,52.19,0.0
2015-11-30,61.22,52.4815,0.0
2015-12-31,58.66,50.5605,0.313
2016-01-29,55.33,47.6902,0.0
2016-02-29,55.31,47.673,0.0
2016-03-31,59.2,51.0259,0.0
2016-04-29,59.27,51.3376,0.2933
2016-05-31,60.34,52.2644,0.0
2016-06-30,60.45,52.3596,0.0
2016-07-29,62.87,54.4558,0.0
2016-08-31,63.03,54.5943,0.0
2016-09-30,63.15,54.6983,0.0
2016-10-31,61.76,53.4943,0.0
2016-11-30,64.52,55.8849,0.0
2016-12-30,64.51,56.9705,1.2726
2017-01-31,65.76,58.0744,0.0
2017-02-28,68.19,60.2204,0.0
2017-03-31,68.24,60.2646,0.0
2017-04-28,68.65,60.7202,0.104
2017-05-31,69.35,61.3394,0.0
2017-06-30,69.99,61.9054,0.0
2017-07-31,71.32,63.0818,0.0
2017-08-31,71.45,63.1968,0.0
2017-09-29,73.19,64.7358,0.0
2017-10-31,74.78,66.1421,0.0
2017-11-30,77.05,68.1499,0.0
2017-12-29,76.35,68.8386,1.4767
2018-01-31,80.4,72.4902,0.0
2018-02-28,77.42,69.8034,0.0
2018-03-29,75.89,68.4239,0.0
2018-04-30,75.89,68.6702,0.2727
2018-05-31,78.03,70.6066,0.0
2018-06-29,78.55,71.0771,0.0
2018-07-31,81.18,73.4569,0.0
2018-08-31,84.0,76.0086,0.0
2018-09-28,84.13,76.1263,0.0
2018-10-31,77.89,70.4799,0.0
2018-11-30,79.45,71.8915,0.0
2018-12-31,70.59,65.204,1.521
2019-01-31,76.67,70.8201,0.0
2019-02-28,79.36,73.3048,0.0
2019-03-29,80.5,74.3578,0.0
2019-04-30,83.33,77.3187,0.371
2019-05-31,77.95,72.3268,0.0
2019-06-28,83.41,77.3929,0.0
2019-07-31,84.64,78.5342,0.0
2019-08-30,82.94,76.9568,0.0
2019-09-30,84.37,78.2837,0.0
2019-10-31,86.16,79.9446,0.0
2019-11-29,89.43,82.9787,0.0
2019-12-31,90.59,85.3645,1.383
2020-01-31,90.47,85.2515,0.0
2020-02-28,83.06,78.2689,0.0
2020-03-31,71.59,67.4605,0.0
2020-04-30,80.84,76.4091,0.231
2020-05-29,85.18,80.5112,0.0
2020-06-30,87.14,82.3637,0.0
2020-07-31,92.07,87.0235,0.0
2020-08-31,98.68,93.2712,0.0
2020-09-30,95.05,89.8402,0.0
2020-10-30,93.03,87.9309,0.0
2020-11-30,104.41,98.6872,0.0
2020-12-31,107.72,103.1043,1.327
2021-01-29,107.36,102.7597,0.0
2021-02-26,110.8,106.0523,0.0
2021-03-31,114.66,109.747,0.0
2021-04-30,120.41,115.3815,0.135
2021-05-28,120.95,115.899,0.0
2021-06-30,124.01,118.8312,0.0
2021-07-30,126.14,120.8722,0.0
2021-08-31,129.75,124.3315,0.0
2021-09-30,123.86,118.6875,0.0
2021-10-29,132.19,126.6696,0.0
2021-11-30,130.24,124.801,0.0
2021-12-31,133.78,129.5498,1.399
2022-01-31,125.74,121.764,0.0
2022-02-28,122.59,118.7136,0.0
2022-03-31,126.56,122.5581,0.0
2022-04-29,114.99,111.5129,0.178
2022-05-31,114.76,111.2898,0.0
2022-06-30,105.11,101.9316,0.0
2022-07-29,114.98,111.5032,0.0
2022-08-31,110.63,107.2847,0.0
2022-09-30,100.32,97.2865,0.0
2022-10-31,108.51,105.2288,0.0
2022-11-30,114.24,110.7856,0.0
2022-12-30,105.98,104.2683,1.544
2023-01-31,113.38,111.5488,0.0
2023-02-28,110.75,108.9612,0.0
2023-03-31,113.67,111.8341,0.0
2023-04-28,114.59,112.9559,0.219
2023-05-31,115.09,113.4488,0.0
2023-06-30,122.98,121.2263,0.0
2023-07-31,127.41,125.5931,0.0
2023-08-31,124.93,123.1484,0.0
2023-09-29,118.95,117.2537,0.0
2023-10-31,115.74,114.0895,0.0
2023-11-30,126.64,124.8341,0.0
2023-12-29,131.75,131.5071,1.64
2024-01-31,133.21,132.9644,0.0
2024-02-29,140.45,140.191,0.0
2024-03-28,144.99,144.7227,0.0
2024-04-30,138.34,138.34,0.26
2024-05-21,146.35,146.35,0.0
