date,close,adjusted close,dividend
2011-06-30,11.45,8.5559,0.0
2011-07-29,11.6,8.668,0.0
2011-08-31,11.74,8.7726,0.0
2011-09-30,11.81,8.8249,0.0
2011-10-31,11.75,8.7801,0.0
2011-11-30,11.69,8.7352,0.0
2011-12-30,11.78,8.8238,0.0285
2012-01-31,11.86,8.9051,0.0286
2012-02-29,11.82,8.8956,0.0273
2012-03-30,11.73,8.8481,0.0269
2012-04-30,11.84,8.9503,0.0256
2012-05-31,11.92,9.0316,0.0275
2012-06-29,11.91,9.0431,0.0251
2012-07-31,12.05,9.1681,0.0247
2012-08-31,12.03,9.1714,0.0243
2012-09-28,12.03,9.1889,0.023
2012-10-31,11.95,9.2012,0.096
2012-11-30,11.94,9.211,0.0228
2012-12-31,11.89,9.198,0.0331
2013-01-31,11.79,9.1378,0.0222
2013-02-28,11.83,9.1847,0.0205
2013-03-28,11.82,9.194,0.0219
2013-04-30,11.91,9.2808,0.0217
2013-05-31,11.67,9.1108,0.0218
2013-06-28,11.46,8.9636,0.0214
2013-07-31,11.46,8.9815,0.0229
2013-08-30,11.36,8.9212,0.0231
2013-09-30,11.47,9.0251,0.0223
2013-10-31,11.53,9.0922,0.0252
2013-11-29,11.46,9.0562,0.0243
2013-12-31,11.36,8.9966,0.0247
2014-01-31,11.52,9.143,0.0248
2014-02-28,11.55,9.1853,0.0234
2014-03-31,11.5,9.1656,0.0252
2014-04-30,11.57,9.2414,0.0251
2014-05-30,11.68,9.3493,0.025
2014-06-30,11.66,9.3526,0.0242
2014-07-31,11.6,9.3244,0.0248
2014-08-29,11.71,9.4326,0.0247
2014-09-30,11.61,9.3718,0.0245
2014-10-31,11.7,9.4647,0.0251
2014-11-28,11.76,9.5329,0.0243
2014-12-31,11.73,9.5351,0.0327
2015-01-30,11.97,9.7522,0.0271
2015-02-27,11.82,9.6495,0.024
2015-03-31,11.85,9.6946,0.0252
2015-04-30,11.79,9.6652,0.0241
2015-05-29,11.72,9.6274,0.0239
2015-06-30,11.57,9.5237,0.0238
2015-07-31,11.64,9.6016,0.0247
2015-08-31,11.59,9.5807,0.0246
2015-09-30,11.65,9.6501,0.024
2015-10-30,11.62,9.6558,0.0368
2015-11-30,11.57,9.6349,0.0249
