date,close,adjusted close,dividend
2018-09-28,9.94,9.2924,0.0
2018-10-31,9.13,8.5352,0.0
2018-11-30,9.25,8.6474,0.0
2018-12-31,8.77,8.2005,0.002
2019-01-31,9.42,8.8083,0.0
2019-02-28,9.58,8.9579,0.0
2019-03-29,9.65,9.0234,0.0
2019-04-30,9.91,9.2665,0.0
2019-05-31,9.39,8.7803,0.0
2019-06-28,9.94,9.2945,0.0
2019-07-31,9.76,9.1262,0.0
2019-08-30,9.54,8.9205,0.0
2019-09-30,9.81,9.173,0.0
2019-10-31,10.14,9.4816,0.0
2019-11-29,10.25,9.5844,0.0
2019-12-31,10.42,9.9779,0.247
2020-01-31,10.08,9.6524,0.0
2020-02-28,9.4,9.0012,0.0
2020-03-31,7.95,7.6127,0.0
2020-04-30,8.55,8.1873,0.0
2020-05-29,8.95,8.5703,0.0
2020-06-30,9.33,8.9342,0.0
2020-07-31,9.67,9.2598,0.0
2020-08-31,10.1,9.6715,0.0
2020-09-30,9.9,9.48,0.0
2020-10-30,9.67,9.2598,0.0
2020-11-30,10.96,10.495,0.0
2020-12-31,11.38,11.0803,0.187
2021-01-29,11.38,11.0803,0.0
2021-02-26,11.61,11.3042,0.0
2021-03-31,11.79,11.4795,0.0
2021-04-30,12.12,11.8008,0.0
2021-05-28,12.48,12.1513,0.0
2021-06-30,12.43,12.1026,0.0
2021-07-30,12.26,11.9371,0.0
2021-08-31,12.49,12.1611,0.0
2021-09-30,12.07,11.7521,0.0
2021-10-29,12.4,12.0734,0.0
2021-11-30,11.86,11.5477,0.0
2021-12-31,11.99,11.99,0.313
2022-01-31,11.66,11.66,0.0
2022-02-28,11.28,11.28,0.0
2022-03-31,11.26,11.26,0.0
2022-04-29,10.51,10.51,0.0
2022-05-23,10.45,10.45,0.0
