date,close,adjusted close,dividend
2007-03-30,9.94,5.919,0.0352
2007-04-30,9.95,5.9478,0.0383
2007-05-31,9.82,5.8934,0.0391
2007-06-29,9.75,5.8768,0.0423
2007-07-31,9.8,5.9301,0.0382
2007-08-31,9.88,6.0032,0.0408
2007-09-28,9.91,6.0462,0.0407
2007-10-31,9.96,6.1005,0.0391
2007-11-30,10.12,6.2243,0.0424
2007-12-31,10.1,6.2303,0.0295
2008-01-31,10.25,6.351,0.0456
2008-02-29,10.24,6.3695,0.0392
2008-03-31,10.24,6.3901,0.0331
2008-04-30,10.16,6.3633,0.0368
2008-05-30,10.03,6.3058,0.0385
2008-06-30,9.99,6.3012,0.0325
2008-07-31,9.94,6.2916,0.0347
2008-08-29,10.0,6.3527,0.0366
2008-09-30,9.85,6.2793,0.0347
2008-10-31,9.62,6.1549,0.0353
2008-11-28,9.94,6.3837,0.0371
2008-12-31,10.24,6.5945,0.0283
2009-01-30,10.12,6.5438,0.0414
2009-02-27,10.04,6.513,0.0326
2009-03-31,10.14,6.5975,0.0302
2009-04-30,10.13,6.6129,0.0338
2009-05-29,10.15,6.6478,0.0333
2009-06-30,10.16,6.6742,0.0301
2009-07-31,10.29,6.7596,0.0
2009-08-31,10.35,6.8189,0.0303
2009-09-30,10.43,6.8914,0.0299
2009-10-30,10.44,6.9186,0.031
2009-11-30,10.54,7.0045,0.0296
2009-12-31,10.31,6.8865,0.0527
2010-01-29,10.44,6.9963,0.0342
2010-02-26,10.44,7.0169,0.0306
2010-03-31,10.39,7.0017,0.0274
2010-04-30,10.46,7.0708,0.0323
2010-05-28,10.53,7.1365,0.0273
2010-06-30,10.67,7.2518,0.0301
2010-07-30,10.75,7.3272,0.0307
2010-08-31,10.85,7.4139,0.0271
2010-09-30,10.83,7.4199,0.0288
2010-10-29,10.83,7.4396,0.0287
2010-11-30,10.75,7.4029,0.0265
2010-12-31,10.52,7.3091,0.0935
2011-01-31,10.5,7.3169,0.0313
2011-02-28,10.49,7.3304,0.0293
2011-03-31,10.46,7.3275,0.0259
2011-04-29,10.57,7.4249,0.0289
2011-05-31,10.68,7.5206,0.0262
2011-06-30,10.61,7.4905,0.0274
2011-07-29,10.74,7.6028,0.0289
2011-08-31,10.89,7.7283,0.0272
2011-09-30,10.94,7.7811,0.0243
2011-10-31,10.92,7.7845,0.0247
2011-11-30,10.89,7.7808,0.0248
2011-12-30,10.91,7.8627,0.0947
2012-01-31,10.98,7.9351,0.0302
2012-02-29,10.95,7.932,0.0256
2012-03-30,10.86,7.886,0.0265
2012-04-30,10.96,7.9763,0.0243
2012-05-31,11.03,8.0455,0.025
2012-06-29,11.01,8.0502,0.0265
