date,close,adjusted close,dividend
1999-12-31,19.7,10.7309,0.1393
2000-01-31,18.69,10.1807,0.0
2000-02-29,18.33,9.9846,0.0
2000-03-31,20.09,10.9567,0.0251
2000-04-28,19.48,10.624,0.0
2000-05-31,19.07,10.4004,0.0
2000-06-30,19.5,10.6523,0.0316
2000-07-31,19.18,10.4775,0.0
2000-08-31,20.36,11.1221,0.0
2000-09-29,19.24,10.5284,0.0332
2000-10-31,19.15,10.4791,0.0
2000-11-30,17.63,9.6474,0.0
2000-12-29,16.39,9.6913,1.3057
2001-01-31,16.96,10.0283,0.0
2001-02-28,15.41,9.1118,0.0
2001-03-30,14.4,8.5339,0.0321
2001-04-30,15.51,9.1918,0.0
2001-05-31,15.61,9.251,0.0
2001-06-29,15.19,9.0203,0.0307
2001-07-31,15.03,8.9253,0.0
2001-08-31,14.08,8.3611,0.0
2001-09-28,12.9,7.6821,0.0339
2001-10-31,13.14,7.825,0.0
2001-11-30,14.14,8.4205,0.0
2001-12-31,14.22,8.4944,0.0439
2002-01-31,14.0,8.363,0.0
2002-02-28,13.72,8.1957,0.0
2002-03-28,14.21,8.5051,0.0274
2002-04-30,13.34,7.9844,0.0
2002-05-31,13.23,7.9185,0.0
2002-06-28,12.26,7.3549,0.0284
2002-07-31,11.3,6.779,0.0
2002-08-30,11.37,6.821,0.0
2002-09-30,10.1,6.0798,0.0346
2002-10-31,10.98,6.6095,0.0
2002-11-29,11.62,6.9947,0.0
2002-12-31,10.89,6.5794,0.0401
2003-01-31,10.6,6.4041,0.0
2003-02-28,10.44,6.3075,0.0
2003-03-31,10.49,6.3597,0.0372
2003-04-30,11.35,6.8811,0.0
2003-05-30,11.94,7.2388,0.0
2003-06-30,12.06,7.3303,0.0312
2003-07-31,12.27,7.4579,0.0
2003-08-29,12.5,7.5977,0.0
2003-09-30,12.33,7.5158,0.0357
2003-10-31,13.02,7.9364,0.0
2003-11-28,13.13,8.0035,0.0
2003-12-31,13.76,8.4175,0.0482
2004-01-30,14.0,8.5643,0.0
2004-02-27,14.19,8.6805,0.0
2004-03-31,13.93,8.5432,0.0344
2004-04-30,13.71,8.4083,0.0
2004-05-28,13.89,8.5187,0.0
2004-06-30,14.12,8.6818,0.0359
2004-07-30,13.64,8.3866,0.0
2004-08-31,13.69,8.4174,0.0
2004-09-30,13.79,8.5068,0.0452
2004-10-29,13.99,8.6302,0.0
2004-11-30,14.55,8.9756,0.0
2004-12-31,14.95,9.2803,0.0924
2005-01-31,14.58,9.0506,0.0
2005-02-28,14.88,9.2368,0.0
2005-03-31,14.57,9.0727,0.0452
2005-04-29,14.29,8.8983,0.0
2005-05-31,14.74,9.1785,0.0
2005-06-30,14.71,9.1954,0.057
2005-07-29,15.25,9.5329,0.0
2005-08-31,15.11,9.4454,0.0
2005-09-30,15.17,9.5204,0.0593
2005-10-31,14.91,9.3572,0.0
2005-11-30,15.47,9.7087,0.0
2005-12-30,15.4,9.6647,0.0
2006-01-31,15.81,9.9221,0.0
2006-02-28,15.85,9.9472,0.0
2006-03-31,15.98,10.0667,0.0609
2006-04-28,16.19,10.199,0.0
2006-05-31,15.72,9.9029,0.0
2006-06-30,15.67,9.9141,0.0666
2006-07-31,15.77,9.9773,0.0
2006-08-31,16.14,10.2114,0.0
2006-09-29,16.49,10.4759,0.0675
2006-10-31,17.02,10.8126,0.0
2006-11-30,17.34,11.0159,0.0
2006-12-29,17.5,11.1683,0.0804
2007-01-31,17.76,11.3343,0.0
2007-02-28,17.41,11.1109,0.0
2007-03-30,17.53,11.2314,0.0695
2007-04-30,18.31,11.7311,0.0
2007-05-31,18.94,12.1347,0.0
2007-06-29,18.55,11.9319,0.0732
2007-07-31,17.97,11.5589,0.0
2007-08-31,18.24,11.7325,0.0
2007-09-28,18.84,12.1688,0.0777
2007-10-31,19.14,12.3625,0.0
2007-11-30,18.33,11.8393,0.0
2007-12-31,18.11,11.7531,0.0855
2008-01-31,17.02,11.0457,0.0
2008-02-29,16.47,10.6888,0.0
2008-03-31,16.33,10.6397,0.0657
2008-04-30,17.12,11.1544,0.0
2008-05-30,17.33,11.2912,0.0
2008-06-30,15.8,10.3408,0.0731
2008-07-31,15.66,10.2491,0.0
2008-08-29,15.89,10.3997,0.0
2008-09-30,14.39,9.4681,0.0779
2008-10-31,11.97,7.8758,0.0
2008-11-28,11.11,7.31,0.0
2008-12-31,11.14,7.3854,0.0832
2009-01-30,10.2,6.7623,0.0
2009-02-27,9.11,6.0396,0.0
2009-03-31,9.85,6.5697,0.0601
2009-04-30,10.79,7.1966,0.0
2009-05-29,11.39,7.5968,0.0
2009-06-30,11.36,7.6129,0.053
2009-07-31,12.21,8.1825,0.0
2009-08-31,12.65,8.4774,0.0
2009-09-30,13.07,8.7945,0.0529
2009-10-30,12.83,8.633,0.0
2009-11-30,13.6,9.1511,0.0
2009-12-31,13.79,9.3215,0.0631
2010-01-29,13.29,8.9835,0.0
2010-02-26,13.7,9.2606,0.0
2010-03-31,14.47,9.8191,0.0561
2010-04-30,14.7,9.9752,0.0
2010-05-28,13.52,9.1744,0.0
2010-06-30,12.76,8.6963,0.0577
2010-07-30,13.65,9.3029,0.0
2010-08-31,13.03,8.8803,0.0
2010-09-30,14.13,9.6712,0.0608
2010-10-29,14.66,10.0339,0.0
2010-11-30,14.66,10.0339,0.0
2010-12-31,15.57,10.7033,0.0677
2011-01-31,15.94,10.9576,0.0
2011-02-28,16.48,11.3288,0.0
2011-03-31,16.41,11.331,0.0722
2011-04-29,16.89,11.6624,0.0
2011-05-31,16.7,11.5312,0.0
2011-06-30,16.35,11.3362,0.0656
2011-07-29,16.01,11.1004,0.0
2011-08-31,15.14,10.4972,0.0
2011-09-30,14.01,9.757,0.0641
2011-10-31,15.54,10.8226,0.0
2011-11-30,15.5,10.7947,0.0
2011-12-30,15.58,10.9053,0.0755
2012-01-31,16.27,11.3883,0.0
2012-02-29,16.98,11.8853,0.0
2012-03-30,17.46,12.2731,0.0744
2012-04-30,17.35,12.1958,0.0
2012-05-31,16.3,11.4577,0.0
2012-06-29,16.89,11.9328,0.0828
2012-07-31,17.12,12.0953,0.0
2012-08-31,17.51,12.3708,0.0
2012-09-28,17.87,12.686,0.087
2012-10-31,17.54,12.4517,0.0
2012-11-30,17.64,12.5227,0.0
2012-12-31,17.68,12.6351,0.119
2013-01-31,18.59,13.2854,0.0
2013-02-28,18.84,13.4641,0.0
2013-03-28,19.47,13.9709,0.0783
2013-04-30,19.84,14.2364,0.0
2013-05-31,20.31,14.5737,0.0
2013-06-28,19.93,14.3725,0.0976
2013-07-31,20.94,15.1009,0.0
2013-08-30,20.34,14.6682,0.0
2013-09-30,20.87,15.1238,0.1027
2013-10-31,21.83,15.8195,0.0
2013-11-29,22.49,16.2978,0.0
2013-12-31,22.86,16.708,0.1919
2014-01-31,22.07,16.1306,0.0
2014-02-28,23.08,16.8688,0.0
2014-03-31,23.17,17.0071,0.0985
2014-04-30,23.34,17.1319,0.0
2014-05-30,23.88,17.5282,0.0
2014-06-30,24.26,17.8881,0.1097
2014-07-31,23.93,17.6448,0.0
2014-08-29,24.88,18.3453,0.0
2014-09-30,24.42,18.0872,0.1114
2014-10-31,25.01,18.5242,0.0
2014-11-28,25.69,19.0278,0.0
2014-12-31,25.28,18.9714,0.3341
2015-01-30,24.52,18.4011,0.0
2015-02-27,25.93,19.4592,0.0
2015-03-31,25.41,19.1479,0.1063
2015-04-30,25.65,19.3288,0.0
2015-05-29,25.98,19.5775,0.0
2015-06-30,25.36,19.2012,0.1233
2015-07-31,25.88,19.5949,0.0
2015-08-31,24.32,18.4138,0.0
2015-09-30,23.59,17.9545,0.1241
2015-10-30,25.58,19.4691,0.0
2015-11-30,25.66,19.5299,0.0
2015-12-31,24.77,19.2165,0.4774
2016-01-29,23.54,18.2622,0.0
2016-02-29,23.51,18.239,0.0
2016-03-31,24.94,19.4736,0.1595
2016-04-29,25.03,19.5438,0.0
2016-05-31,25.48,19.8952,0.0
2016-06-30,25.43,19.9472,0.1174
2016-07-29,26.37,20.6845,0.0
2016-08-31,26.4,20.7081,0.0
2016-09-30,26.27,20.707,0.1273
2016-10-31,25.79,20.3286,0.0
2016-11-30,26.75,21.0853,0.0
2016-12-30,26.94,21.499,0.338
2017-01-31,27.45,21.906,0.0
2017-02-28,28.53,22.7679,0.0
2017-03-31,28.44,22.7962,0.1246
2017-04-28,28.73,23.0286,0.0
2017-05-31,29.13,23.3493,0.0
2017-06-30,29.17,23.4904,0.1369
2017-07-31,29.77,23.9736,0.0
2017-08-31,29.86,24.0461,0.0
2017-09-29,30.33,24.5416,0.1441
2017-10-31,31.03,25.108,0.0
2017-11-30,31.98,25.8767,0.0
2017-12-29,31.75,26.1655,0.5891
2018-01-31,33.56,27.6572,0.0
2018-02-28,32.32,26.6353,0.0
2018-03-29,31.35,25.9578,0.1489
2018-04-30,31.46,26.0489,0.0
2018-05-31,32.22,26.6782,0.0
2018-06-29,32.27,26.8406,0.1461
2018-07-31,33.47,27.8387,0.0
2018-08-31,34.55,28.737,0.0
2018-09-28,34.59,28.902,0.1586
2018-10-31,32.22,26.9217,0.0
2018-11-30,32.88,27.4732,0.0
2018-12-31,28.95,24.9886,0.9413
2019-01-31,31.27,26.9912,0.0
2019-02-28,32.27,27.8543,0.0
2019-03-29,32.74,28.3928,0.1519
2019-04-30,34.06,29.5375,0.0
2019-05-31,31.9,27.6643,0.0
2019-06-28,33.99,29.6117,0.1556
2019-07-31,34.47,30.0298,0.0
2019-08-30,33.92,29.5507,0.0
2019-09-30,34.4,30.1046,0.1552
2019-10-31,35.14,30.7522,0.0
2019-11-29,36.41,31.8636,0.0
2019-12-31,37.07,32.8227,0.4323
2020-01-31,37.05,32.805,0.0
2020-02-28,33.99,30.0956,0.0
2020-03-31,29.61,26.3745,0.1679
2020-04-30,33.41,29.7592,0.0
2020-05-29,35.0,31.1755,0.0
2020-06-30,35.53,31.7915,0.1589
2020-07-31,37.53,33.581,0.0
2020-08-31,40.22,35.988,0.0
2020-09-30,38.54,34.6251,0.1514
2020-10-30,37.51,33.6998,0.0
