date,close,adjusted close,dividend
2007-06-29,52.13,15.0253,0.0
2007-07-31,52.21,15.1174,0.2391
2007-08-31,52.96,15.4027,0.2312
2007-09-28,52.98,15.4773,0.2352
2007-10-31,53.45,15.685,0.2376
2007-11-30,54.13,15.9552,0.2377
2007-12-31,53.72,15.9544,0.408
2008-01-31,54.75,16.2603,0.0
2008-02-29,54.77,16.3293,0.2123
2008-03-31,54.39,16.2788,0.2106
2008-04-30,54.25,16.3082,0.2369
2008-05-30,53.47,16.1232,0.1658
2008-06-30,53.35,16.1485,0.2047
2008-07-31,53.43,16.2318,0.1943
2008-08-29,53.33,16.2638,0.2048
2008-09-30,52.21,15.9814,0.1985
2008-10-31,52.36,16.0881,0.198
2008-11-28,53.684,16.5592,0.2015
2008-12-31,55.636,17.2931,0.4217
2009-01-30,55.11,17.1296,0.0
2009-02-27,54.156,16.8865,0.1738
2009-03-31,54.68,17.1035,0.1687
2009-04-30,54.56,17.1187,0.1683
2009-05-29,54.86,17.2626,0.157
2009-06-30,54.75,17.2769,0.1541
2009-07-31,55.13,17.4491,0.1638
2009-08-31,55.65,17.6619,0.1506
2009-09-30,56.19,17.8828,0.1546
2009-10-30,55.95,17.8564,0.1577
2009-11-30,56.76,18.1669,0.1606
2009-12-31,54.69,17.9055,1.2569
2010-01-29,55.31,18.1084,0.0
2010-02-26,55.25,18.1347,0.1402
2010-03-31,55.16,18.1523,0.1437
2010-04-30,55.35,18.2642,0.1493
2010-05-28,55.96,18.5173,0.1551
2010-06-30,56.62,18.7889,0.1583
2010-07-30,57.18,19.0273,0.1567
2010-08-31,57.71,19.2562,0.1556
2010-09-30,57.77,19.3254,0.1467
2010-10-29,57.64,19.3274,0.1357
2010-11-30,57.16,19.2073,0.1223
2010-12-31,55.56,19.0266,1.0593
2011-01-31,55.556,19.0253,0.0
2011-02-28,55.59,19.0774,0.1177
2011-03-31,55.42,19.062,0.1255
2011-04-29,56.31,19.4136,0.13
2011-05-31,56.86,19.6492,0.1318
2011-06-30,56.39,19.5316,0.1309
2011-07-29,57.25,19.8706,0.117
