date,close,adjusted close,dividend
2017-03-31,9.99,8.6794,0.0205
2017-04-28,10.05,8.7485,0.0196
2017-05-31,10.1,8.8066,0.0167
2017-06-30,10.07,8.793,0.0144
2017-07-31,10.1,8.837,0.0203
2017-08-31,10.16,8.9076,0.0207
2017-09-29,10.09,8.8648,0.0212
2017-10-31,10.08,8.8736,0.02
2017-11-30,10.04,8.8572,0.0213
2017-12-29,10.07,8.9034,0.0224
2018-01-31,9.93,8.7982,0.021
2018-02-28,9.81,8.7105,0.021
2018-03-29,9.85,8.7665,0.023
2018-04-30,9.76,8.7059,0.022
2018-05-31,9.8,8.7621,0.023
2018-06-29,9.77,8.7559,0.023
2018-07-31,9.74,8.7487,0.022
2018-08-31,9.78,8.8053,0.023
2018-09-28,9.7,8.754,0.023
2018-10-31,9.6,8.6854,0.024
2018-11-30,9.63,8.7351,0.025
2018-12-31,9.78,8.893,0.024
2019-01-31,9.86,8.9875,0.024
2019-02-28,9.83,8.9821,0.024
2019-03-29,9.99,9.1511,0.025
2019-04-30,9.97,9.1557,0.025
2019-05-31,10.12,9.3181,0.0268
2019-06-28,10.22,9.4315,0.0232
2019-07-31,10.22,9.4546,0.025
2019-08-30,10.46,9.6997,0.025
2019-09-30,10.38,9.6478,0.024
2019-10-31,10.38,9.671,0.025
2019-11-29,10.35,9.6662,0.0248
2019-12-31,10.32,9.6606,0.024
2020-01-31,10.49,9.8431,0.025
2020-02-28,10.66,10.0233,0.022
2020-03-31,10.58,9.9697,0.023
2020-04-30,10.73,10.1318,0.022
2020-05-29,10.76,10.1799,0.021
2020-06-30,10.81,10.2471,0.021
2020-07-31,10.94,10.3893,0.02
2020-08-31,10.84,10.3133,0.02
2020-09-30,10.81,10.3038,0.02
2020-10-30,10.74,10.2571,0.021
2020-11-30,10.83,10.3612,0.019
2020-12-31,10.81,10.3736,0.0329
2021-01-29,10.71,10.2776,0.0
2021-02-26,10.53,10.1049,0.0
2021-03-31,10.38,9.9792,0.019
2021-04-30,10.44,10.0542,0.018
2021-05-28,10.46,10.0898,0.017
2021-06-30,10.51,10.1554,0.018
2021-07-30,10.61,10.2704,0.019
2021-08-31,10.57,10.2481,0.017
2021-09-30,10.46,10.1579,0.017
2021-10-29,10.44,10.1385,0.0
2021-11-30,10.45,10.1657,0.018
2021-12-31,10.4,10.1355,0.019
2022-01-31,10.17,9.927,0.016
2022-02-28,10.04,9.8167,0.017
2022-03-31,9.74,9.541,0.018
2022-04-29,9.35,9.1775,0.019
2022-05-31,9.39,9.2345,0.018
2022-06-30,9.23,9.0771,0.0
2022-07-29,9.44,9.2836,0.0
2022-08-31,9.15,9.0171,0.019
2022-09-30,8.73,8.6032,0.0
2022-10-31,8.6,8.4948,0.02
2022-11-30,8.9,8.8109,0.02
2022-12-30,8.82,8.7545,0.023
2023-01-31,9.08,9.0334,0.021
2023-02-28,8.82,8.7966,0.022
2023-03-31,9.03,9.03,0.024
2023-04-04,9.1,9.1,0.0
