date,close,adjusted close,dividend
2010-02-26,10.09,7.596,0.0251
2010-03-31,10.04,7.575,0.0221
2010-04-30,10.12,7.6523,0.0224
2010-05-28,10.18,7.7141,0.0217
2010-06-30,10.32,7.8384,0.024
2010-07-30,10.4,7.9174,0.024
2010-08-31,10.51,8.0188,0.0233
2010-09-30,10.5,8.0278,0.0218
2010-10-29,10.51,8.0506,0.0198
2010-11-30,10.43,8.0028,0.0176
2010-12-31,10.29,7.9142,0.0246
2011-01-31,10.28,7.9196,0.0171
2011-02-28,10.28,7.9334,0.0179
2011-03-31,10.26,7.9324,0.0187
2011-04-29,10.37,8.0331,0.0202
2011-05-31,10.48,8.1337,0.0198
2011-06-30,10.42,8.1024,0.0197
2011-07-29,10.56,8.227,0.0202
2011-08-31,10.69,8.3428,0.0187
2011-09-30,10.75,8.4057,0.0206
2011-10-31,10.73,8.4048,0.0189
2011-11-30,10.7,8.396,0.0187
2011-12-30,10.8,8.4881,0.0174
2012-01-31,10.87,8.5569,0.0175
2012-02-29,10.85,8.5542,0.0166
2012-03-30,10.77,8.5035,0.0156
2012-04-30,10.87,8.5952,0.0162
2012-05-31,10.94,8.6625,0.0152
2012-06-29,10.93,8.6671,0.0157
2012-07-31,11.06,8.782,0.015
2012-08-31,11.05,8.7851,0.0139
2012-09-28,11.05,8.7967,0.0146
2012-10-31,11.05,8.807,0.0129
2012-11-30,11.05,8.8174,0.0131
2012-12-31,11.0,8.7968,0.0241
2013-01-31,10.91,8.7348,0.0126
2013-02-28,10.94,8.7694,0.0133
2013-03-28,10.93,8.771,0.012
2013-04-30,11.03,8.8612,0.0123
2013-05-31,10.81,8.6844,0.0
2013-06-28,10.62,8.5422,0.0129
2013-07-31,10.62,8.5536,0.0142
2013-08-30,10.55,8.5103,0.0162
2013-09-30,10.63,8.5889,0.0175
2013-10-31,10.7,8.6598,0.0178
2013-11-29,10.63,8.6183,0.0187
2013-12-31,10.54,8.5653,0.0246
2014-01-31,10.69,8.7026,0.019
2014-02-28,10.72,8.7428,0.0194
2014-03-31,10.68,8.726,0.0194
2014-04-30,10.75,8.7992,0.0196
2014-05-30,10.85,8.8954,0.0176
2014-06-30,10.84,8.9007,0.0164
2014-07-31,10.79,8.8731,0.0164
2014-08-29,10.89,8.9692,0.0168
2014-09-30,10.8,8.9088,0.0168
2014-10-31,10.88,8.9886,0.0167
2014-11-28,10.94,9.0523,0.017
2014-12-31,10.92,9.0572,0.0259
2015-01-30,11.14,9.2539,0.0172
2015-02-27,11.0,9.1519,0.0173
2015-03-31,11.04,9.1992,0.0169
2015-04-30,10.98,9.1627,0.0162
2015-05-29,10.92,9.1262,0.0162
2015-06-30,10.78,9.0231,0.0166
2015-07-31,10.85,9.0956,0.0167
2015-08-31,10.8,9.0643,0.0127
2015-09-30,10.86,9.1251,0.0124
2015-10-30,10.85,9.1267,0.0119
2015-11-30,10.8,9.0957,0.0131
2015-12-31,10.72,9.0835,0.0658
2016-01-29,10.85,9.2091,0.0183
2016-02-29,10.9,9.2673,0.0186
2016-03-31,10.98,9.3507,0.0181
2016-04-29,11.0,9.3832,0.0181
2016-05-31,10.97,9.3727,0.0178
2016-06-30,11.16,9.5503,0.0179
2016-07-29,11.21,9.6084,0.0179
2016-08-31,11.16,9.5807,0.0176
2016-09-30,11.14,9.5785,0.0175
2016-10-31,11.03,9.4983,0.0166
2016-11-30,10.73,9.2546,0.0171
2016-12-30,10.73,9.2695,0.0172
2017-01-31,10.73,9.285,0.0179
2017-02-28,10.78,9.344,0.0182
2017-03-31,10.75,9.3338,0.0183
2017-04-28,10.81,9.4023,0.0189
2017-05-31,10.87,9.4706,0.0185
2017-06-30,10.84,9.4608,0.0188
2017-07-31,10.87,9.5034,0.0189
2017-08-31,10.94,9.5809,0.0187
2017-09-29,10.86,9.5281,0.0197
2017-10-31,10.84,9.5271,0.0188
2017-11-30,10.8,9.5091,0.0195
2017-12-29,10.83,9.5557,0.0229
2018-01-31,10.68,9.4405,0.0195
2018-02-28,10.55,9.3431,0.0198
2018-03-29,10.59,9.3958,0.0195
2018-04-30,10.48,9.3159,0.02
2018-05-31,10.52,9.3702,0.021
2018-06-29,10.5,9.3711,0.021
2018-07-31,10.48,9.3699,0.0187
2018-08-31,10.52,9.4062,0.0007
2018-09-28,10.43,9.3446,0.0211
2018-10-31,10.33,9.2742,0.0214
2018-11-30,10.36,9.3214,0.0226
2018-12-31,10.53,9.4942,0.022
2019-01-31,10.61,9.5861,0.022
2019-02-28,10.58,9.5789,0.022
2019-03-29,10.77,9.7708,0.022
2019-04-30,10.73,9.7546,0.0221
