date,close,adjusted close,dividend
2011-02-28,11.36,9.3587,0.0
2011-03-31,11.98,9.8695,0.0
2011-04-29,12.38,10.199,0.0
2011-05-31,12.04,9.9189,0.0
2011-06-30,11.85,9.7624,0.0
2011-07-29,11.76,9.6882,0.0
2011-08-31,10.75,8.8562,0.0
2011-09-30,8.99,7.4062,0.0
2011-10-31,10.21,8.4113,0.0
2011-11-30,9.85,8.1147,0.0
2011-12-30,9.35,7.8291,0.1579
2012-01-31,10.39,8.6999,0.0
2012-02-29,10.98,9.1939,0.0
2012-03-30,10.66,8.926,0.0
2012-04-30,10.47,8.7669,0.0
2012-05-31,9.32,7.804,0.0
2012-06-29,9.75,8.164,0.0
2012-07-31,9.81,8.2143,0.0
2012-08-31,9.85,8.2477,0.0
2012-09-28,10.38,8.6915,0.0
2012-10-31,10.32,8.6413,0.0
2012-11-30,10.43,8.7334,0.0
2012-12-31,10.92,9.2437,0.1151
2013-01-31,10.96,9.2776,0.0
2013-02-28,10.81,9.1506,0.0
2013-03-28,10.62,8.9898,0.0
2013-04-30,10.72,9.0744,0.0
2013-05-31,10.37,8.7782,0.0
2013-06-28,9.73,8.2364,0.0
2013-07-31,9.86,8.3464,0.0
2013-08-30,9.66,8.1771,0.0
2013-09-30,10.34,8.7528,0.0
2013-10-31,10.79,9.1337,0.0
2013-11-29,10.65,9.0152,0.0
2013-12-31,10.37,8.914,0.1579
2014-01-31,9.64,8.2865,0.0
2014-02-28,9.97,8.5702,0.0
2014-03-31,10.27,8.8281,0.0
2014-04-30,10.31,8.8624,0.0
2014-05-30,10.65,9.1547,0.0
2014-06-30,10.9,9.3696,0.0
2014-07-31,11.04,9.49,0.0
2014-08-29,11.35,9.7564,0.0
2014-09-30,10.49,9.0172,0.0
2014-10-31,10.63,9.1375,0.0
2014-11-28,10.51,9.0344,0.0
2014-12-31,9.82,8.5943,0.1741
2015-01-30,9.85,8.6206,0.0
2015-02-27,10.2,8.9269,0.0
2015-03-31,10.06,8.8044,0.0
2015-04-30,10.83,9.4783,0.0
2015-05-29,10.39,9.0932,0.0
2015-06-30,10.11,8.8482,0.0
2015-07-31,9.4,8.2268,0.0
2015-08-31,8.58,7.5091,0.0
2015-09-30,8.36,7.3166,0.0
2015-10-30,8.89,7.7804,0.0
2015-11-30,8.58,7.5091,0.0
2015-12-31,8.16,7.2868,0.1611
2016-01-29,7.72,6.8939,0.0
2016-02-29,7.65,6.8313,0.0
2016-03-31,8.65,7.7243,0.0
2016-04-29,8.69,7.7601,0.0
2016-05-31,8.37,7.4743,0.0
2016-06-30,8.75,7.8136,0.0
2016-07-29,9.15,8.1708,0.0
2016-08-31,9.35,8.3494,0.0
2016-09-30,9.52,8.5012,0.0
2016-10-31,9.48,8.4655,0.0
2016-11-30,9.06,8.0905,0.0
2016-12-30,8.89,8.057,0.1357
2017-01-31,9.41,8.5283,0.0
2017-02-28,9.69,8.782,0.0
2017-03-31,9.97,9.0358,0.0
2017-04-28,10.17,9.2171,0.0
2017-05-31,10.47,9.489,0.0
2017-06-30,10.57,9.5796,0.0
2017-07-31,11.19,10.1415,0.0
2017-08-31,11.47,10.3953,0.0
2017-09-29,11.42,10.3499,0.0
2017-10-31,11.81,10.7034,0.0
2017-11-30,11.83,10.7215,0.0
2017-12-29,11.98,11.0469,0.201
2018-01-31,12.98,11.9691,0.0
2018-02-28,12.33,11.3697,0.0
2018-03-29,12.25,11.2959,0.0
2018-04-30,12.05,11.1115,0.0
2018-05-31,11.65,10.7426,0.0
2018-06-29,11.15,10.2816,0.0
2018-07-31,11.43,10.5398,0.0
2018-08-31,11.1,10.2355,0.0
2018-09-28,11.01,10.1525,0.0
2018-10-31,10.09,9.3041,0.0
2018-11-30,10.52,9.7006,0.0
2018-12-31,9.99,9.3932,0.1977
2019-01-31,10.93,10.277,0.0
2019-02-28,10.89,10.2394,0.0
2019-03-29,11.0,10.3428,0.0
2019-04-30,11.23,10.5591,0.0
2019-05-31,10.4,9.7787,0.0
2019-06-28,11.05,10.3898,0.0
2019-07-31,10.83,10.183,0.0
2019-08-30,10.38,9.7599,0.0
2019-09-30,10.58,9.9479,0.0
2019-10-31,11.0,10.3428,0.0
2019-11-29,11.01,10.3522,0.0
2019-12-31,11.51,11.1005,0.2789
2020-01-31,10.89,10.5026,0.0
2020-02-28,10.47,10.0975,0.0
2020-03-31,8.74,8.429,0.0
2020-04-30,9.52,9.1813,0.0
2020-05-29,9.72,9.3742,0.0
2020-06-30,10.41,10.0396,0.0
2020-07-31,11.28,10.8787,0.0
2020-08-31,11.52,11.1101,0.0
2020-09-30,11.37,10.9655,0.0
2020-10-30,11.59,11.1777,0.0
2020-11-30,12.62,12.171,0.0
2020-12-31,13.26,13.0178,0.2317
2021-01-29,13.67,13.4203,0.0
2021-02-26,13.8,13.5479,0.0
2021-03-31,13.64,13.3908,0.0
2021-04-30,13.85,13.597,0.0
2021-05-28,14.06,13.8032,0.0
2021-06-30,14.24,13.9799,0.0
2021-07-30,13.27,13.0276,0.0
2021-08-31,13.54,13.2927,0.0
2021-09-30,12.99,12.7527,0.0
2021-10-29,13.13,12.8902,0.0
2021-11-30,12.59,12.36,0.0
2021-12-31,12.58,12.58,0.2361
2022-01-31,12.54,12.54,0.0
2022-02-28,11.96,11.96,0.0
2022-03-31,11.61,11.61,0.0
2022-04-29,10.94,10.94,0.0
2022-05-27,10.83,10.83,0.0
