date,close,adjusted close,dividend
2006-05-31,9.79,7.3892,0.0
2006-06-30,9.8,7.3968,0.0
2006-07-31,9.79,7.3892,0.0
2006-08-31,10.03,7.5704,0.0
2006-09-29,10.25,7.7364,0.0
2006-10-31,10.62,8.0157,0.0
2006-11-30,10.84,8.1817,0.0
2006-12-29,10.7,8.278,0.2661
2007-01-31,10.9,8.4327,0.0
2007-02-28,10.73,8.3012,0.0
2007-03-30,10.84,8.3863,0.0
2007-04-30,11.27,8.719,0.0
2007-05-31,11.68,9.0362,0.0
2007-06-29,11.46,8.866,0.0
2007-07-31,11.07,8.5643,0.0
2007-08-31,11.23,8.688,0.0
2007-09-28,11.63,8.9975,0.0
2007-10-31,11.84,9.16,0.0
2007-11-30,11.31,8.7499,0.0
2007-12-31,10.88,8.6994,0.3637
2008-01-31,10.22,8.1717,0.0
2008-02-29,9.9,7.9158,0.0
2008-03-31,9.84,7.8678,0.0
2008-04-30,10.33,8.2596,0.0
2008-05-30,10.54,8.4275,0.0
2008-06-30,9.67,7.7319,0.0
2008-07-31,9.6,7.6759,0.0
2008-08-29,9.75,7.7959,0.0
2008-09-30,8.83,7.0603,0.0
2008-10-31,7.27,5.8129,0.0
2008-11-28,6.69,5.3492,0.0
2008-12-31,6.68,5.4531,0.1354
2009-01-30,6.12,4.996,0.0
2009-02-27,5.48,4.4735,0.0
2009-03-31,5.96,4.8653,0.0
2009-04-30,6.59,5.3796,0.0
2009-05-29,6.94,5.6654,0.0
2009-06-30,6.96,5.6817,0.0
2009-07-31,7.5,6.1225,0.0
2009-08-31,7.77,6.3429,0.0
2009-09-30,8.09,6.6041,0.0
2009-10-30,7.88,6.4327,0.0
2009-11-30,8.33,6.8001,0.0
2009-12-31,8.44,6.9885,0.1193
2010-01-29,8.14,6.7401,0.0
2010-02-26,8.41,6.9637,0.0
2010-03-31,8.94,7.4025,0.0
2010-04-30,9.13,7.5598,0.0
2010-05-28,8.41,6.9637,0.0
2010-06-30,7.92,6.5579,0.0
2010-07-30,8.47,7.0134,0.0
2010-08-31,8.07,6.6821,0.0
2010-09-30,8.83,7.3114,0.0
2010-10-29,9.17,7.593,0.0
2010-11-30,9.22,7.6344,0.0
2010-12-31,9.7,8.1488,0.1392
2011-01-31,9.91,8.3252,0.0
2011-02-28,10.27,8.6277,0.0
2011-03-31,10.31,8.6613,0.0
2011-04-29,10.62,8.9217,0.0
2011-05-31,10.49,8.8125,0.0
2011-06-30,10.3,8.6529,0.0
2011-07-29,10.06,8.4512,0.0
2011-08-31,9.46,7.9472,0.0
2011-09-30,8.73,7.3339,0.0
2011-10-31,9.72,8.1656,0.0
2011-11-30,9.7,8.1488,0.0
2011-12-30,9.66,8.2073,0.1095
2012-01-31,10.15,8.6236,0.0
2012-02-29,10.57,8.9805,0.0
2012-03-30,10.89,9.2523,0.0
2012-04-30,10.82,9.1929,0.0
2012-05-31,10.15,8.6236,0.0
2012-06-29,10.54,8.955,0.0
2012-07-31,10.65,9.0484,0.0
2012-08-31,10.91,9.2693,0.0
2012-09-28,11.19,9.5072,0.0
2012-10-31,10.99,9.3373,0.0
2012-11-30,11.07,9.4053,0.0
2012-12-31,10.99,9.5199,0.2127
2013-01-31,11.59,10.0396,0.0
2013-02-28,11.74,10.1695,0.0
2013-03-28,12.2,10.568,0.0
2013-04-30,12.39,10.7326,0.0
2013-05-31,12.68,10.9838,0.0
2013-06-28,12.51,10.8365,0.0
2013-07-31,13.19,11.4256,0.0
2013-08-30,12.82,11.1051,0.0
2013-09-30,13.29,11.5122,0.0
2013-10-31,13.85,11.9973,0.0
2013-11-29,14.25,12.3438,0.0
2013-12-31,14.37,12.6677,0.2436
2014-01-31,13.91,12.2622,0.0
2014-02-28,14.57,12.8441,0.0
2014-03-31,14.64,12.9058,0.0
2014-04-30,14.65,12.9146,0.0
2014-05-30,14.97,13.1967,0.0
2014-06-30,15.34,13.5228,0.0
2014-07-31,15.03,13.2496,0.0
2014-08-29,15.66,13.8049,0.0
2014-09-30,15.33,13.514,0.0
2014-10-31,15.75,13.8843,0.0
2014-11-28,16.12,14.2104,0.0
2014-12-31,15.79,14.2128,0.3225
2015-01-30,15.34,13.8077,0.0
2015-02-27,16.23,14.6088,0.0
2015-03-31,16.06,14.4558,0.0
2015-04-30,16.13,14.5188,0.0
2015-05-29,16.35,14.7168,0.0
2015-06-30,16.07,14.4648,0.0
2015-07-31,16.33,14.6988,0.0
2015-08-31,15.34,13.8077,0.0
2015-09-30,14.89,13.4027,0.0
2015-10-30,16.06,14.4558,0.0
2015-11-30,16.15,14.5368,0.0
2015-12-31,15.35,13.9913,0.1909
2016-01-29,14.48,13.1983,0.0
2016-02-29,14.47,13.1892,0.0
2016-03-31,15.49,14.1189,0.0
2016-04-29,15.58,14.2009,0.0
2016-05-31,15.86,14.4562,0.0
2016-06-30,15.88,14.4744,0.0
2016-07-29,16.51,15.0486,0.0
2016-08-31,16.55,15.0851,0.0
2016-09-30,16.57,15.1033,0.0
2016-10-31,16.21,14.7752,0.0
2016-11-30,16.93,15.4314,0.0
2016-12-30,16.9,15.7288,0.3601
2017-01-31,17.21,16.0174,0.0
2017-02-28,17.85,16.613,0.0
2017-03-31,17.85,16.613,0.0
2017-04-28,18.04,16.7898,0.0
2017-05-31,18.22,16.9574,0.0
2017-06-30,18.38,17.1063,0.0
2017-07-31,18.72,17.4227,0.0
2017-08-31,18.75,17.4506,0.0
2017-09-29,19.21,17.8788,0.0
2017-10-31,19.62,18.2603,0.0
2017-11-30,20.21,18.8095,0.0
2017-12-29,20.02,18.7278,0.1014
2018-01-31,21.07,19.7101,0.0
2018-02-28,20.29,18.9804,0.0
2018-03-29,19.88,18.5969,0.0
2018-04-30,19.95,18.6623,0.0
2018-05-31,20.5,19.1768,0.0
2018-06-29,20.63,19.2985,0.0
