date,close,adjusted close,dividend
2001-12-31,10.14,4.8897,0.0512
2002-01-31,10.17,4.9284,0.0504
2002-02-28,10.21,4.9707,0.0471
2002-03-28,10.0,4.8964,0.0574
2002-04-30,10.12,4.9795,0.0497
2002-05-31,10.15,5.0195,0.0514
2002-06-28,10.13,5.0343,0.0499
2002-07-31,10.13,5.0589,0.0495
2002-08-30,10.25,5.1432,0.0488
2002-09-30,10.36,5.222,0.0471
2002-10-31,10.25,5.1903,0.047
2002-11-29,10.21,5.1918,0.043
2002-12-31,10.38,5.2995,0.0419
2003-01-31,10.34,5.3024,0.0458
2003-02-28,10.44,5.3756,0.0426
2003-03-31,10.38,5.369,0.0472
2003-04-30,10.43,5.4158,0.0405
2003-05-30,10.58,5.5148,0.0406
2003-06-30,10.52,5.5076,0.0462
2003-07-31,10.13,5.324,0.0393
2003-08-29,10.17,5.3568,0.0225
2003-09-30,10.41,5.5021,0.0358
2003-10-31,10.27,5.4497,0.0408
2003-11-28,10.26,5.4649,0.0387
2003-12-31,10.31,5.5136,0.0415
2004-01-30,10.36,5.5617,0.0398
2004-02-27,10.43,5.6194,0.0376
2004-03-31,10.46,5.6646,0.0539
2004-04-30,10.15,5.5169,0.0373
2004-05-28,10.07,5.4938,0.0375
2004-06-30,10.09,5.525,0.0372
2004-07-30,10.15,5.5787,0.0381
2004-08-31,10.31,5.6875,0.0379
2004-09-30,10.29,5.697,0.0373
2004-10-29,10.34,5.7457,0.0379
2004-11-30,10.22,5.6998,0.0374
2004-12-31,10.27,5.7525,0.0444
2005-01-31,10.3,5.7905,0.038
2005-02-28,10.2,5.7547,0.0362
2005-03-31,10.11,5.7267,0.0405
2005-04-29,10.21,5.8048,0.0377
2005-05-31,10.28,5.8663,0.0383
2005-06-30,10.3,5.8992,0.0376
2005-07-29,10.17,5.8468,0.0385
2005-08-31,10.26,5.9207,0.0386
2005-09-30,10.11,5.856,0.0379
2005-10-31,9.99,5.809,0.0389
2005-11-30,10.0,5.8372,0.0385
2005-12-30,10.06,5.8723,0.0
2006-01-31,10.01,5.8431,0.0
2006-02-28,10.01,5.8654,0.0382
2006-03-31,9.87,5.8073,0.0409
2006-04-28,9.81,5.7957,0.0403
2006-05-31,9.76,5.7907,0.0415
2006-06-30,9.73,5.7971,0.0409
2006-07-31,9.82,5.8757,0.0418
2006-08-31,9.94,5.9726,0.042
2006-09-29,9.98,6.0215,0.0414
2006-10-31,10.01,6.0652,0.0424
2006-11-30,10.08,6.1329,0.0417
2006-12-29,9.99,6.1041,0.0428
2007-01-31,9.94,6.0996,0.0426
