date,close,adjusted close,dividend
2000-12-29,29.26,19.7906,0.0
2001-01-31,30.39,20.5548,0.0
2001-02-28,27.52,18.6137,0.0
2001-03-30,25.6,17.3648,0.073
2001-04-30,27.69,18.7825,0.0
2001-05-31,27.97,18.9725,0.0
2001-06-29,27.45,18.6642,0.065
2001-07-31,26.98,18.3446,0.0
2001-08-31,25.36,17.2431,0.0
2001-09-28,23.0,15.694,0.076
2001-10-31,23.58,16.0898,0.0
2001-11-30,25.39,17.3249,0.0
2001-12-31,25.75,17.6357,0.095
2002-01-31,25.42,17.4097,0.0
2002-02-28,24.9,17.0536,0.0
2002-03-28,25.92,17.8022,0.073
2002-04-30,24.65,16.9299,0.0
2002-05-31,24.36,16.7307,0.0
2002-06-28,22.57,15.5446,0.063
2002-07-31,20.76,14.298,0.0
2002-08-30,20.88,14.3806,0.0
2002-09-30,18.7,12.9288,0.073
2002-10-31,20.13,13.9175,0.0
2002-11-29,21.35,14.761,0.0
2002-12-31,20.07,13.9407,0.095
2003-01-31,19.56,13.5865,0.0
2003-02-28,19.23,13.3573,0.0
2003-03-31,19.37,13.5044,0.073
2003-04-30,20.96,14.6129,0.0
2003-05-30,22.24,15.5053,0.0
2003-06-30,22.49,15.7289,0.072
2003-07-31,23.02,16.0996,0.0
2003-08-29,23.57,16.4842,0.0
2003-09-30,23.22,16.2975,0.083
2003-10-31,24.64,17.2942,0.0
2003-11-28,24.99,17.5398,0.0
2003-12-31,25.99,18.3202,0.11
2004-01-30,26.57,18.7291,0.0
2004-02-27,26.96,19.004,0.0
2004-03-31,26.58,18.7972,0.085
2004-04-30,26.02,18.4011,0.0
2004-05-28,26.38,18.6557,0.0
2004-06-30,26.83,19.0416,0.095
2004-07-30,25.81,18.3177,0.0
2004-08-31,25.89,18.3744,0.0
2004-09-30,26.25,18.6984,0.096
2004-10-29,26.7,19.019,0.0
2004-11-30,27.95,19.9094,0.0
2004-12-31,28.77,20.6307,0.192
2005-01-31,28.0,20.0785,0.0
2005-02-28,28.59,20.5016,0.0
2005-03-31,27.98,20.1407,0.106
2005-04-29,27.33,19.6728,0.0
2005-05-31,28.36,20.4143,0.0
2005-06-30,28.5,20.585,0.097
2005-07-29,29.68,21.4373,0.0
2005-08-31,29.4,21.2351,0.0
2005-09-30,29.51,21.4155,0.138
2005-10-31,28.96,21.0164,0.0
2005-11-30,30.12,21.8582,0.0
2005-12-30,30.0,21.8862,0.161
2006-01-31,31.05,22.6522,0.0
2006-02-28,31.06,22.6595,0.0
2006-03-31,31.49,23.0656,0.127
2006-04-28,31.84,23.322,0.0
2006-05-31,30.81,22.5675,0.0
2006-06-30,30.74,22.613,0.129
2006-07-31,30.71,22.5909,0.0
2006-08-31,31.42,23.1132,0.0
2006-09-29,32.0,23.6355,0.128
2006-10-31,33.14,24.4776,0.0
2006-11-30,33.88,25.0241,0.0
2006-12-29,34.09,25.3064,0.172
2007-01-31,34.73,25.7815,0.0
2007-02-28,34.17,25.3658,0.0
2007-03-30,34.41,25.6512,0.146
2007-04-30,35.8,26.6874,0.0
2007-05-31,37.12,27.6714,0.0
2007-06-29,36.36,27.2078,0.138
2007-07-31,35.13,26.2874,0.0
2007-08-31,35.64,26.669,0.0
2007-09-28,36.77,27.6322,0.157
2007-10-31,37.44,28.1357,0.0
2007-11-30,35.77,26.8807,0.0
2007-12-31,35.36,26.7156,0.188
2008-01-31,33.21,25.0912,0.0
2008-02-29,32.2,24.3281,0.0
2008-03-31,31.86,24.184,0.152
2008-04-30,33.46,25.3985,0.0
2008-05-30,34.17,25.9375,0.0
2008-06-30,31.22,23.8108,0.153
2008-07-31,30.98,23.6278,0.0
2008-08-29,31.48,24.0091,0.0
2008-09-30,28.42,21.7818,0.143
2008-10-31,23.41,17.942,0.0
2008-11-28,21.57,16.5318,0.0
2008-12-31,21.8,16.834,0.161
2009-01-30,20.0,15.444,0.0
2009-02-27,17.91,13.8301,0.0
2009-03-31,19.34,15.0379,0.135
2009-04-30,21.39,16.6318,0.0
2009-05-29,22.53,17.5182,0.0
2009-06-30,22.5,17.5823,0.109
2009-07-31,24.27,18.9654,0.0
2009-08-31,25.15,19.6531,0.0
2009-09-30,26.1,20.4889,0.12
2009-10-30,25.42,19.955,0.0
2009-11-30,26.86,21.0855,0.0
2009-12-31,27.45,21.6864,0.175
2010-01-29,26.5,20.9359,0.0
2010-02-26,27.39,21.639,0.0
2010-03-31,28.99,22.994,0.115
2010-04-30,29.63,23.5016,0.0
2010-05-28,27.26,21.6218,0.0
2010-06-30,25.59,20.3953,0.131
2010-07-30,27.39,21.8299,0.0
2010-08-31,26.09,20.7938,0.0
2010-09-30,28.42,22.7685,0.145
2010-10-29,29.54,23.6658,0.0
2010-11-30,29.71,23.802,0.0
2010-12-31,31.57,25.4286,0.17
2011-01-31,32.26,25.9843,0.0
2011-02-28,33.43,26.9267,0.0
2011-03-31,33.44,27.0469,0.137
2011-04-29,34.44,27.8557,0.0
2011-05-31,34.04,27.5322,0.0
