date,close,adjusted close,dividend
2011-02-28,51.04,35.1242,0.0
2011-03-31,50.91,35.0348,0.0
2011-04-29,53.55,36.8515,0.0
2011-05-31,51.94,35.7436,0.0
2011-06-30,51.31,35.31,0.0
2011-07-29,50.41,34.6907,0.0
2011-08-31,46.15,31.7591,0.0
2011-09-30,40.31,27.7401,0.0
2011-10-31,44.44,30.5823,0.0
2011-11-30,43.5,29.9354,0.0
2011-12-30,40.9,29.0458,1.291
2012-01-31,43.9,31.1763,0.0
2012-02-29,45.9,32.5966,0.0
2012-03-30,45.6468,32.4168,0.0
2012-04-30,44.7,31.7444,0.0
2012-05-31,39.86,28.3072,0.0
2012-06-29,42.24,29.9974,0.0
2012-07-31,42.37,30.0898,0.0
2012-08-31,43.47,30.8709,0.0
2012-09-28,44.21,31.9249,0.757
2012-10-31,44.57,32.1848,0.0
2012-11-30,45.49,32.8492,0.0
2012-12-31,47.07,34.4514,0.636
2013-01-31,48.2,35.2785,0.0
2013-02-28,47.65,34.876,0.0
2013-03-28,47.97,35.2016,0.125
2013-04-30,49.65,36.4344,0.0
2013-05-31,48.0101,35.231,0.0
2013-06-28,45.68,33.974,0.599
2013-07-31,47.79,35.5433,0.0
2013-08-30,46.86,34.8516,0.0
2013-09-30,50.15,37.468,0.23
2013-10-31,51.99,38.8427,0.0
2013-11-29,52.06,38.895,0.0
2013-12-31,52.38,39.4862,0.458
2014-01-31,49.55,37.3529,0.0
2014-02-28,52.32,39.441,0.0
2014-03-31,52.2,39.6327,0.367
2014-04-30,52.86,40.1338,0.0
2014-05-30,53.88,40.9083,0.0
2014-06-30,54.29,41.6805,0.604
2014-07-31,53.35,40.9588,0.0
2014-08-29,53.97,41.4348,0.0
2014-09-30,51.0,39.3601,0.274
2014-10-31,50.96,39.3292,0.0
2014-11-28,50.7,39.1285,0.0
2014-12-31,48.34,37.6127,0.4
2015-01-30,48.47,37.7139,0.0
2015-02-27,51.27,39.8925,0.0
2015-03-31,50.35,39.2982,0.158
2015-04-30,52.77,41.187,0.0
2015-05-29,52.29,40.8124,0.0
2015-06-30,50.33,39.6979,0.547
2015-07-31,50.05,39.4771,0.0
2015-08-31,46.33,36.5429,0.0
2015-09-30,44.32,35.1347,0.224
2015-10-30,47.09,37.3306,0.0
2015-11-30,46.47,36.8391,0.0
2015-12-31,45.11,36.0386,0.347
2016-01-29,42.65,34.0733,0.0
2016-02-29,41.6,33.2345,0.0
2016-03-31,44.92,36.0037,0.143
2016-04-29,45.89,36.7811,0.0
2016-05-31,45.44,36.4205,0.0
2016-06-30,44.48,36.0932,0.537
2016-07-29,46.49,37.7243,0.0
2016-08-31,46.7,37.8947,0.0
2016-09-30,47.21,38.5371,0.274
2016-10-31,46.31,37.8025,0.0
2016-11-30,45.38,37.0433,0.0
2016-12-30,45.88,37.7709,0.39
2017-01-31,47.75,39.3103,0.0
2017-02-28,48.39,39.8372,0.0
2017-03-31,49.68,41.0308,0.16
2017-04-28,50.7,41.8732,0.0
2017-05-31,52.2,43.1121,0.0
2017-06-30,51.97,43.385,0.556
2017-07-31,53.72,44.8459,0.0
2017-08-31,54.01,45.088,0.0
2017-09-29,54.73,45.9371,0.298
2017-10-31,55.84,46.8688,0.0
2017-11-30,56.19,47.1625,0.0
2017-12-29,56.81,48.1395,0.5391
2018-01-31,60.06,50.8935,0.0
2018-02-28,56.91,48.2243,0.0
2018-03-29,56.55,48.0403,0.1424
2018-04-30,56.81,48.2612,0.0
2018-05-31,55.88,47.4711,0.0
2018-06-29,54.1,46.4572,0.5928
2018-07-31,55.48,47.6423,0.0
2018-08-31,54.15,46.5002,0.0
2018-09-28,54.0,46.5999,0.2683
2018-10-31,49.38,42.613,0.0
2018-11-30,50.21,43.3292,0.0
2018-12-31,47.22,41.1913,0.4963
2019-01-31,50.84,44.3492,0.0
2019-02-28,51.67,45.0732,0.0
2019-03-29,51.9,45.4196,0.1656
2019-04-30,53.34,46.6797,0.0
2019-05-31,50.45,44.1506,0.0
2019-06-28,52.75,46.6999,0.6106
2019-07-31,51.7,45.7703,0.0
2019-08-30,50.58,44.7788,0.0
2019-09-30,51.66,46.0004,0.3004
2019-10-31,53.43,47.5764,0.0
2019-11-29,53.96,48.0484,0.0
2019-12-31,55.69,50.1513,0.6281
2020-01-31,53.8,48.4492,0.0
2020-02-28,50.25,45.2523,0.0
2020-03-31,41.96,37.8956,0.1058
2020-04-30,45.15,40.7766,0.0
2020-05-29,47.41,42.8177,0.0
2020-06-30,49.17,44.632,0.2521
2020-07-31,51.21,46.4837,0.0
2020-08-31,53.48,48.5442,0.0
2020-09-30,52.17,47.6627,0.3385
2020-10-30,50.97,46.5664,0.0
2020-11-30,57.4,52.4408,0.0
2020-12-31,60.16,55.5127,0.5903
2021-01-29,60.31,55.6512,0.0
2021-02-26,61.7,56.9338,0.0
2021-03-31,62.7,57.9986,0.1553
2021-04-30,64.44,59.6081,0.0
2021-05-28,66.42,61.4396,0.0
2021-06-30,65.68,61.231,0.5148
2021-07-30,64.94,60.5411,0.0
2021-08-31,65.89,61.4267,0.0
2021-09-30,63.26,59.3053,0.3565
2021-10-29,65.08,61.0116,0.0
2021-11-30,62.31,58.4147,0.0
2021-12-31,63.57,60.5079,0.9412
2022-01-31,61.77,58.7946,0.0
2022-02-28,60.01,57.1194,0.0
2022-03-31,59.74,56.9584,0.1004
2022-04-29,55.86,53.259,0.0
2022-05-31,56.71,54.0695,0.0
2022-06-30,51.61,49.7677,0.5893
2022-07-29,53.49,51.5806,0.0
2022-08-31,51.09,49.2663,0.0
2022-09-30,45.77,44.3852,0.2804
2022-10-31,47.33,45.898,0.0
2022-11-30,53.5,51.8813,0.0
