date,close
2011-06-30,11.45
2011-07-29,11.6
2011-08-31,11.74
2011-09-30,11.81
2011-10-31,11.75
2011-11-30,11.69
2011-12-30,11.78
2012-01-31,11.86
2012-02-29,11.82
2012-03-30,11.73
2012-04-30,11.84
2012-05-31,11.92
2012-06-29,11.91
2012-07-31,12.05
2012-08-31,12.03
2012-09-28,12.03
2012-10-31,11.95
2012-11-30,11.94
2012-12-31,11.89
2013-01-31,11.79
2013-02-28,11.83
2013-03-28,11.82
2013-04-30,11.91
2013-05-31,11.67
2013-06-28,11.46
2013-07-31,11.46
2013-08-30,11.36
2013-09-30,11.47
2013-10-31,11.53
2013-11-29,11.46
2013-12-31,11.36
2014-01-31,11.52
2014-02-28,11.55
2014-03-31,11.5
2014-04-30,11.57
2014-05-30,11.68
2014-06-30,11.66
2014-07-31,11.6
2014-08-29,11.71
2014-09-30,11.61
2014-10-31,11.7
2014-11-28,11.76
2014-12-31,11.73
2015-01-30,11.97
2015-02-27,11.82
2015-03-31,11.85
2015-04-30,11.79
2015-05-29,11.72
2015-06-30,11.57
2015-07-31,11.64
2015-08-31,11.59
2015-09-30,11.65
2015-10-30,11.62
2015-11-30,11.57
2015-12-31,11.49
2016-01-29,11.62
2016-02-29,11.69
2016-03-31,11.77
2016-04-29,11.79
2016-05-31,11.76
2016-06-30,11.96
2016-07-29,12.01
2016-08-31,11.96
2016-09-30,11.94
2016-10-31,11.82
2016-11-30,11.5
2016-12-30,11.49
2017-01-31,11.49
2017-02-28,11.55
2017-03-31,11.52
2017-04-28,11.58
2017-05-31,11.64
2017-06-30,11.6
2017-07-31,11.63
2017-08-31,11.71
2017-09-29,11.63
2017-10-31,11.6
2017-11-30,11.56
2017-12-29,11.59
2018-01-31,11.43
2018-02-28,11.3
2018-03-29,11.34
2018-04-30,11.22
2018-05-31,11.27
2018-06-29,11.24
2018-07-31,11.23
2018-08-31,11.26
2018-09-28,11.17
2018-10-31,11.06
2018-11-30,11.1
2018-12-31,11.28
2019-01-31,11.37
2019-02-28,11.33
2019-03-29,11.53
2019-04-30,11.5
2019-05-31,11.68
2019-06-28,11.79
2019-07-31,11.8
2019-08-30,12.08
2019-09-30,11.98
2019-10-31,11.99
2019-11-29,11.96
2019-12-31,11.91
2020-01-31,12.13
2020-02-28,12.32
2020-03-31,12.27
2020-04-30,12.45
2020-05-29,12.48
2020-06-30,12.54
2020-07-31,12.7
2020-08-31,12.57
2020-09-30,12.54
2020-10-30,12.36
2020-11-30,12.48
2020-12-31,12.45
2021-01-29,12.34
2021-02-26,12.13
2021-03-31,11.96
2021-04-30,12.04
2021-05-28,12.05
2021-06-30,12.13
2021-07-30,12.24
2021-08-31,12.2
2021-09-30,12.08
2021-10-29,12.03
2021-11-30,12.04
2021-12-31,11.98
2022-01-31,11.71
2022-02-10,11.48
