date,close
2018-09-28,10.32
2018-10-31,9.56
2018-11-30,9.75
2018-12-31,8.78
2019-01-31,9.53
2019-02-28,9.87
2019-03-29,10.01
2019-04-30,10.41
2019-05-31,9.73
2019-06-28,10.42
2019-07-31,10.57
2019-08-30,10.36
2019-09-30,10.55
2019-10-31,10.78
2019-11-29,11.18
2019-12-31,11.34
2020-01-31,11.31
2020-02-28,10.38
2020-03-31,8.95
2020-04-30,10.14
2020-05-29,10.68
2020-06-30,10.93
2020-07-31,11.55
2020-08-31,12.38
2020-09-30,11.92
2020-10-30,11.67
2020-11-30,13.08
2020-12-31,13.49
2021-01-29,13.43
2021-02-26,13.85
2021-03-31,14.34
2021-04-30,15.08
2021-05-28,15.16
2021-06-30,15.54
2021-07-30,15.82
2021-08-31,16.28
2021-09-30,15.54
2021-10-29,16.59
2021-11-30,16.35
2021-12-31,16.78
2022-01-31,15.8
2022-02-25,15.42
