date,close
2011-02-28,11.36
2011-03-31,11.98
2011-04-29,12.38
2011-05-31,12.04
2011-06-30,11.85
2011-07-29,11.76
2011-08-31,10.75
2011-09-30,8.99
2011-10-31,10.21
2011-11-30,9.85
2011-12-30,9.35
2012-01-31,10.39
2012-02-29,10.98
2012-03-30,10.66
2012-04-30,10.47
2012-05-31,9.32
2012-06-29,9.75
2012-07-31,9.81
2012-08-31,9.85
2012-09-28,10.38
2012-10-31,10.32
2012-11-30,10.43
2012-12-31,10.92
2013-01-31,10.96
2013-02-28,10.81
2013-03-28,10.62
2013-04-30,10.72
2013-05-31,10.37
2013-06-28,9.73
2013-07-31,9.86
2013-08-30,9.66
2013-09-30,10.34
2013-10-31,10.79
2013-11-29,10.65
2013-12-31,10.37
2014-01-31,9.64
2014-02-28,9.97
2014-03-31,10.27
2014-04-30,10.31
2014-05-30,10.65
2014-06-30,10.9
2014-07-31,11.04
2014-08-29,11.35
2014-09-30,10.49
2014-10-31,10.63
2014-11-28,10.51
2014-12-31,9.82
2015-01-30,9.85
2015-02-27,10.2
2015-03-31,10.06
2015-04-30,10.83
2015-05-29,10.39
2015-06-30,10.11
2015-07-31,9.4
2015-08-31,8.58
2015-09-30,8.36
2015-10-30,8.89
2015-11-30,8.58
2015-12-31,8.16
2016-01-29,7.72
2016-02-29,7.65
2016-03-31,8.65
2016-04-29,8.69
2016-05-31,8.37
2016-06-30,8.75
2016-07-29,9.15
2016-08-31,9.35
2016-09-30,9.52
2016-10-31,9.48
2016-11-30,9.06
2016-12-30,8.89
2017-01-31,9.41
2017-02-28,9.69
2017-03-31,9.97
2017-04-28,10.17
2017-05-31,10.47
2017-06-30,10.57
2017-07-31,11.19
2017-08-31,11.47
2017-09-29,11.42
2017-10-31,11.81
2017-11-30,11.83
2017-12-29,11.98
2018-01-31,12.98
2018-02-28,12.33
2018-03-29,12.25
2018-04-30,12.05
2018-05-31,11.65
2018-06-29,11.15
2018-07-31,11.43
2018-08-31,11.1
2018-09-28,11.01
2018-10-31,10.09
2018-11-30,10.52
2018-12-31,9.99
2019-01-31,10.93
2019-02-28,10.89
2019-03-29,11.0
2019-04-30,11.23
2019-05-31,10.4
2019-06-28,11.05
2019-07-31,10.83
2019-08-30,10.38
2019-09-30,10.58
2019-10-31,11.0
2019-11-29,11.01
2019-12-31,11.51
2020-01-31,10.89
2020-02-28,10.47
2020-03-31,8.74
2020-04-30,9.52
2020-05-29,9.72
2020-06-30,10.41
2020-07-31,11.28
2020-08-31,11.52
2020-09-30,11.37
2020-10-30,11.59
2020-11-30,12.62
2020-12-31,13.26
2021-01-29,13.67
2021-02-26,13.8
2021-03-31,13.64
2021-04-30,13.85
2021-05-28,14.06
2021-06-30,14.24
2021-07-30,13.27
2021-08-31,13.54
2021-09-30,12.99
2021-10-29,13.13
2021-11-30,12.59
2021-12-31,12.58
2022-01-31,12.54
2022-02-24,11.93
