date,close
2001-12-31,10.14
2002-01-31,10.17
2002-02-28,10.21
2002-03-28,10.0
2002-04-30,10.12
2002-05-31,10.15
2002-06-28,10.13
2002-07-31,10.13
2002-08-30,10.25
2002-09-30,10.36
2002-10-31,10.25
2002-11-29,10.21
2002-12-31,10.38
2003-01-31,10.34
2003-02-28,10.44
2003-03-31,10.38
2003-04-30,10.43
2003-05-30,10.58
2003-06-30,10.52
2003-07-31,10.13
2003-08-29,10.17
2003-09-30,10.41
2003-10-31,10.27
2003-11-28,10.26
2003-12-31,10.31
2004-01-30,10.36
2004-02-27,10.43
2004-03-31,10.46
2004-04-30,10.15
2004-05-28,10.07
2004-06-30,10.09
2004-07-30,10.15
2004-08-31,10.31
2004-09-30,10.29
2004-10-29,10.34
2004-11-30,10.22
2004-12-31,10.27
2005-01-31,10.3
2005-02-28,10.2
2005-03-31,10.11
2005-04-29,10.21
2005-05-31,10.28
2005-06-30,10.3
2005-07-29,10.17
2005-08-31,10.26
2005-09-30,10.11
2005-10-31,9.99
2005-11-30,10.0
2005-12-30,10.06
2006-01-31,10.01
2006-02-28,10.01
2006-03-31,9.87
2006-04-28,9.81
2006-05-31,9.76
2006-06-30,9.73
2006-07-31,9.82
2006-08-31,9.94
2006-09-29,9.98
2006-10-31,10.01
2006-11-30,10.08
2006-12-29,9.99
2007-01-31,9.94
2007-02-28,10.05
2007-03-30,10.01
2007-04-30,10.02
2007-05-31,9.9
2007-06-29,9.82
2007-07-31,9.86
2007-08-31,9.95
2007-09-28,9.98
2007-10-31,10.03
2007-11-30,10.18
2007-12-31,10.16
2008-01-31,10.29
2008-02-29,10.27
2008-03-31,10.26
2008-04-30,10.19
2008-05-30,10.07
2008-06-30,10.03
2008-07-31,9.99
2008-08-29,10.02
2008-09-30,9.87
2008-10-31,9.58
2008-11-28,9.89
2008-12-31,10.18
2009-01-30,10.07
2009-02-27,9.99
2009-03-31,10.1
2009-04-30,10.1
2009-05-29,10.15
2009-06-30,10.17
2009-07-31,10.28
2009-08-31,10.35
2009-09-30,10.44
2009-10-30,10.45
2009-11-30,10.56
2009-12-31,10.35
2010-01-29,10.48
2010-02-26,10.47
2010-03-31,10.43
2010-04-30,10.51
2010-05-28,10.57
2010-06-30,10.71
2010-07-30,10.78
2010-08-31,10.91
2010-09-30,10.88
2010-10-29,10.89
2010-11-30,10.8
2010-12-31,10.6
2011-01-31,10.58
2011-02-28,10.57
2011-03-31,10.54
2011-04-29,10.65
2011-05-31,10.76
2011-06-30,10.69
2011-07-29,10.83
2011-08-31,10.96
2011-09-30,11.03
2011-10-31,11.02
2011-11-30,10.96
2011-12-30,11.0
2012-01-31,11.07
2012-02-29,11.04
2012-03-30,10.94
2012-04-30,11.04
2012-05-31,11.12
2012-06-29,11.1
2012-07-31,11.23
2012-08-31,11.21
2012-09-28,11.2
2012-10-31,11.19
2012-11-30,11.19
2012-12-31,11.09
2013-01-31,10.99
2013-02-28,11.03
2013-03-28,11.0
2013-04-30,11.08
2013-05-31,10.87
2013-06-28,10.67
2013-07-31,10.67
2013-08-30,10.58
2013-09-30,10.66
2013-10-31,10.72
2013-11-29,10.66
2013-12-31,10.56
2014-01-31,10.7
2014-02-28,10.73
2014-03-31,10.69
2014-04-30,10.75
2014-05-30,10.84
2014-06-30,10.83
2014-07-31,10.78
2014-08-29,10.88
2014-09-30,10.78
2014-10-31,10.86
2014-11-28,10.91
2014-12-31,10.87
2015-01-30,11.1
2015-02-27,10.96
2015-03-31,10.98
2015-04-30,10.92
2015-05-29,10.85
2015-06-30,10.72
2015-07-31,10.78
2015-08-31,10.72
2015-09-30,10.78
2015-10-30,10.76
2015-11-30,10.71
2015-12-31,10.64
2016-01-29,10.77
2016-02-29,10.82
2016-03-31,10.9
2016-04-29,10.92
2016-05-31,10.9
2016-06-30,11.09
2016-07-29,11.14
2016-08-31,11.1
2016-09-30,11.07
2016-10-31,10.96
2016-11-30,10.65
2016-12-30,10.65
2017-01-31,10.66
2017-02-28,10.71
2017-03-31,10.68
2017-04-28,10.74
2017-05-31,10.79
2017-06-30,10.77
2017-07-31,10.79
2017-08-31,10.86
2017-09-29,10.78
2017-10-31,10.77
2017-11-30,10.73
2017-12-29,10.75
2018-01-31,10.61
2018-02-28,10.48
2018-03-29,10.52
2018-04-30,10.41
2018-05-31,10.45
2018-06-29,10.43
2018-07-31,10.41
2018-08-31,10.44
2018-09-28,10.36
2018-10-31,10.26
2018-11-30,10.29
2018-12-31,10.45
2019-01-31,10.53
2019-02-28,10.5
2019-03-29,10.68
2019-04-30,10.66
2019-05-31,10.83
2019-06-28,10.93
2019-07-31,10.93
2019-08-30,11.21
2019-09-30,11.12
2019-10-31,11.12
2019-11-29,11.09
2019-12-31,11.05
2020-01-31,11.26
2020-02-28,11.43
2020-03-31,11.34
2020-04-30,11.51
2020-05-29,11.55
2020-06-30,11.61
2020-07-31,11.77
2020-08-31,11.63
2020-09-30,11.62
2020-10-30,11.53
2020-11-30,11.64
2020-12-31,11.62
2021-01-29,11.51
2021-02-26,11.32
2021-03-31,11.14
2021-04-30,11.23
2021-05-28,11.24
2021-06-30,11.31
2021-07-30,11.43
2021-08-31,11.39
2021-09-30,11.27
2021-10-29,11.25
2021-11-30,11.27
2021-12-31,11.19
2022-01-31,10.93
2022-02-23,10.69
