date,close
2010-12-31,26.35
2011-01-31,26.54
2011-02-28,27.26
2011-03-31,27.15
2011-04-29,28.57
2011-05-31,27.75
2011-06-30,27.34
2011-07-29,26.91
2011-08-31,24.64
2011-09-30,21.62
2011-10-31,23.81
2011-11-30,23.13
2011-12-30,21.84
2012-01-31,23.44
2012-02-29,24.64
2012-03-30,24.46
2012-04-30,24.01
2012-05-31,21.35
2012-06-29,22.63
2012-07-31,22.73
2012-08-31,23.35
2012-09-28,23.8
2012-10-31,23.94
2012-11-30,24.37
2012-12-31,25.05
2013-01-31,25.89
2013-02-28,25.58
2013-03-28,25.71
2013-04-30,26.63
2013-05-31,25.85
2013-06-28,24.55
2013-07-31,25.68
2013-08-30,25.25
2013-09-30,26.95
2013-10-31,27.89
2013-11-29,27.91
2013-12-31,28.01
2014-01-31,26.68
2014-02-28,28.12
2014-03-31,28.03
2014-04-30,28.4
2014-05-30,28.94
2014-06-30,29.12
2014-07-31,28.66
2014-08-29,28.96
2014-09-30,27.36
2014-10-31,27.29
2014-11-28,27.21
2014-12-31,26.0
2015-01-30,26.05
2015-02-27,27.48
2015-03-31,26.98
2015-04-30,28.34
2015-05-29,28.08
2015-06-30,27.04
2015-07-31,26.82
2015-08-31,24.87
2015-09-30,23.78
2015-10-30,25.27
2015-11-30,24.94
2015-12-31,24.24
2016-01-29,22.87
2016-02-29,22.36
2016-03-31,24.12
2016-04-29,24.66
2016-05-31,24.41
2016-06-30,23.89
2016-07-29,24.95
2016-08-31,25.12
2016-09-30,25.33
2016-10-31,24.89
2016-11-30,24.35
2016-12-30,24.63
2017-01-31,25.6
2017-02-28,25.98
2017-03-31,26.63
2017-04-28,27.22
2017-05-31,28.03
2017-06-30,27.88
2017-07-31,28.84
2017-08-31,29.02
2017-09-29,29.38
2017-10-31,29.95
2017-11-30,30.19
2017-12-29,30.52
2018-01-31,32.22
2018-02-28,30.57
2018-03-29,30.3
2018-04-30,30.54
2018-05-31,29.96
2018-06-29,29.02
2018-07-31,29.75
2018-08-31,29.09
2018-09-28,29.03
2018-10-31,26.61
2018-11-30,26.94
2018-12-31,25.37
2019-01-31,27.31
2019-02-28,27.77
2019-03-29,27.88
2019-04-30,28.65
2019-05-31,27.07
2019-06-28,28.32
2019-07-31,27.78
2019-08-30,27.13
2019-09-30,27.71
2019-10-31,28.66
2019-11-29,28.98
2019-12-31,29.87
2020-01-31,28.88
2020-02-28,26.94
2020-03-31,22.55
2020-04-30,24.36
2020-05-29,25.54
2020-06-30,26.5
2020-07-31,27.58
2020-08-31,28.77
2020-09-30,28.04
2020-10-30,27.41
2020-11-30,30.97
2020-12-31,32.46
2021-01-29,32.42
2021-02-26,33.17
2021-03-31,33.66
2021-04-30,34.6
2021-05-28,35.69
2021-06-30,35.24
2021-07-30,34.79
2021-08-31,35.39
2021-09-30,34.0
2021-10-29,34.9
2021-11-30,33.36
2021-12-31,34.2
2022-01-31,33.23
2022-02-01,33.49
