date,close
2000-12-29,29.26
2001-01-31,30.39
2001-02-28,27.52
2001-03-30,25.6
2001-04-30,27.69
2001-05-31,27.97
2001-06-29,27.45
2001-07-31,26.98
2001-08-31,25.36
2001-09-28,23.0
2001-10-31,23.58
2001-11-30,25.39
2001-12-31,25.75
2002-01-31,25.42
2002-02-28,24.9
2002-03-28,25.92
2002-04-30,24.65
2002-05-31,24.36
2002-06-28,22.57
2002-07-31,20.76
2002-08-30,20.88
2002-09-30,18.7
2002-10-31,20.13
2002-11-29,21.35
2002-12-31,20.07
2003-01-31,19.56
2003-02-28,19.23
2003-03-31,19.37
2003-04-30,20.96
2003-05-30,22.24
2003-06-30,22.49
2003-07-31,23.02
2003-08-29,23.57
2003-09-30,23.22
2003-10-31,24.64
2003-11-28,24.99
2003-12-31,25.99
2004-01-30,26.57
2004-02-27,26.96
2004-03-31,26.58
2004-04-30,26.02
2004-05-28,26.38
2004-06-30,26.83
2004-07-30,25.81
2004-08-31,25.89
2004-09-30,26.25
2004-10-29,26.7
2004-11-30,27.95
2004-12-31,28.77
2005-01-31,28.0
2005-02-28,28.59
2005-03-31,27.98
2005-04-29,27.33
2005-05-31,28.36
2005-06-30,28.5
2005-07-29,29.68
2005-08-31,29.4
2005-09-30,29.51
2005-10-31,28.96
2005-11-30,30.12
2005-12-30,30.0
2006-01-31,31.05
2006-02-28,31.06
2006-03-31,31.49
2006-04-28,31.84
2006-05-31,30.81
2006-06-30,30.74
2006-07-31,30.71
2006-08-31,31.42
2006-09-29,32.0
2006-10-31,33.14
2006-11-30,33.88
2006-12-29,34.09
2007-01-31,34.73
2007-02-28,34.17
2007-03-30,34.41
2007-04-30,35.8
2007-05-31,37.12
2007-06-29,36.36
2007-07-31,35.13
2007-08-31,35.64
2007-09-28,36.77
2007-10-31,37.44
2007-11-30,35.77
2007-12-31,35.36
2008-01-31,33.21
2008-02-29,32.2
2008-03-31,31.86
2008-04-30,33.46
2008-05-30,34.17
2008-06-30,31.22
2008-07-31,30.98
2008-08-29,31.48
2008-09-30,28.42
2008-10-31,23.41
2008-11-28,21.57
2008-12-31,21.8
2009-01-30,20.0
2009-02-27,17.91
2009-03-31,19.34
2009-04-30,21.39
2009-05-29,22.53
2009-06-30,22.5
2009-07-31,24.27
2009-08-31,25.15
2009-09-30,26.1
2009-10-30,25.42
2009-11-30,26.86
2009-12-31,27.45
2010-01-29,26.5
2010-02-26,27.39
2010-03-31,28.99
2010-04-30,29.63
2010-05-28,27.26
2010-06-30,25.59
2010-07-30,27.39
2010-08-31,26.09
2010-09-30,28.42
2010-10-29,29.54
2010-11-30,29.71
2010-12-31,31.57
2011-01-31,32.26
2011-02-28,33.43
2011-03-31,33.44
2011-04-29,34.44
2011-05-31,34.04
2011-06-30,33.29
2011-07-29,32.55
2011-08-31,30.59
2011-09-30,28.07
2011-10-31,31.31
2011-11-30,31.22
2011-12-30,31.3
2012-01-31,32.89
2012-02-29,34.29
2012-03-30,35.19
2012-04-30,34.97
2012-05-31,32.79
2012-06-29,33.91
2012-07-31,34.26
2012-08-31,35.12
2012-09-28,35.85
2012-10-31,35.22
2012-11-30,35.48
2012-12-31,35.65
2013-01-31,37.61
2013-02-28,38.09
2013-03-28,39.4
2013-04-30,40.07
2013-05-31,41.01
2013-06-28,40.31
2013-07-31,42.51
2013-08-30,41.32
2013-09-30,42.63
2013-10-31,44.44
2013-11-29,45.72
2013-12-31,46.69
2014-01-31,45.24
2014-02-28,47.39
2014-03-31,47.43
2014-04-30,47.46
2014-05-30,48.49
2014-06-30,49.53
2014-07-31,48.55
2014-08-29,50.58
2014-09-30,49.29
2014-10-31,50.64
2014-11-28,51.87
2014-12-31,51.6
2015-01-30,50.17
2015-02-27,53.06
2015-03-31,52.28
2015-04-30,52.5
2015-05-29,53.23
2015-06-30,52.1
2015-07-31,52.96
2015-08-31,49.78
2015-09-30,48.07
2015-10-30,51.85
2015-11-30,52.14
2015-12-31,50.79
2016-01-29,47.92
2016-02-29,47.9
2016-03-31,51.03
2016-04-29,51.36
2016-05-31,52.27
2016-06-30,52.17
2016-07-29,54.23
2016-08-31,54.38
2016-09-30,54.2
2016-10-31,53.0
2016-11-30,55.36
2016-12-30,56.08
2017-01-31,57.16
2017-02-28,59.28
2017-03-31,59.06
2017-04-28,59.68
2017-05-31,60.29
2017-06-30,60.57
2017-07-31,61.7
2017-08-31,61.8
2017-09-29,63.05
2017-10-31,64.42
2017-11-30,66.38
2017-12-29,66.72
2018-01-31,70.27
2018-02-28,67.66
2018-03-29,66.05
2018-04-30,66.3
2018-05-31,68.17
2018-06-29,68.34
2018-07-31,70.63
2018-08-31,73.07
2018-09-28,72.84
2018-10-31,67.45
2018-11-30,68.85
2018-12-31,62.09
2019-01-31,67.43
2019-02-28,69.8
2019-03-29,70.43
2019-04-30,73.23
2019-05-31,68.52
2019-06-28,73.04
2019-07-31,74.09
2019-08-30,72.6
2019-09-30,73.5
2019-10-31,75.05
2019-11-29,77.89
2019-12-31,79.69
2020-01-31,79.63
2020-02-28,73.13
2020-03-31,62.75
2020-04-30,71.07
2020-05-29,74.89
2020-06-30,76.26
2020-07-31,80.57
2020-08-31,86.35
2020-09-30,82.94
2020-10-30,81.16
2020-11-30,91.06
2020-12-31,94.74
2021-01-29,94.43
2021-02-26,97.44
2021-03-31,100.5
2021-04-30,105.66
2021-05-28,106.12
2021-06-30,108.49
2021-07-30,110.35
2021-08-31,113.51
2021-09-30,108.08
2021-10-29,115.35
2021-11-30,113.64
2021-12-31,117.56
2022-01-28,108.12
